FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
05001,AR,Arkansas,72.9,5.2,5.8,85.0,52,22.0,24.0,34,36,9.0,20.0,51186.0,66,34.7,25.0,0.7,3.8,68.3,17383,40.0,,71,51.0,19.0,21.0,12,1,8.3,24,,low,high,No,No
05003,AR,Ashley,73.8,5.4,5.8,90.0,51,24.0,9.0,36,37,8.0,15.0,44677.0,77,51.7,24.1,0.3,6.0,68.2,19339,38.0,14.0,65,38.0,24.0,36.0,13,1,8.1,24,,low,low,No,No
05005,AR,Baxter,76.1,4.9,5.7,87.0,63,24.0,6.0,28,32,34.0,122.0,44833.0,77,65.8,0.5,0.5,2.6,94.3,42242,52.0,22.0,78,31.0,63.0,23.0,11,0,8.7,22,13.0,low,low,Yes,No
05007,AR,Benton,79.5,4.3,4.9,90.0,64,13.0,7.0,27,33,168.0,665.0,78678.0,66,25.2,1.9,4.6,17.3,71.9,288774,195.0,108.0,78,25.0,142.0,16.0,12,4,10.1,16,8.0,high,high,No,No
05009,AR,Boone,76.1,5.1,5.8,91.0,60,20.0,9.0,34,35,29.0,59.0,48153.0,72,62.2,0.5,0.6,2.7,93.5,37625,47.0,13.0,83,33.0,36.0,4.0,12,0,8.5,23,15.0,low,high,Yes,No
05011,AR,Bradley,72.2,5.4,5.6,89.0,42,28.0,10.0,37,38,6.0,6.0,41578.0,63,49.6,27.5,0.5,15.8,54.7,10639,26.0,,70,35.0,11.0,39.0,14,2,9.5,23,,low,low,No,No
05013,AR,Calhoun,72.9,5.2,5.8,,50,22.0,25.0,34,37,1.0,,50865.0,84,100.0,21.0,0.2,4.4,72.2,5113,12.0,,68,26.0,,,11,1,9.6,23,,low,high,Yes,No
05015,AR,Carroll,76.1,4.9,5.4,87.0,42,21.0,7.0,33,35,16.0,26.0,45397.0,75,72.8,0.5,2.2,15.5,77.7,28276,51.0,21.0,74,42.0,21.0,17.0,14,4,8.6,20,16.0,low,low,Yes,No
05017,AR,Chicot,72.2,5.9,5.9,92.0,47,37.0,16.0,39,41,7.0,60.0,35992.0,67,54.3,53.2,0.8,6.1,38.7,9924,15.0,,71,46.0,13.0,36.0,15,1,9.1,25,,low,low,No,Yes
05019,AR,Clark,75.3,4.9,5.5,83.0,56,22.0,11.0,32,36,10.0,69.0,46464.0,59,54.4,23.9,0.7,4.9,68.1,22103,33.0,,71,17.0,14.0,,13,1,9.7,21,,low,high,No,No
05021,AR,Clay,73.0,5.6,6.1,92.0,55,24.0,7.0,35,36,2.0,15.0,43723.0,67,58.9,0.8,0.2,2.4,94.6,14375,40.0,10.0,72,50.0,12.0,16.0,12,0,8.9,25,17.0,low,low,No,No
05023,AR,Cleburne,75.2,5.0,5.7,92.0,42,21.0,7.0,32,34,15.0,29.0,49964.0,78,75.5,0.4,0.5,2.5,94.4,24935,46.0,10.0,79,38.0,29.0,,10,0,9.1,24,,low,high,Yes,No
05025,AR,Cleveland,75.1,5.3,5.9,96.0,53,19.0,8.0,35,36,,,57697.0,78,100.0,11.1,0.2,2.9,84.0,7957,19.0,,65,24.0,,11.0,8,0,9.4,24,,high,high,Yes,No
05027,AR,Columbia,73.9,5.4,5.9,91.0,58,26.0,9.0,37,39,14.0,45.0,44925.0,69,57.5,35.1,0.9,2.9,59.3,23331,35.0,,66,25.0,27.0,,15,1,9.9,24,,low,low,No,No
05029,AR,Conway,75.3,5.2,5.8,89.0,53,23.0,10.0,32,35,14.0,59.0,47049.0,70,70.5,11.5,0.5,4.3,81.0,21037,32.0,,71,38.0,,13.0,11,1,9.7,23,,low,high,Yes,No
05031,AR,Craighead,76.1,4.8,5.5,91.0,62,23.0,9.0,33,35,130.0,455.0,51797.0,57,32.2,16.9,1.4,5.3,74.3,112245,133.0,26.0,82,31.0,94.0,21.0,15,1,9.3,22,6.0,low,high,No,No
05033,AR,Crawford,76.4,5.2,5.8,91.0,54,20.0,13.0,33,35,25.0,36.0,54534.0,76,52.0,1.5,1.6,8.4,83.3,63409,64.0,30.0,77,35.0,45.0,14.0,13,1,10.0,23,13.0,low,high,No,No
05035,AR,Crittenden,72.2,5.5,5.8,85.0,56,35.0,11.0,38,40,16.0,114.0,47545.0,57,20.9,54.7,0.7,3.0,40.1,47616,69.0,28.0,80,51.0,70.0,49.0,17,0,8.8,24,13.0,low,high,No,Yes
05037,AR,Cross,72.1,5.3,5.9,95.0,49,33.0,15.0,35,37,7.0,17.0,40587.0,66,56.8,23.3,0.8,2.2,71.8,16142,34.0,,76,38.0,15.0,17.0,13,1,8.9,25,,low,low,No,No
05039,AR,Dallas,73.8,5.2,5.7,,50,32.0,27.0,36,38,1.0,18.0,34649.0,71,52.6,41.0,0.3,3.9,52.3,6802,14.0,,61,25.0,10.0,16.0,7,0,9.6,24,,low,low,No,No
05041,AR,Desha,72.2,5.9,6.1,88.0,41,34.0,17.0,41,40,6.0,8.0,37421.0,62,31.4,47.4,0.9,6.9,43.1,11110,24.0,,63,41.0,12.0,39.0,12,3,9.1,26,,low,low,No,Yes
05043,AR,Drew,74.0,5.1,5.6,89.0,65,24.0,9.0,34,37,13.0,113.0,46787.0,67,48.6,27.7,0.7,3.9,66.1,17977,28.0,,71,31.0,22.0,24.0,14,0,9.3,22,,low,high,No,No
05045,AR,Faulkner,76.3,4.7,5.4,91.0,66,13.0,12.0,33,36,69.0,211.0,57367.0,62,38.8,12.2,1.3,4.3,79.5,126919,130.0,57.0,84,21.0,96.0,15.0,16,1,10.1,20,3.0,high,high,No,No
05047,AR,Franklin,74.0,5.6,6.1,95.0,61,20.0,2.0,35,36,5.0,1.0,47256.0,73,82.6,0.9,1.0,3.4,91.5,17897,31.0,,68,35.0,21.0,55.0,14,0,9.3,26,24.0,low,high,Yes,No
05049,AR,Fulton,75.3,5.8,6.3,94.0,61,28.0,6.0,35,36,7.0,7.0,39839.0,83,92.9,0.7,0.3,2.0,94.3,12381,20.0,,54,39.0,13.0,,15,0,8.7,26,,low,low,Yes,No
05051,AR,Garland,74.3,5.0,5.6,83.0,62,23.0,11.0,32,35,86.0,292.0,46459.0,67,36.9,8.6,0.8,6.1,81.4,99789,164.0,87.0,80,38.0,132.0,26.0,15,2,8.3,21,15.0,low,high,No,No
05053,AR,Grant,76.2,4.8,5.6,91.0,54,15.0,12.0,30,34,2.0,19.0,62077.0,76,75.0,2.6,0.4,3.2,92.2,18449,27.0,,79,25.0,18.0,4.0,14,0,9.5,21,,high,high,Yes,No
05055,AR,Greene,75.1,5.1,5.8,93.0,50,21.0,7.0,34,34,22.0,98.0,53821.0,67,41.5,1.9,0.5,3.0,92.5,45597,69.0,15.0,81,46.0,46.0,7.0,11,0,9.1,24,8.0,low,high,No,No
05057,AR,Hempstead,75.6,5.4,5.7,82.0,58,27.0,16.0,38,37,6.0,22.0,42790.0,68,55.8,30.1,0.6,13.4,53.5,21253,36.0,,76,58.0,16.0,34.0,14,4,9.8,22,,low,low,No,No
05059,AR,Hot Spring,74.0,5.2,5.8,90.0,52,23.0,11.0,32,35,7.0,72.0,49582.0,79,66.0,11.1,0.4,3.6,82.5,33787,64.0,14.0,71,39.0,32.0,9.0,12,0,9.7,23,,low,high,Yes,No
05061,AR,Howard,73.5,5.3,5.7,96.0,49,25.0,16.0,37,38,7.0,15.0,40566.0,67,67.5,20.7,0.7,13.2,63.0,13109,28.0,,74,33.0,13.0,9.0,13,2,9.7,22,,low,low,Yes,No
05063,AR,Independence,75.9,5.2,5.8,91.0,61,19.0,6.0,33,34,24.0,69.0,50834.0,73,68.6,2.3,0.9,6.9,87.8,37757,64.0,11.0,61,35.0,31.0,,13,1,9.1,22,,low,high,Yes,No
05065,AR,Izard,74.5,5.2,5.8,,51,27.0,0.0,32,35,4.0,12.0,41787.0,78,100.0,2.2,0.5,2.6,92.7,13613,20.0,,49,37.0,15.0,,10,0,8.9,24,,low,low,Yes,No
