FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
12001,FL,Alachua,78.6,4.4,4.9,88.0,78,15.0,7.0,25,36,429.0,1815.0,51995.0,55,21.2,20.0,6.1,10.7,60.5,271218,226.0,95.0,86,11.0,132.0,39.0,20,1,6.2,16,6.0,low,low,No,No
12003,FL,Baker,75.5,4.8,5.5,79.0,48,17.0,17.0,33,43,8.0,34.0,61514.0,77,59.5,14.1,0.7,2.9,80.1,29566,44.0,17.0,81,42.0,25.0,28.0,10,0,7.9,24,,high,high,No,No
12005,FL,Bay,76.1,4.5,5.2,83.0,65,20.0,10.0,31,40,107.0,479.0,61332.0,67,12.0,10.7,2.4,6.9,76.3,171322,222.0,149.0,88,32.0,165.0,44.0,16,1,8.1,22,5.0,high,high,No,No
12007,FL,Bradford,75.5,5.4,5.7,88.0,33,22.0,0.0,36,41,7.0,32.0,48260.0,66,75.5,19.9,0.6,4.7,72.6,28593,59.0,15.0,76,41.0,21.0,34.0,17,0,7.7,27,,low,low,Yes,No
12009,FL,Brevard,77.4,4.3,4.9,88.0,70,14.0,12.0,27,41,441.0,1045.0,65871.0,76,5.1,10.0,2.7,11.2,73.4,608459,602.0,926.0,89,16.0,487.0,24.0,15,1,5.4,18,6.0,high,high,No,No
12011,FL,Broward,80.9,4.2,4.5,87.0,68,14.0,2.0,28,41,1444.0,4070.0,63901.0,63,0.0,28.6,3.9,31.4,34.3,1958105,1695.0,1660.0,86,13.0,1075.0,17.0,24,7,9.2,15,6.0,high,high,No,Yes
12013,FL,Calhoun,75.4,5.2,5.6,88.0,32,29.0,20.0,34,41,5.0,5.0,43994.0,78,67.5,12.3,0.9,6.1,77.5,14078,23.0,,72,37.0,,14.0,13,0,8.0,25,,low,low,Yes,No
12015,FL,Charlotte,80.8,4.4,5.1,86.0,56,16.0,14.0,25,40,113.0,220.0,58368.0,82,8.9,5.5,1.4,8.0,83.4,194711,195.0,65.0,87,19.0,134.0,28.0,15,2,7.5,19,11.0,high,high,No,No
12017,FL,Citrus,74.5,4.9,5.5,89.0,47,23.0,16.0,29,43,75.0,121.0,48574.0,83,34.5,2.9,1.7,6.3,87.2,153010,240.0,164.0,85,26.0,163.0,23.0,13,1,7.9,23,9.0,low,low,No,No
12019,FL,Clay,77.5,4.3,5.0,93.0,67,13.0,9.0,28,41,112.0,247.0,72520.0,77,15.0,12.0,3.2,10.7,70.9,221770,251.0,194.0,92,16.0,153.0,14.0,13,2,8.5,20,6.0,high,high,No,No
12021,FL,Collier,86.1,4.1,4.5,92.0,53,15.0,7.0,25,34,309.0,421.0,81895.0,74,8.5,6.6,1.6,28.6,62.1,392973,270.0,234.0,87,19.0,177.0,26.0,20,9,8.2,16,6.0,high,high,No,No
12023,FL,Columbia,75.0,5.0,5.5,92.0,50,23.0,4.0,33,42,31.0,183.0,46670.0,73,62.1,18.1,1.0,6.7,71.8,72654,122.0,43.0,82,36.0,60.0,29.0,14,1,7.9,26,25.0,low,low,Yes,No
12027,FL,DeSoto,80.0,5.7,5.4,71.0,23,28.0,7.0,38,39,9.0,58.0,45807.0,69,46.2,11.8,0.6,31.9,54.4,38520,67.0,19.0,63,40.0,27.0,45.0,17,8,7.2,23,,low,low,No,No
12029,FL,Dixie,75.2,5.5,5.9,93.0,29,31.0,3.0,35,40,3.0,3.0,41450.0,83,77.0,9.3,0.5,4.2,83.9,17057,28.0,10.0,66,43.0,15.0,28.0,12,1,7.3,28,,low,low,Yes,No
12031,FL,Duval,75.5,4.4,5.0,87.0,66,21.0,10.0,30,40,806.0,2201.0,55202.0,57,2.9,29.7,5.1,11.0,51.4,966728,1035.0,1217.0,86,26.0,1025.0,18.0,17,3,8.7,19,9.0,high,high,No,No
12033,FL,Escambia,74.5,4.5,5.2,86.0,67,20.0,12.0,28,41,237.0,695.0,57089.0,63,8.3,22.6,3.3,6.1,63.9,322364,385.0,319.0,85,28.0,281.0,48.0,12,1,7.6,20,8.0,high,high,No,No
12035,FL,Flagler,79.1,4.5,5.1,89.0,61,16.0,18.0,26,39,59.0,85.0,67054.0,76,10.3,9.9,2.5,11.1,74.4,118451,125.0,98.0,77,15.0,77.0,24.0,15,3,7.3,21,,high,high,No,No
12037,FL,Franklin,76.7,5.2,5.5,73.0,33,31.0,1.0,33,40,3.0,10.0,47206.0,76,68.0,12.8,0.5,5.9,78.4,12201,19.0,10.0,80,57.0,,41.0,14,1,7.5,25,,low,low,Yes,No
