FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
13001,GA,Appling,73.9,5.5,5.9,90.0,49,30.0,23.0,38,41,6.0,15.0,44871.0,75,71.4,18.8,0.9,9.8,68.9,18325,38.0,,62,49.0,12.0,,11,2,8.2,25,,low,low,Yes,No
13003,GA,Atkinson,73.1,5.9,5.9,93.0,34,34.0,15.0,42,39,,,39633.0,71,100.0,15.6,1.0,26.8,55.0,8393,15.0,,67,57.0,10.0,,12,11,8.1,26,,low,low,Yes,No
13005,GA,Bacon,72.5,5.6,6.0,93.0,36,29.0,1.0,38,40,7.0,1.0,41756.0,75,69.3,16.0,0.8,8.5,73.0,11036,25.0,,73,38.0,14.0,,13,2,8.0,25,,low,low,Yes,No
13007,GA,Baker,79.8,5.0,5.5,,55,40.0,28.0,36,42,,1.0,43696.0,68,100.0,42.0,1.4,6.3,48.5,2971,,,48,19.0,,,14,0,8.4,23,,low,low,Yes,No
13009,GA,Baldwin,74.4,4.9,5.5,91.0,64,31.0,13.0,33,42,20.0,73.0,49350.0,59,35.1,42.1,1.7,2.5,52.3,45099,60.0,,80,14.0,47.0,,21,1,9.2,23,,low,high,No,No
13011,GA,Banks,76.1,5.1,5.8,88.0,53,17.0,1.0,35,39,4.0,,62836.0,74,93.8,2.6,1.1,7.5,87.0,19352,35.0,11.0,73,24.0,13.0,,11,1,8.6,24,,high,high,Yes,No
13013,GA,Barrow,76.6,4.5,5.2,88.0,58,13.0,11.0,34,39,20.0,23.0,64460.0,77,30.1,13.0,4.1,12.7,67.9,85588,93.0,43.0,89,20.0,50.0,,13,3,9.4,21,7.0,high,high,No,No
13015,GA,Bartow,75.4,4.7,5.4,89.0,56,15.0,12.0,32,38,43.0,134.0,64980.0,68,35.2,10.9,1.1,9.4,76.3,109426,131.0,75.0,80,28.0,89.0,12.0,14,2,9.7,21,8.0,high,high,No,No
13017,GA,Ben Hill,71.0,5.4,5.9,89.0,44,33.0,13.0,39,41,9.0,6.0,39305.0,58,34.0,36.7,0.9,6.6,54.2,16614,26.0,,60,51.0,20.0,,13,2,8.2,24,,low,low,No,No
13019,GA,Berrien,73.9,5.4,6.0,87.0,44,27.0,10.0,38,40,4.0,4.0,45094.0,66,76.1,10.7,1.0,5.8,80.8,19408,23.0,11.0,71,42.0,19.0,,14,1,8.3,26,,low,low,Yes,No
13021,GA,Bibb,73.0,4.9,5.5,79.0,60,37.0,13.0,35,44,219.0,308.0,44467.0,52,14.4,55.8,2.2,3.7,36.7,152737,193.0,40.0,80,36.0,201.0,34.0,20,1,8.5,23,11.0,low,low,No,Yes
13023,GA,Bleckley,76.4,4.9,5.6,93.0,59,28.0,18.0,33,40,5.0,1.0,51448.0,73,51.6,27.0,1.1,3.2,67.3,12955,16.0,,71,18.0,11.0,,12,0,8.5,22,,low,high,No,No
13025,GA,Brantley,73.9,5.6,6.2,85.0,38,27.0,3.0,38,39,3.0,,39256.0,79,99.4,3.6,0.3,2.4,91.6,19202,34.0,12.0,71,44.0,17.0,,13,0,7.7,27,,low,low,Yes,No
13027,GA,Brooks,73.8,5.2,5.7,93.0,59,33.0,5.0,36,42,3.0,5.0,42973.0,70,71.0,34.8,1.4,6.2,55.7,15357,21.0,,65,36.0,13.0,,20,1,8.4,23,25.0,low,low,Yes,No
13029,GA,Bryan,75.6,4.0,4.9,89.0,71,10.0,10.0,27,36,26.0,43.0,81890.0,71,52.3,14.8,2.4,8.1,71.3,40755,52.0,18.0,88,19.0,31.0,,15,1,8.4,17,,high,high,No,No
13031,GA,Bulloch,77.2,5.0,5.6,80.0,65,23.0,8.0,33,39,43.0,82.0,48629.0,54,48.3,29.1,1.3,4.5,63.0,80839,85.0,13.0,81,14.0,49.0,,21,1,8.4,21,4.0,low,high,No,No
