FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
19001,IA,Adair,78.2,3.5,4.2,,61,14.0,2.0,28,33,3.0,,55265.0,70,100.0,0.7,0.5,2.6,94.8,7059,,,77,19.0,,,7,0,7.6,20,,high,low,Yes,No
19003,IA,Adams,79.7,3.5,4.3,,67,16.0,2.0,28,32,1.0,1.0,56291.0,81,100.0,0.6,0.7,1.6,95.8,3588,,,80,26.0,,50.0,7,0,7.7,20,,high,low,Yes,No
19005,IA,Allamakee,77.6,3.5,4.2,96.0,60,17.0,3.0,30,34,7.0,4.0,55320.0,80,74.0,1.7,0.5,7.6,89.3,13642,18.0,,73,22.0,,,11,2,8.5,18,,high,low,Yes,No
19007,IA,Appanoose,76.9,3.8,4.5,91.0,59,20.0,5.0,32,33,10.0,17.0,49737.0,72,58.3,0.7,0.8,2.4,94.4,12430,21.0,,75,25.0,,31.0,15,0,7.9,21,,low,low,No,No
19009,IA,Audubon,77.7,3.5,4.3,,77,15.0,2.0,29,34,4.0,,56338.0,75,100.0,0.6,0.6,2.2,95.4,5481,16.0,,78,17.0,,,6,0,7.8,20,,high,low,Yes,No
19011,IA,Benton,79.4,3.2,4.1,95.0,69,8.0,4.0,26,31,6.0,7.0,72308.0,82,80.7,0.7,0.5,1.7,95.8,25414,43.0,,83,13.0,15.0,18.0,7,0,8.8,18,,high,high,Yes,No
19013,IA,Black Hawk,77.6,3.5,4.2,89.0,72,14.0,9.0,29,35,124.0,255.0,56091.0,66,13.5,9.4,2.7,4.7,80.1,130786,80.0,39.0,83,16.0,63.0,41.0,14,2,8.2,19,4.0,high,low,No,No
19015,IA,Boone,78.8,3.3,4.1,93.0,70,8.0,2.0,27,32,13.0,18.0,70656.0,78,50.6,1.2,0.5,2.9,94.0,26277,23.0,,83,15.0,10.0,29.0,10,0,8.1,19,,high,high,No,No
19017,IA,Bremer,80.8,3.0,3.9,96.0,78,6.0,1.0,25,32,14.0,43.0,74596.0,83,64.5,1.3,1.2,1.8,94.5,25311,17.0,,86,5.0,10.0,42.0,9,0,8.8,16,,high,high,Yes,No
19019,IA,Buchanan,79.7,3.2,4.1,96.0,71,13.0,3.0,27,32,10.0,29.0,66852.0,80,68.5,0.5,0.6,1.7,95.9,21287,14.0,,81,10.0,11.0,23.0,10,0,8.8,18,16.0,high,high,Yes,No
