FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
16001,ID,Ada,80.8,3.7,4.2,77.0,76,7.0,6.0,21,33,464.0,1562.0,73324.0,70,5.5,1.2,2.8,8.8,84.0,494399,253.0,241.0,88,11.0,303.0,,13,1,7.9,13,3.0,high,high,No,No
16003,ID,Adams,80.9,4.3,4.7,,49,22.0,9.0,24,35,1.0,3.0,49967.0,82,100.0,0.2,0.9,3.7,91.6,4447,,,73,,,,11,0,6.3,18,,low,low,Yes,No
16005,ID,Bannock,76.9,4.4,4.7,93.0,66,14.0,12.0,27,34,62.0,378.0,54538.0,68,15.7,0.9,1.8,9.2,83.0,88795,71.0,60.0,86,20.0,82.0,,15,1,6.8,18,7.0,low,low,No,No
16007,ID,Bear Lake,78.3,4.5,4.8,88.0,60,12.0,6.0,25,35,4.0,5.0,55689.0,78,100.0,0.3,0.5,4.3,93.1,6143,,,87,23.0,,,11,0,6.3,18,,high,low,Yes,No
16009,ID,Benewah,74.8,4.9,5.1,87.0,49,18.0,9.0,26,36,4.0,22.0,53014.0,74,71.9,0.5,0.4,4.2,84.3,9430,13.0,,77,33.0,11.0,,17,0,9.9,21,,low,low,Yes,No
16011,ID,Bingham,76.7,4.5,4.6,89.0,60,12.0,12.0,26,35,14.0,65.0,65658.0,78,56.0,0.3,0.9,18.1,74.1,47202,60.0,15.0,86,24.0,39.0,,12,2,6.8,16,11.0,high,high,No,No
16013,ID,Blaine,85.2,3.9,4.1,85.0,50,8.0,3.0,23,31,24.0,49.0,76301.0,73,32.8,0.5,1.5,23.5,73.5,23426,18.0,,90,11.0,12.0,,17,7,5.6,14,,high,high,No,No
16015,ID,Boise,81.8,4.1,4.5,,63,17.0,14.0,22,34,1.0,8.0,55583.0,83,100.0,0.4,1.4,5.4,89.7,8065,12.0,,82,13.0,12.0,,13,1,5.4,16,,high,low,Yes,No
16017,ID,Bonner,79.6,4.4,4.8,86.0,58,17.0,3.0,25,31,21.0,100.0,55241.0,76,72.4,0.3,0.7,3.6,92.5,46817,51.0,17.0,80,20.0,55.0,,16,0,13.2,19,,high,low,Yes,No
16019,ID,Bonneville,77.2,4.1,4.4,78.0,67,13.0,11.0,25,35,46.0,386.0,67294.0,70,13.0,0.6,1.2,13.6,82.2,122134,86.0,73.0,90,23.0,103.0,,13,1,7.0,16,10.0,high,high,No,No
16021,ID,Boundary,79.5,4.6,4.9,73.0,48,20.0,4.0,26,34,6.0,19.0,52193.0,76,76.2,0.6,1.2,5.3,89.4,12656,15.0,,80,19.0,12.0,,15,0,10.0,20,,low,low,Yes,No
16023,ID,Butte,77.1,4.7,4.9,,71,18.0,8.0,27,35,1.0,1.0,52081.0,79,100.0,0.4,0.4,5.3,91.3,2646,,,82,,,,13,0,5.0,19,,low,low,Yes,No
16025,ID,Camas,,4.7,4.8,,46,10.0,44.0,28,36,0.0,,59409.0,75,100.0,0.4,0.4,6.4,88.9,1130,,,76,,,,15,3,5.0,19,,high,high,Yes,No
16027,ID,Canyon,78.7,4.6,4.6,77.0,56,13.0,7.0,30,35,74.0,422.0,57886.0,72,19.9,0.6,1.1,25.5,70.0,237053,221.0,75.0,88,24.0,159.0,,15,3,9.6,18,9.0,high,high,No,No
16029,ID,Caribou,78.7,4.3,4.7,,62,12.0,1.0,25,34,4.0,3.0,63719.0,78,59.9,0.1,0.4,6.9,90.7,7123,,,88,13.0,11.0,,11,0,6.1,19,,high,high,No,No
16031,ID,Cassia,77.5,4.6,4.5,84.0,57,13.0,9.0,30,35,19.0,33.0,64591.0,69,51.5,0.4,0.8,27.6,69.4,24277,41.0,12.0,87,31.0,16.0,,13,5,6.7,16,,high,high,No,No
16033,ID,Clark,,5.2,4.7,,42,20.0,51.0,35,36,0.0,0.0,52182.0,55,100.0,1.5,0.8,41.7,54.2,852,,,77,,,,20,19,4.7,19,,low,low,Yes,No
16035,ID,Clearwater,79.4,4.5,4.8,58.0,53,24.0,3.0,24,36,9.0,11.0,45377.0,76,58.6,0.6,0.8,4.0,89.9,8846,17.0,,78,23.0,16.0,,11,1,9.0,20,,low,low,No,No
16037,ID,Custer,79.0,4.6,4.8,,72,19.0,8.0,27,34,,3.0,53278.0,80,100.0,0.4,0.3,4.9,91.4,4249,10.0,,82,,,,9,0,5.0,18,,low,low,Yes,No
16039,ID,Elmore,78.1,4.7,4.7,62.0,65,16.0,14.0,29,36,16.0,43.0,49450.0,61,26.9,2.8,2.9,17.8,72.3,27448,35.0,12.0,85,35.0,23.0,,11,3,6.6,18,,low,low,No,No
16041,ID,Franklin,79.2,4.3,4.7,89.0,45,10.0,1.0,26,36,6.0,8.0,65396.0,84,66.2,0.4,0.2,6.8,90.7,14215,21.0,,89,16.0,12.0,,12,1,6.8,16,,high,high,Yes,No
16043,ID,Fremont,79.7,4.4,4.6,98.0,55,17.0,15.0,27,35,4.0,9.0,58658.0,81,72.0,0.3,0.4,12.0,85.3,13218,15.0,,84,22.0,,,11,3,5.6,17,10.0,high,high,Yes,No
