FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
17001,IL,Adams,77.8,3.9,4.7,,67,13.0,3.0,26,34,64.0,186.0,57434.0,72,32.6,3.9,0.9,1.8,91.1,64783,46.0,31.0,81,23.0,36.0,8.0,11,0,9.3,19,7.0,high,low,No,No
17003,IL,Alexander,70.5,4.8,5.3,,45,37.0,28.0,34,40,1.0,27.0,38315.0,75,61.9,30.6,0.3,2.0,63.9,5497,15.0,,60,50.0,,0.0,17,0,9.5,24,,low,low,Yes,No
17005,IL,Bond,78.4,4.0,4.7,,62,15.0,9.0,28,35,10.0,25.0,58209.0,73,60.7,6.2,0.8,3.8,87.2,16262,22.0,12.0,78,17.0,,4.0,11,0,9.3,20,,high,high,Yes,No
17007,IL,Boone,79.3,3.8,4.3,,60,11.0,7.0,28,34,29.0,21.0,82318.0,82,19.4,2.4,1.4,23.2,71.5,52777,41.0,26.0,88,15.0,17.0,19.0,14,3,9.6,17,,high,high,No,No
17009,IL,Brown,78.9,4.1,4.5,,48,11.0,10.0,30,37,1.0,21.0,52277.0,77,41.1,18.6,0.3,6.9,73.5,6546,,,77,21.0,,0.0,6,1,8.9,21,,low,low,No,No
17011,IL,Bureau,78.1,3.9,4.6,,61,14.0,10.0,28,33,16.0,21.0,57728.0,75,57.4,0.9,1.1,9.6,87.1,32303,55.0,13.0,82,17.0,13.0,0.0,10,1,9.8,18,7.0,high,low,No,No
17013,IL,Calhoun,80.4,4.0,4.9,,67,12.0,5.0,27,35,1.0,,61648.0,89,100.0,0.5,0.3,1.4,96.9,4616,,,73,,,,12,0,9.1,21,,high,high,Yes,No
17015,IL,Carroll,78.1,3.8,4.7,,58,15.0,4.0,27,34,3.0,20.0,53965.0,76,81.9,1.1,0.6,4.0,92.6,14241,22.0,,83,19.0,,0.0,9,0,9.3,19,,low,low,Yes,No
17017,IL,Cass,76.4,4.3,4.8,,48,16.0,3.0,32,36,,77.0,54205.0,75,52.1,4.4,0.8,20.0,73.7,11925,21.0,,80,37.0,,6.0,10,7,9.4,20,,low,low,No,No
17019,IL,Champaign,80.1,3.7,4.3,,80,15.0,5.0,25,35,210.0,618.0,64387.0,53,12.7,13.7,10.8,6.4,66.1,209192,123.0,131.0,84,12.0,80.0,9.0,20,1,8.3,16,3.0,high,high,No,No
17021,IL,Christian,76.5,4.1,4.9,,57,15.0,2.0,29,36,12.0,21.0,56656.0,74,43.5,1.6,0.8,1.6,94.7,32075,36.0,12.0,79,25.0,18.0,11.0,9,0,9.9,21,,high,low,No,No
17023,IL,Clark,76.1,4.0,4.9,,68,15.0,10.0,27,35,6.0,4.0,59633.0,78,59.5,0.4,0.4,1.6,96.5,15268,26.0,,79,25.0,11.0,,7,0,9.2,20,,high,high,No,No
17025,IL,Clay,76.5,4.4,5.1,,59,19.0,6.0,29,35,2.0,20.0,59602.0,74,64.7,0.5,0.9,1.8,95.6,13079,15.0,,82,33.0,,17.0,11,1,9.4,22,,high,high,Yes,No
17027,IL,Clinton,80.2,3.7,4.6,,69,8.0,4.0,25,35,14.0,20.0,71883.0,80,48.8,3.5,0.6,3.3,91.1,37398,45.0,13.0,81,14.0,12.0,20.0,10,0,9.4,19,10.0,high,high,No,No
17029,IL,Coles,77.7,4.2,5.0,,67,18.0,10.0,27,34,38.0,204.0,46900.0,60,24.3,3.9,1.0,3.0,90.4,50383,44.0,26.0,81,15.0,17.0,0.0,15,0,9.4,21,,low,low,No,No
17031,IL,Cook,78.6,3.6,4.0,,73,17.0,2.0,26,36,4923.0,16279.0,71611.0,57,0.0,23.0,8.1,25.6,41.7,5108284,2387.0,4467.0,85,20.0,4290.0,8.0,21,7,11.2,15,7.0,high,high,No,Yes
17033,IL,Crawford,78.9,4.1,4.8,,61,15.0,2.0,28,34,10.0,39.0,57632.0,77,60.2,5.1,0.6,2.4,90.6,18512,25.0,,82,27.0,,14.0,11,1,9.5,20,,high,low,Yes,No
17035,IL,Cumberland,79.7,4.2,5.0,,62,11.0,0.0,28,35,,4.0,68683.0,81,100.0,0.5,0.6,1.2,96.3,10649,13.0,,80,17.0,,,8,0,9.4,21,,high,high,Yes,No
17037,IL,DeKalb,78.7,3.8,4.5,,71,11.0,15.0,27,34,29.0,298.0,68546.0,58,20.3,8.3,2.8,12.0,75.1,104491,73.0,53.0,89,9.0,38.0,15.0,16,2,10.2,17,4.0,high,high,No,No
17039,IL,De Witt,74.9,4.0,4.8,,66,13.0,2.0,28,34,5.0,5.0,65526.0,76,48.8,1.0,0.4,2.9,94.3,15368,15.0,,82,22.0,10.0,0.0,8,0,9.9,20,,high,high,No,No
17041,IL,Douglas,79.2,4.2,4.9,,56,12.0,4.0,30,35,6.0,3.0,63003.0,76,61.6,0.6,0.7,7.4,89.8,19510,32.0,,77,18.0,,7.0,12,1,9.3,21,,high,high,Yes,No
17043,IL,DuPage,81.9,3.0,3.7,,79,6.0,3.0,23,31,1250.0,3195.0,92101.0,73,0.0,5.0,13.1,14.7,65.5,917481,298.0,444.0,92,7.0,215.0,6.0,15,3,10.5,11,3.0,high,high,No,No
17045,IL,Edgar,75.8,3.9,4.8,,65,18.0,14.0,27,35,5.0,26.0,52668.0,74,51.8,0.6,0.4,1.3,96.6,16858,25.0,,80,31.0,,0.0,11,0,9.1,20,,low,low,No,No
17047,IL,Edwards,76.3,4.0,4.9,,67,14.0,8.0,27,34,,4.0,55832.0,80,100.0,0.6,0.5,1.3,96.3,6356,,,79,25.0,,,6,1,9.4,20,,high,low,Yes,No
17049,IL,Effingham,77.7,3.8,4.7,,69,11.0,5.0,26,34,27.0,75.0,65172.0,77,59.7,0.6,0.8,2.1,95.6,34065,32.0,10.0,84,26.0,18.0,24.0,9,1,9.6,19,,high,high,No,No
17051,IL,Fayette,78.1,4.5,5.2,,55,19.0,18.0,31,36,3.0,21.0,49030.0,81,67.0,4.4,0.4,2.0,92.0,21264,34.0,,77,34.0,14.0,10.0,11,1,9.5,23,,low,low,Yes,No
17053,IL,Ford,76.3,4.0,4.8,,61,14.0,8.0,28,35,10.0,66.0,58478.0,74,41.8,1.1,0.5,4.0,92.4,12949,10.0,,83,22.0,,4.0,11,0,9.3,20,,high,high,No,No
17055,IL,Franklin,74.9,4.5,5.2,,64,21.0,8.0,30,36,14.0,265.0,49834.0,75,48.6,0.6,0.4,1.9,95.5,38060,60.0,27.0,77,38.0,23.0,11.0,13,0,9.4,23,17.0,low,low,No,No
17057,IL,Fulton,75.9,4.2,4.8,,57,17.0,5.0,28,36,12.0,19.0,48828.0,79,60.0,4.0,0.3,3.2,91.3,33690,38.0,15.0,80,31.0,21.0,9.0,11,0,9.7,20,8.0,low,low,No,No
17059,IL,Gallatin,73.2,4.7,5.4,,58,21.0,30.0,31,36,1.0,,44282.0,77,100.0,0.7,0.3,1.6,95.2,4793,10.0,,69,38.0,,10.0,8,0,9.2,24,,low,low,Yes,No
17061,IL,Greene,76.7,4.1,5.0,,55,17.0,1.0,28,35,2.0,,51242.0,78,70.8,1.4,0.3,1.3,96.2,12702,18.0,10.0,77,22.0,,11.0,7,0,9.1,22,,low,low,Yes,No
17063,IL,Grundy,77.2,3.5,4.4,,70,7.0,6.0,26,33,16.0,85.0,74935.0,73,24.4,1.8,0.9,10.7,85.3,50993,49.0,49.0,88,12.0,18.0,11.0,13,1,10.1,17,,high,high,No,No
17065,IL,Hamilton,77.6,4.1,4.9,,70,19.0,3.0,28,34,3.0,2.0,49302.0,78,68.1,0.7,0.7,1.9,95.3,8084,,,71,26.0,,11.0,7,0,8.8,20,,low,low,Yes,No
17067,IL,Hancock,78.3,4.0,4.8,,67,16.0,14.0,27,35,4.0,30.0,54076.0,82,71.0,0.7,0.3,1.7,95.7,17422,22.0,,77,22.0,,8.0,7,0,9.3,20,,low,low,Yes,No
17069,IL,Hardin,73.8,4.5,5.2,,56,28.0,6.0,30,36,4.0,1.0,39674.0,79,100.0,0.4,0.5,2.0,94.8,3808,,,75,20.0,,0.0,8,0,9.2,23,,low,low,Yes,No
17071,IL,Henderson,77.6,3.8,4.7,,60,15.0,0.0,26,34,,3.0,58577.0,83,99.7,0.4,0.5,1.8,95.6,6535,10.0,,80,21.0,,8.0,6,0,9.2,19,,high,high,Yes,No
17073,IL,Henry,78.1,3.8,4.6,,66,12.0,9.0,27,34,11.0,23.0,63859.0,79,50.3,1.9,0.5,6.1,89.9,48411,37.0,23.0,79,21.0,16.0,9.0,8,0,9.8,18,,high,high,No,No
17075,IL,Iroquois,75.9,4.2,4.9,,57,14.0,11.0,30,35,11.0,85.0,53633.0,76,71.7,1.1,0.6,7.5,89.5,26711,55.0,22.0,81,23.0,15.0,4.0,13,1,9.3,20,,low,low,Yes,No
17077,IL,Jackson,77.3,4.4,4.9,,74,24.0,15.0,29,37,80.0,186.0,45608.0,50,37.2,15.2,3.4,4.6,73.8,56675,68.0,35.0,82,18.0,33.0,20.0,20,1,9.4,20,7.0,low,low,No,No
17079,IL,Jasper,81.2,4.1,4.9,,64,13.0,4.0,28,35,1.0,39.0,57969.0,83,69.9,0.3,0.3,1.4,97.0,9465,10.0,,82,16.0,,20.0,12,1,9.4,21,,high,high,Yes,No
17081,IL,Jefferson,75.3,4.2,4.9,,60,19.0,10.0,29,36,24.0,98.0,58114.0,72,58.8,8.4,1.2,3.0,85.2,37235,43.0,29.0,82,38.0,13.0,12.0,13,0,9.4,21,5.0,high,high,No,No
17083,IL,Jersey,76.1,3.8,4.7,,70,12.0,4.0,26,34,9.0,15.0,69341.0,82,60.6,0.8,0.8,1.5,95.5,21616,25.0,20.0,79,14.0,15.0,,11,0,8.3,19,,high,high,Yes,No
17085,IL,Jo Daviess,80.5,3.7,4.6,,63,12.0,4.0,25,33,10.0,19.0,56446.0,77,72.6,0.7,0.5,3.2,94.3,21239,26.0,,83,13.0,,,11,1,9.2,18,,high,low,Yes,No
17087,IL,Johnson,77.0,4.1,4.8,,43,17.0,3.0,29,36,1.0,109.0,51607.0,83,100.0,6.9,0.3,3.1,88.3,12358,15.0,,74,22.0,,10.0,9,0,9.4,21,,low,low,Yes,No
17089,IL,Kane,81.0,3.5,4.0,,64,9.0,4.0,27,32,217.0,1575.0,83784.0,75,3.6,5.3,4.5,32.5,56.4,531010,225.0,246.0,89,17.0,154.0,5.0,16,6,9.1,15,5.0,high,high,No,No
17091,IL,Kankakee,76.6,4.0,4.6,,60,17.0,6.0,28,37,43.0,178.0,57413.0,67,24.5,14.8,1.0,11.2,71.1,108594,115.0,100.0,81,21.0,60.0,19.0,16,1,9.7,19,10.0,high,low,No,No
17093,IL,Kendall,81.2,3.2,3.9,,75,4.0,6.0,23,33,44.0,147.0,97263.0,83,10.4,7.8,3.6,20.9,66.0,130638,65.0,52.0,92,8.0,38.0,9.0,13,3,10.7,13,7.0,high,high,No,No
17095,IL,Knox,76.3,4.3,4.9,,56,18.0,9.0,29,37,25.0,92.0,52881.0,66,24.3,8.2,0.9,6.2,82.0,49053,48.0,24.0,75,25.0,18.0,18.0,12,1,9.6,21,6.0,low,low,No,No
17097,IL,Lake,81.0,3.2,3.8,,72,8.0,6.0,22,32,791.0,2192.0,100325.0,74,1.3,6.9,8.8,22.7,59.9,693593,357.0,304.0,91,12.0,196.0,8.0,16,5,10.2,13,5.0,high,high,No,No
17099,IL,LaSalle,76.5,4.0,4.7,,59,16.0,8.0,29,36,42.0,112.0,62714.0,72,30.2,2.6,1.0,10.3,84.7,107571,119.0,102.0,85,23.0,35.0,12.0,12,2,10.2,19,6.0,high,high,No,No
17101,IL,Lawrence,75.1,4.3,4.8,,50,18.0,8.0,30,37,4.0,43.0,47408.0,71,58.0,10.1,0.5,4.0,84.1,15467,26.0,,80,36.0,,6.0,11,1,9.5,22,,low,low,No,No
17103,IL,Lee,78.3,3.9,4.6,,62,13.0,6.0,27,35,23.0,208.0,64310.0,70,53.2,5.5,0.8,6.8,85.4,33647,34.0,20.0,80,19.0,18.0,8.0,10,0,9.7,19,,high,high,No,No
17105,IL,Livingston,76.1,4.2,4.9,,54,13.0,6.0,30,36,15.0,53.0,66274.0,72,40.8,4.1,0.7,5.0,88.6,35414,43.0,33.0,81,22.0,14.0,,13,0,9.7,21,6.0,high,high,No,No
17107,IL,Logan,76.8,3.9,4.7,,59,15.0,7.0,27,35,9.0,26.0,65255.0,71,39.9,8.4,0.7,3.6,85.7,28383,24.0,15.0,80,21.0,11.0,6.0,8,0,10.1,19,,high,high,No,No
17109,IL,McDonough,77.8,4.1,4.8,,77,19.0,10.0,28,36,14.0,60.0,52155.0,63,29.5,5.5,2.3,3.0,87.5,29295,22.0,,75,8.0,10.0,14.0,13,0,9.3,20,,low,low,No,No
17111,IL,McHenry,80.3,3.3,4.1,,72,7.0,6.0,25,34,149.0,695.0,89730.0,80,9.9,1.6,3.0,14.2,79.7,305888,194.0,168.0,94,8.0,74.0,5.0,12,2,8.3,15,5.0,high,high,No,No
17113,IL,McLean,79.4,3.5,4.3,,79,10.0,9.0,24,33,96.0,472.0,71919.0,65,16.5,8.3,5.0,5.2,79.1,171256,82.0,83.0,85,10.0,66.0,14.0,13,1,9.9,16,3.0,high,high,No,No
17115,IL,Macon,76.3,4.1,4.9,,65,18.0,8.0,29,36,92.0,166.0,57601.0,69,15.3,17.9,1.2,2.5,75.1,103015,100.0,79.0,81,31.0,67.0,16.0,13,0,10.4,21,10.0,high,low,No,No
17117,IL,Macoupin,76.7,4.1,4.9,,59,15.0,4.0,27,33,11.0,28.0,53312.0,75,58.5,1.1,0.4,1.3,95.8,44567,55.0,32.0,80,22.0,24.0,4.0,11,0,9.7,20,12.0,low,low,No,No
17119,IL,Madison,76.3,3.8,4.6,,72,13.0,13.0,26,36,121.0,487.0,63903.0,72,13.3,8.8,1.1,3.5,84.3,262635,227.0,316.0,86,20.0,151.0,12.0,13,0,11.2,19,5.0,high,high,No,No
17121,IL,Marion,73.6,4.4,5.1,,61,21.0,10.0,29,37,11.0,137.0,52019.0,75,45.1,4.2,0.6,2.2,90.9,37045,43.0,35.0,82,40.0,23.0,19.0,12,0,9.5,22,12.0,low,low,No,No
17123,IL,Marshall,77.2,3.9,4.7,,66,12.0,4.0,26,35,1.0,,54022.0,81,100.0,0.8,0.5,3.1,94.2,11309,16.0,,81,27.0,,5.0,9,0,9.7,19,,low,low,Yes,No
17125,IL,Mason,75.1,4.2,5.0,,55,20.0,13.0,29,36,3.0,4.0,53503.0,78,77.5,0.6,0.6,1.3,96.1,13173,18.0,,81,26.0,,12.0,10,0,9.7,22,,low,low,Yes,No
17127,IL,Massac,74.8,4.4,5.1,,58,23.0,3.0,30,36,2.0,49.0,49054.0,77,50.5,6.3,0.5,3.3,87.0,13636,18.0,,73,33.0,,15.0,13,0,9.6,22,,low,low,No,No
17129,IL,Menard,79.9,3.6,4.6,,68,11.0,2.0,25,34,4.0,5.0,69749.0,79,75.7,0.9,0.4,1.6,95.2,12068,21.0,10.0,84,11.0,,,8,0,9.7,18,,high,high,Yes,No
17131,IL,Mercer,78.1,3.8,4.7,,64,12.0,8.0,26,34,1.0,3.0,62857.0,79,77.8,0.6,0.5,2.7,94.9,15225,12.0,,84,18.0,11.0,,10,0,9.3,19,,high,high,Yes,No
17133,IL,Monroe,80.7,3.2,4.2,,83,4.0,5.0,21,32,13.0,51.0,90880.0,85,41.4,0.4,0.6,1.7,96.1,34739,19.0,14.0,87,6.0,15.0,,10,0,9.1,15,,high,high,No,No
17135,IL,Montgomery,76.1,4.2,4.9,,56,17.0,6.0,29,36,12.0,22.0,59497.0,76,41.6,3.6,0.5,1.9,92.9,28045,31.0,28.0,78,24.0,16.0,7.0,10,0,9.6,21,11.0,high,high,No,No
17137,IL,Morgan,76.7,4.1,4.8,,57,15.0,13.0,28,35,15.0,41.0,54764.0,69,36.2,6.7,0.8,2.8,87.6,33400,27.0,15.0,76,21.0,14.0,,13,0,9.5,21,,low,low,No,No
17139,IL,Moultrie,77.1,4.0,4.9,,59,12.0,1.0,27,35,5.0,27.0,61022.0,76,69.2,0.6,0.3,1.7,96.0,14347,15.0,,77,16.0,,8.0,11,0,9.6,20,,high,high,Yes,No
17141,IL,Ogle,78.5,3.8,4.5,,63,11.0,4.0,26,36,32.0,84.0,71470.0,72,47.1,1.1,0.6,10.9,85.9,50306,39.0,27.0,83,14.0,16.0,4.0,12,2,9.7,18,13.0,high,high,No,No
17143,IL,Peoria,76.8,3.9,4.6,,71,20.0,13.0,27,35,235.0,475.0,53506.0,65,14.6,18.6,4.2,5.2,68.9,177652,135.0,140.0,82,32.0,119.0,25.0,14,1,9.4,18,8.0,low,low,No,No
17145,IL,Perry,77.3,4.4,4.9,,49,17.0,9.0,30,37,10.0,41.0,55132.0,74,43.6,8.9,0.6,3.3,85.3,20664,22.0,,80,27.0,,,11,0,9.1,22,,low,low,No,No
17147,IL,Piatt,80.0,3.4,4.4,,71,7.0,2.0,24,33,9.0,11.0,69521.0,82,67.7,0.7,0.5,1.5,95.8,16355,16.0,,84,12.0,,8.0,7,0,9.6,17,,high,high,Yes,No
