FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
22001,LA,Acadia,73.6,5.1,6.0,93.0,41,33.0,3.0,38,38,21.0,58.0,45183.0,69,51.7,17.8,0.3,3.0,77.0,61918,84.0,34.0,78,39.0,67.0,,12,1,9.5,25,8.0,low,low,No,No
22003,LA,Allen,73.8,4.7,5.6,95.0,42,25.0,11.0,34,39,3.0,25.0,49671.0,76,69.4,22.3,0.6,2.6,70.5,25440,52.0,22.0,76,47.0,23.0,,12,2,9.5,24,,low,high,Yes,No
22005,LA,Ascension,78.6,3.9,5.0,89.0,70,13.0,10.0,30,37,54.0,143.0,88680.0,82,13.2,23.9,1.4,6.2,67.1,128665,145.0,128.0,89,19.0,82.0,,11,1,10.3,19,7.0,high,high,No,No
22007,LA,Assumption,76.5,5.2,6.0,92.0,45,26.0,1.0,39,39,3.0,6.0,52046.0,78,45.0,29.2,0.5,3.4,65.3,21621,38.0,13.0,76,27.0,11.0,,11,1,9.5,26,,low,high,No,No
22009,LA,Avoyelles,72.9,5.3,6.0,86.0,46,31.0,12.0,37,42,10.0,77.0,40448.0,70,63.8,29.7,0.5,2.1,64.7,39966,64.0,34.0,75,51.0,52.0,,15,0,9.4,27,15.0,low,low,Yes,No
22011,LA,Beauregard,75.2,4.5,5.5,95.0,54,19.0,21.0,32,39,16.0,25.0,53708.0,79,66.5,11.6,0.7,3.7,80.7,37881,50.0,13.0,83,38.0,30.0,,11,0,10.0,23,,low,high,Yes,No
22013,LA,Bienville,70.9,5.4,6.1,93.0,39,38.0,19.0,39,43,2.0,46.0,39695.0,70,79.8,41.5,0.4,2.0,54.1,12983,18.0,,67,46.0,12.0,,14,0,10.1,27,,low,low,Yes,No
22015,LA,Bossier,77.1,4.3,5.2,88.0,68,25.0,11.0,29,39,58.0,301.0,53225.0,64,24.3,23.1,1.9,6.9,65.4,127275,106.0,39.0,70,26.0,97.0,,14,1,10.5,22,15.0,low,high,No,No
22017,LA,Caddo,73.6,4.7,5.5,76.0,57,26.0,16.0,35,41,302.0,1762.0,43216.0,61,14.4,49.9,1.4,3.0,43.9,237479,282.0,87.0,73,37.0,372.0,,18,0,10.7,23,9.0,low,low,No,Yes
22019,LA,Calcasieu,74.4,4.4,5.4,89.0,60,23.0,13.0,31,42,163.0,559.0,57252.0,68,20.5,25.7,1.5,4.3,66.2,203310,241.0,132.0,80,39.0,177.0,,13,1,7.9,22,9.0,high,high,No,No
22021,LA,Caldwell,73.3,5.2,6.0,98.0,36,29.0,4.0,37,39,3.0,15.0,42490.0,71,100.0,15.9,0.3,3.5,78.7,9839,21.0,,69,52.0,14.0,,14,0,9.1,27,,low,low,Yes,No
22023,LA,Cameron,80.8,4.7,5.7,93.0,55,18.0,6.0,32,36,2.0,,60887.0,88,100.0,3.7,0.4,3.9,89.8,7003,,,81,24.0,,,7,3,9.4,23,,high,high,Yes,No
22025,LA,Catahoula,74.6,5.0,5.8,88.0,37,41.0,14.0,37,40,1.0,2.0,39222.0,80,100.0,31.5,0.1,1.8,64.8,9226,16.0,,67,49.0,,,13,0,8.9,26,,low,low,Yes,No
22027,LA,Claiborne,74.9,5.7,6.0,98.0,30,38.0,12.0,42,43,6.0,16.0,37407.0,68,82.4,51.9,0.5,1.5,44.2,15508,23.0,,50,39.0,20.0,,19,0,9.9,29,,low,low,Yes,Yes
22029,LA,Concordia,71.9,5.5,6.0,82.0,40,39.0,21.0,38,42,5.0,101.0,37546.0,73,33.5,39.8,0.4,1.8,56.6,18914,35.0,,68,51.0,27.0,,14,1,8.9,27,17.0,low,low,No,No
22031,LA,De Soto,75.3,4.9,5.8,93.0,43,25.0,9.0,36,39,5.0,70.0,43733.0,72,77.3,34.7,0.4,3.2,59.4,27650,35.0,13.0,74,31.0,31.0,,13,0,10.1,25,,low,low,Yes,No
22033,LA,East Baton Rouge,75.1,4.1,5.0,69.0,68,21.0,12.0,30,40,409.0,2023.0,57099.0,60,6.9,46.9,3.4,4.5,43.7,439729,484.0,442.0,86,25.0,642.0,,18,2,10.5,19,7.0,high,high,No,Yes
22035,LA,East Carroll,71.3,6.5,6.5,93.0,29,51.0,22.0,48,46,3.0,36.0,32813.0,57,34.6,67.6,0.4,2.9,27.7,6589,,,47,57.0,,,19,0,8.8,33,71.0,low,low,No,Yes
22037,LA,East Feliciana,72.4,4.7,5.5,83.0,39,23.0,0.0,34,42,6.0,76.0,52158.0,80,100.0,41.9,0.3,1.8,54.3,18882,39.0,16.0,71,29.0,26.0,,14,0,9.6,25,,low,high,Yes,No
22039,LA,Evangeline,72.3,5.6,6.1,78.0,36,34.0,6.0,39,40,21.0,25.0,38415.0,62,61.1,27.3,0.5,4.1,66.4,33276,60.0,27.0,69,46.0,38.0,,17,3,9.4,28,23.0,low,low,Yes,No
22041,LA,Franklin,73.1,5.6,6.2,83.0,36,37.0,13.0,39,41,9.0,28.0,42706.0,72,74.2,31.8,0.4,1.7,64.9,19723,42.0,,57,44.0,18.0,,14,0,8.9,28,25.0,low,low,Yes,No
22043,LA,Grant,75.1,4.8,5.6,92.0,38,22.0,9.0,35,40,1.0,16.0,56380.0,76,85.6,15.3,0.6,5.2,76.4,22254,43.0,11.0,70,47.0,19.0,,11,2,9.7,25,22.0,high,high,Yes,No
