FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
25001,MA,Barnstable,79.5,3.3,4.5,92.0,66,10.0,9.0,24,33,199.0,1172.0,76287.0,80,7.5,3.3,1.6,3.5,89.3,213164,111.0,250.0,90,6.0,39.0,,17,1,6.5,15,3.0,high,high,No,No
25003,MA,Berkshire,78.0,3.8,4.8,90.0,67,15.0,6.0,28,38,149.0,1179.0,65458.0,70,31.6,3.3,1.7,5.3,87.4,124571,94.0,170.0,85,10.0,37.0,,15,1,6.0,18,5.0,high,low,No,No
25005,MA,Bristol,78.3,3.9,4.9,90.0,63,13.0,4.0,31,36,296.0,3020.0,71998.0,63,9.8,5.3,2.5,8.9,81.0,566765,340.0,771.0,84,12.0,123.0,,16,4,6.9,18,6.0,high,high,No,No
25007,MA,Dukes,81.3,3.4,4.5,87.0,65,10.0,9.0,24,34,12.0,125.0,80459.0,72,39.0,4.4,1.4,3.5,86.9,17461,,14.0,84,4.0,,,23,2,6.0,15,,high,high,No,No
25009,MA,Essex,79.9,3.6,4.4,87.0,68,11.0,4.0,30,35,570.0,4917.0,88269.0,64,4.2,3.6,4.0,22.7,68.4,791263,254.0,855.0,88,11.0,137.0,,19,6,6.4,14,6.0,high,high,No,No
25011,MA,Franklin,79.6,3.7,4.7,81.0,68,14.0,5.0,27,34,46.0,620.0,62920.0,69,54.4,1.4,1.7,4.5,90.0,70267,39.0,68.0,85,11.0,15.0,,15,1,5.9,16,7.0,high,low,No,No
25013,MA,Hampden,77.4,4.2,4.8,83.0,60,20.0,5.0,32,36,314.0,4741.0,61600.0,62,8.6,7.8,2.7,26.8,61.0,463986,294.0,690.0,82,18.0,181.0,,18,5,4.8,18,10.0,high,low,No,No
25015,MA,Hampshire,80.2,3.5,4.6,91.0,77,8.0,12.0,26,34,221.0,1617.0,73864.0,68,27.4,3.0,5.6,6.2,82.9,161401,53.0,130.0,90,2.0,32.0,,16,1,5.6,14,3.0,high,high,No,No
25017,MA,Middlesex,81.9,3.1,4.0,92.0,83,7.0,3.0,22,33,2060.0,10232.0,111158.0,62,3.0,5.3,13.6,8.3,70.6,1609379,405.0,1041.0,91,4.0,152.0,,16,4,8.0,12,4.0,high,high,No,No
25019,MA,Nantucket,83.0,3.2,4.1,93.0,81,5.0,3.0,24,33,6.0,52.0,95713.0,69,18.9,9.9,1.9,15.0,71.3,11376,,,89,11.0,,,20,3,5.7,13,,high,high,No,No
25021,MA,Norfolk,81.5,3.0,4.1,91.0,84,5.0,4.0,26,35,906.0,4715.0,106348.0,69,1.2,7.5,12.5,5.2,72.8,709409,253.0,510.0,92,2.0,72.0,,15,4,8.1,12,3.0,high,high,No,No
25023,MA,Plymouth,79.4,3.5,4.6,89.0,70,7.0,5.0,25,37,328.0,3077.0,88420.0,77,10.3,11.3,1.7,4.3,80.6,523738,299.0,551.0,90,7.0,90.0,,15,3,6.1,16,4.0,high,high,No,No
25025,MA,Suffolk,80.9,3.8,4.4,73.0,77,21.0,0.0,29,38,1241.0,7492.0,85221.0,36,0.1,19.8,9.5,23.3,45.3,801582,221.0,791.0,87,9.0,244.0,,24,10,10.2,13,3.0,high,high,No,Yes
25027,MA,Worcester,79.1,3.6,4.5,90.0,69,11.0,5.0,27,39,829.0,4595.0,77931.0,66,18.4,5.0,5.5,12.4,75.2,829212,381.0,908.0,88,10.0,145.0,,15,3,6.6,15,4.0,high,high,No,No
