FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
24001,MD,Allegany,75.5,4.2,5.0,91.0,54,19.0,10.0,30,41,41.0,229.0,53023.0,69,27.3,8.1,1.2,2.0,86.4,70057,52.0,107.0,80,23.0,41.0,64.0,14,0,7.2,20,5.0,low,low,No,No
24003,MD,Anne Arundel,79.1,3.2,4.1,88.0,76,6.0,4.0,22,35,402.0,1297.0,105979.0,74,5.3,18.0,4.4,8.6,65.8,582777,329.0,785.0,93,12.0,224.0,36.0,13,1,8.9,15,4.0,high,high,No,No
24005,MD,Baltimore,77.5,3.4,4.3,88.0,71,11.0,4.0,25,38,758.0,2946.0,79974.0,66,6.5,30.1,6.4,6.0,54.8,826017,482.0,1262.0,88,13.0,536.0,39.0,15,2,8.1,16,6.0,high,high,No,No
24009,MD,Calvert,79.4,3.3,4.3,94.0,73,5.0,5.0,22,35,44.0,189.0,111665.0,85,38.7,13.2,1.9,4.5,76.9,93072,76.0,107.0,90,9.0,30.0,34.0,11,0,7.5,16,4.0,high,high,No,No
24011,MD,Caroline,76.2,4.3,5.1,88.0,47,18.0,4.0,31,40,11.0,15.0,60617.0,71,76.0,13.6,1.2,8.1,74.8,33492,57.0,49.0,83,21.0,24.0,42.0,16,2,7.2,20,,high,low,Yes,No
24013,MD,Carroll,78.5,3.2,4.3,95.0,72,6.0,3.0,23,34,76.0,400.0,104817.0,82,39.5,3.8,2.2,4.0,87.8,169092,140.0,208.0,89,7.0,56.0,16.0,11,0,8.9,14,5.0,high,high,No,No
24015,MD,Cecil,75.1,3.8,4.8,93.0,59,12.0,7.0,27,39,42.0,232.0,84248.0,75,42.1,7.0,1.5,4.8,84.1,103419,107.0,234.0,88,18.0,63.0,36.0,13,1,7.9,19,11.0,high,high,No,No
24017,MD,Charles,77.8,3.4,4.3,95.0,68,9.0,5.0,26,42,60.0,305.0,102681.0,77,29.5,50.0,3.4,6.6,35.7,164436,155.0,138.0,89,13.0,109.0,36.0,15,1,8.1,16,11.0,high,high,No,Yes
24019,MD,Dorchester,75.6,4.2,4.9,85.0,53,24.0,5.0,30,39,14.0,86.0,54846.0,68,56.2,28.1,1.1,6.1,62.0,31853,30.0,39.0,80,32.0,20.0,124.0,18,1,5.9,20,,low,low,No,No
24021,MD,Frederick,80.2,3.2,4.1,92.0,75,7.0,3.0,23,33,165.0,663.0,99254.0,76,25.2,10.3,5.3,10.9,70.6,265161,131.0,233.0,90,10.0,82.0,24.0,13,2,8.8,12,4.0,high,high,No,No
24023,MD,Garrett,77.7,4.0,5.0,92.0,55,17.0,4.0,27,37,15.0,47.0,56929.0,79,83.9,1.1,0.5,1.2,96.2,28852,38.0,22.0,78,21.0,20.0,41.0,12,0,5.6,21,,high,low,Yes,No
24025,MD,Harford,78.5,3.3,4.3,90.0,74,7.0,5.0,24,38,139.0,577.0,102537.0,79,17.8,14.6,3.1,4.9,74.4,256805,144.0,313.0,91,9.0,127.0,18.0,13,1,6.9,16,7.0,high,high,No,No
24027,MD,Howard,82.7,2.7,3.5,93.0,86,6.0,2.0,19,34,633.0,1106.0,124042.0,73,9.3,19.8,19.8,7.5,49.3,328200,122.0,154.0,95,6.0,72.0,14.0,13,3,9.1,10,5.0,high,high,No,No
24029,MD,Kent,77.9,3.7,4.6,88.0,64,17.0,0.0,25,33,14.0,36.0,64437.0,69,72.6,14.1,1.4,4.7,77.8,19192,23.0,15.0,74,11.0,10.0,69.0,16,1,6.6,17,,high,low,Yes,No
24031,MD,Montgomery,84.0,2.9,3.6,89.0,78,8.0,2.0,19,34,1468.0,3736.0,115394.0,66,2.4,18.9,15.9,20.0,42.5,1051816,365.0,391.0,93,10.0,188.0,15.0,17,6,8.7,9,4.0,high,high,No,Yes
24033,MD,Prince George's,78.5,3.5,4.1,79.0,63,13.0,3.0,27,45,482.0,1650.0,85246.0,62,2.0,61.7,4.4,19.8,12.0,909612,647.0,528.0,90,20.0,532.0,13.0,19,7,6.3,13,6.0,high,high,No,Yes
24035,MD,Queen Anne's,79.9,3.2,4.3,96.0,68,8.0,4.0,25,33,17.0,61.0,93427.0,80,54.5,6.0,1.3,4.5,86.0,51167,46.0,62.0,86,10.0,22.0,18.0,12,1,7.5,16,,high,high,No,No
24037,MD,St. Mary's,78.3,3.5,4.4,94.0,66,9.0,4.0,24,39,46.0,146.0,105197.0,70,50.4,14.5,2.9,5.6,73.2,114687,100.0,100.0,87,13.0,51.0,29.0,12,1,7.3,17,3.0,high,high,No,No
24039,MD,Somerset,75.8,4.8,5.2,83.0,44,27.0,5.0,36,42,10.0,71.0,51787.0,66,45.8,40.6,1.0,3.9,51.6,25453,23.0,33.0,80,16.0,13.0,172.0,23,1,6.7,23,,low,low,No,No
24041,MD,Talbot,79.3,3.4,4.3,94.0,69,15.0,3.0,23,34,38.0,180.0,69311.0,71,54.7,12.3,1.5,7.1,77.3,36972,23.0,40.0,87,15.0,13.0,42.0,14,1,7.1,14,,high,high,No,No
24043,MD,Washington,75.9,4.0,4.8,91.0,57,17.0,5.0,28,37,87.0,404.0,63237.0,67,29.5,12.2,2.0,6.1,76.6,151146,124.0,276.0,82,24.0,90.0,46.0,14,1,7.6,18,9.0,high,low,No,No
