FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
26001,MI,Alcona,77.2,4.7,5.6,,58,26.0,6.0,28,39,6.0,10.0,45573.0,88,98.9,0.6,0.4,1.8,95.2,10505,,,76,19.0,15.0,43.0,11,0,7.1,23,,low,low,Yes,No
26003,MI,Alger,80.1,4.5,5.3,85.0,43,16.0,5.0,27,39,7.0,6.0,51126.0,80,69.0,7.0,0.5,1.9,83.4,9015,,,74,15.0,,38.0,11,0,6.1,22,,low,low,Yes,No
26005,MI,Allegan,78.2,4.2,5.1,83.0,59,8.0,5.0,28,37,26.0,113.0,63732.0,84,64.5,1.3,0.9,7.7,88.0,118927,113.0,42.0,85,17.0,53.0,21.0,11,1,7.6,19,10.0,high,high,Yes,No
26007,MI,Alpena,77.8,4.5,5.5,82.0,67,20.0,6.0,27,40,18.0,107.0,40442.0,78,51.8,0.6,0.6,1.5,95.3,28238,17.0,,78,23.0,13.0,43.0,10,0,7.2,22,6.0,low,low,No,No
26009,MI,Antrim,80.4,4.2,5.2,85.0,62,20.0,0.0,25,37,14.0,10.0,58738.0,88,100.0,0.3,0.4,2.3,94.5,23449,29.0,11.0,82,18.0,13.0,12.0,12,0,6.9,21,,high,high,Yes,No
26011,MI,Arenac,77.4,4.9,5.7,90.0,55,21.0,0.0,29,39,5.0,31.0,50286.0,85,100.0,0.5,0.3,2.2,94.0,14953,16.0,,77,23.0,13.0,33.0,11,0,7.4,24,8.0,low,low,Yes,No
26013,MI,Baraga,76.4,4.8,5.6,85.0,46,16.0,5.0,29,42,8.0,13.0,48846.0,79,100.0,8.0,0.4,1.8,72.1,8164,,,78,19.0,,8.0,15,0,5.5,24,,low,low,Yes,No
26015,MI,Barry,79.2,4.1,5.1,85.0,60,9.0,0.0,25,37,21.0,76.0,68693.0,84,77.1,0.6,0.5,3.2,93.7,62061,73.0,26.0,81,16.0,37.0,18.0,11,0,8.9,19,8.0,high,high,Yes,No
26017,MI,Bay,76.4,4.5,5.4,84.0,66,16.0,5.0,27,39,40.0,284.0,55860.0,76,30.3,1.7,0.6,5.7,89.6,102387,74.0,93.0,84,19.0,52.0,25.0,11,0,7.1,21,7.0,high,high,No,No
26019,MI,Benzie,78.2,4.0,5.1,79.0,69,13.0,,24,37,10.0,26.0,64526.0,91,100.0,0.7,0.5,2.4,93.6,17852,18.0,,87,19.0,12.0,31.0,12,0,6.7,19,,high,high,Yes,No
26021,MI,Berrien,77.5,4.4,5.2,64.0,66,22.0,10.0,25,42,121.0,386.0,56346.0,71,32.9,14.3,2.1,5.9,74.6,153025,124.0,77.0,78,26.0,109.0,50.0,14,1,9.2,20,6.0,high,high,No,No
26023,MI,Branch,76.4,4.7,5.5,85.0,52,19.0,6.0,30,39,19.0,67.0,51757.0,76,62.7,2.2,0.7,5.4,89.7,43424,52.0,16.0,80,28.0,26.0,55.0,11,2,8.8,23,11.0,low,low,Yes,No
26025,MI,Calhoun,75.2,4.5,5.3,81.0,57,22.0,11.0,29,39,81.0,483.0,52310.0,70,31.0,10.7,2.8,5.7,76.8,133580,129.0,148.0,83,27.0,105.0,45.0,14,1,8.9,21,5.0,low,high,No,No
