FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
30001,MT,Beaverhead,81.6,3.9,4.5,98.0,73,16.0,7.0,22,32,15.0,19.0,52613.0,64,50.2,0.4,0.6,5.3,89.6,9483,,,83,10.0,,,17,0,5.0,17,,low,high,No,No
30003,MT,Big Horn,66.2,5.7,5.8,61.0,54,36.0,24.0,30,37,7.0,11.0,42823.0,65,71.9,0.4,0.7,6.0,26.5,13063,88.0,,73,73.0,19.0,41.0,24,0,6.8,27,9.0,low,low,Yes,No
30005,MT,Blaine,70.2,5.5,5.7,,61,23.0,18.0,28,37,5.0,15.0,45936.0,58,100.0,0.4,0.2,3.5,43.3,6568,18.0,,75,45.0,,31.0,16,0,6.4,28,,low,low,Yes,No
30007,MT,Broadwater,81.3,3.9,4.6,,64,13.0,4.0,21,32,2.0,5.0,61641.0,84,100.0,0.5,0.3,3.2,92.8,6444,12.0,,78,19.0,,,8,0,5.4,18,,high,high,Yes,No
30009,MT,Carbon,81.6,3.7,4.4,,64,13.0,3.0,19,33,6.0,10.0,62465.0,74,100.0,0.7,0.4,2.6,93.9,10921,16.0,,82,11.0,15.0,,12,1,5.9,17,,high,high,Yes,No
30011,MT,Carter,,4.1,4.8,,73,19.0,34.0,23,33,0.0,,48286.0,68,100.0,0.2,0.1,1.3,95.6,1235,,,79,,,0.0,13,0,5.4,19,,low,low,Yes,No
30013,MT,Cascade,77.1,4.1,4.7,83.0,66,16.0,10.0,22,36,67.0,285.0,53357.0,67,19.8,1.5,1.1,5.0,84.7,81346,87.0,39.0,79,27.0,83.0,79.0,13,0,6.4,20,7.0,low,high,No,No
30015,MT,Chouteau,79.1,4.5,5.0,,59,21.0,22.0,25,34,,5.0,50607.0,66,100.0,0.2,0.5,2.8,76.6,5699,12.0,,73,,,,10,0,6.2,20,,low,low,Yes,No
30017,MT,Custer,77.5,4.0,4.7,93.0,70,13.0,5.0,23,33,9.0,41.0,59804.0,67,17.9,0.7,0.9,3.7,90.7,11292,12.0,,80,28.0,,86.0,11,1,6.1,19,,high,high,No,No
30019,MT,Daniels,82.3,3.8,4.6,,64,13.0,5.0,21,33,0.0,,50312.0,78,100.0,0.2,0.2,3.3,91.4,1638,,,77,,,25.0,12,0,5.9,18,,low,low,Yes,No
30021,MT,Dawson,79.3,3.9,4.6,87.0,61,13.0,12.0,23,34,5.0,18.0,55845.0,66,27.6,0.5,0.6,3.2,92.1,8555,,,85,20.0,,,11,0,5.7,18,,high,high,No,No
30023,MT,Deer Lodge,74.8,4.6,5.1,78.0,55,21.0,3.0,26,34,9.0,49.0,47362.0,67,33.6,0.5,0.5,3.9,89.6,9204,11.0,,76,18.0,16.0,,14,0,5.5,22,,low,low,No,No
30025,MT,Fallon,79.0,3.8,4.6,,74,11.0,5.0,21,34,3.0,,62597.0,72,100.0,0.3,0.8,1.7,94.7,2826,,,81,,,,6,0,5.4,18,,high,high,Yes,No
30027,MT,Fergus,77.7,4.0,4.7,89.0,76,15.0,12.0,21,32,9.0,30.0,49576.0,70,47.4,0.4,0.7,2.0,93.5,11104,17.0,,84,17.0,15.0,,14,0,5.3,18,,low,low,No,No
30029,MT,Flathead,79.1,3.8,4.6,88.0,67,13.0,4.0,19,30,90.0,348.0,58959.0,74,51.5,0.3,0.9,3.1,92.4,105851,99.0,35.0,85,20.0,97.0,42.0,16,0,10.2,17,8.0,high,high,No,No
