FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
38001,ND,Adams,81.1,3.3,3.5,,63,11.0,6.0,29,32,9.0,2.0,50673.0,73,100.0,1.0,3.3,2.1,91.1,2188,,,80,,,,11,0,5.3,18,,low,low,Yes,No
38003,ND,Barnes,77.0,3.3,3.5,92.0,72,11.0,6.0,28,32,11.0,9.0,52327.0,71,39.6,1.5,1.0,2.3,92.4,10402,,,80,11.0,,,10,0,6.6,18,,low,low,No,No
38005,ND,Benson,68.4,5.3,4.7,,53,35.0,15.0,39,41,,4.0,51189.0,72,100.0,0.4,0.3,4.0,40.6,6762,23.0,,64,84.0,,,15,1,6.7,29,,low,low,Yes,No
38007,ND,Billings,,3.2,3.3,,68,14.0,18.0,28,32,0.0,0.0,76478.0,77,100.0,0.4,4.3,2.5,91.5,890,,,77,,,,12,0,4.4,17,,high,high,Yes,No
38009,ND,Bottineau,77.3,3.3,3.5,,75,11.0,10.0,30,34,2.0,1.0,61841.0,79,100.0,0.7,0.7,2.5,90.2,6287,,,85,13.0,,,8,0,6.2,18,,high,high,Yes,No
38011,ND,Bowman,78.8,3.3,3.5,,71,12.0,3.0,28,32,1.0,,67067.0,81,100.0,0.3,0.2,4.9,92.4,2986,,,86,24.0,,,9,1,5.2,18,,high,high,Yes,No
38013,ND,Burke,83.3,3.3,3.5,,76,10.0,16.0,29,33,,,73567.0,79,100.0,0.8,0.8,3.4,91.8,2118,,,83,27.0,,,7,0,2.8,18,,high,high,Yes,No
38015,ND,Burleigh,80.3,3.1,3.3,91.0,78,9.0,5.0,26,32,103.0,274.0,72170.0,70,18.5,2.2,0.9,2.7,88.2,96212,67.0,22.0,85,17.0,55.0,,10,0,8.6,17,7.0,high,high,No,No
38017,ND,Cass,79.9,3.1,3.3,87.0,80,9.0,3.0,23,31,186.0,575.0,61338.0,52,10.4,6.3,3.3,2.9,84.1,183904,79.0,60.0,87,12.0,83.0,,12,1,7.1,16,2.0,high,high,No,No
38019,ND,Cavalier,81.0,3.4,3.5,,82,12.0,8.0,28,29,1.0,2.0,54270.0,80,100.0,0.5,0.6,1.9,94.1,3713,,,80,19.0,,,6,2,6.7,18,,low,high,Yes,No
