FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
31001,NE,Adams,77.9,3.4,3.9,89.0,72,11.0,12.0,30,32,28.0,121.0,54445.0,68,22.5,1.0,1.3,11.5,84.6,31321,39.0,,83,23.0,,51.0,12,2,7.2,17,,low,low,No,No
31003,NE,Antelope,82.7,3.4,4.0,,74,15.0,4.0,32,31,2.0,2.0,54136.0,76,100.0,0.3,0.5,3.5,94.7,6264,,,79,9.0,,40.0,10,1,6.5,18,,low,low,Yes,No
31005,NE,Arthur,,3.7,4.1,,77,17.0,34.0,31,30,0.0,0.0,52500.0,70,100.0,0.0,0.2,3.4,95.1,466,,,77,,,0.0,12,0,5.2,18,,low,low,Yes,No
31007,NE,Banner,,3.2,3.8,,89,14.0,28.0,27,32,0.0,0.0,59511.0,69,100.0,1.3,0.3,6.5,91.2,786,,,82,,,0.0,7,2,4.7,15,,high,high,Yes,No
31009,NE,Blaine,,3.2,3.9,,77,21.0,26.0,27,29,0.0,0.0,52780.0,68,100.0,0.4,0.0,2.0,96.3,457,,,92,,,,5,0,5.5,17,,low,low,Yes,No
31011,NE,Boone,81.1,3.3,3.9,,80,11.0,3.0,29,29,8.0,2.0,56719.0,77,100.0,0.6,0.3,2.5,95.9,5096,,,79,9.0,,,7,0,6.7,17,,high,low,Yes,No
31013,NE,Box Butte,77.7,3.5,3.9,80.0,63,12.0,9.0,31,32,5.0,20.0,62621.0,71,25.0,0.9,0.8,13.2,80.5,10696,17.0,,88,27.0,,50.0,10,2,4.9,18,,high,high,No,No
31015,NE,Boyd,77.6,3.3,3.9,,67,19.0,12.0,29,30,2.0,,51082.0,84,100.0,0.1,1.4,2.5,94.4,1860,,,74,,,,7,1,5.6,17,,low,low,Yes,No
31017,NE,Brown,79.1,3.7,4.2,,65,15.0,4.0,33,33,3.0,1.0,52962.0,79,100.0,0.5,0.2,4.1,92.9,2981,,,85,,,,10,1,5.3,19,,low,low,Yes,No
31019,NE,Buffalo,80.4,3.3,3.8,86.0,72,9.0,9.0,27,31,42.0,197.0,68925.0,66,32.3,1.1,1.5,9.6,86.2,50114,40.0,,87,14.0,19.0,29.0,13,2,6.9,17,,high,high,No,No
