FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
33001,NH,Belknap,77.1,3.6,4.7,89.0,65,10.0,2.0,21,35,40.0,343.0,76105.0,77,66.3,0.6,1.1,1.9,94.8,61551,47.0,69.0,86,10.0,40.0,,15,0,4.7,17,,high,high,Yes,No
33003,NH,Carroll,79.7,3.7,4.7,93.0,70,12.0,0.0,22,34,44.0,128.0,73073.0,79,90.2,0.6,0.8,1.6,95.5,49167,41.0,36.0,89,13.0,31.0,,15,0,5.6,17,,high,high,Yes,No
33005,NH,Cheshire,79.6,3.7,4.7,85.0,67,11.0,4.0,22,33,53.0,271.0,66398.0,68,65.0,0.7,1.7,2.1,93.7,76228,56.0,69.0,85,9.0,53.0,,15,0,5.6,18,,high,high,Yes,No
33007,NH,Coos,77.2,4.2,5.1,90.0,51,19.0,5.0,27,39,38.0,71.0,49465.0,72,66.2,0.9,0.7,2.0,94.6,31174,34.0,23.0,81,19.0,26.0,,14,0,5.8,21,,low,low,Yes,No
33009,NH,Grafton,80.7,3.6,4.6,94.0,69,11.0,3.0,23,32,177.0,467.0,77022.0,70,68.7,1.2,3.9,2.6,90.2,90691,57.0,47.0,84,6.0,60.0,,13,1,6.2,16,3.0,high,high,Yes,No
33011,NH,Hillsborough,79.4,3.4,4.4,86.0,72,9.0,4.0,22,36,356.0,1482.0,79222.0,66,21.2,2.6,4.6,7.6,83.2,418735,201.0,441.0,90,11.0,211.0,,15,2,3.4,15,5.0,high,high,No,No
33013,NH,Merrimack,79.5,3.5,4.6,87.0,70,7.0,3.0,21,33,159.0,691.0,81132.0,73,54.6,1.6,2.3,2.4,91.9,152622,97.0,138.0,88,8.0,82.0,,14,1,5.7,16,3.0,high,high,No,No
33015,NH,Rockingham,80.8,3.2,4.3,92.0,75,5.0,5.0,20,33,243.0,840.0,96775.0,78,24.9,0.8,2.3,3.4,91.9,311307,146.0,250.0,92,5.0,126.0,,13,0,5.2,14,5.0,high,high,No,No
33017,NH,Strafford,78.2,3.6,4.7,86.0,72,7.0,6.0,23,35,83.0,365.0,72817.0,67,32.4,1.2,3.9,2.9,89.9,131533,72.0,155.0,88,8.0,54.0,,16,1,5.8,17,2.0,high,high,No,No
33019,NH,Sullivan,79.7,3.9,4.9,84.0,57,12.0,8.0,24,32,31.0,87.0,65881.0,73,64.2,0.7,1.1,1.9,94.3,43267,32.0,24.0,84,16.0,34.0,,13,0,6.1,19,12.0,high,high,Yes,No
