FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
35001,NM,Bernalillo,77.4,3.9,4.4,69.0,70,17.0,6.0,23,33,720.0,3377.0,56632.0,63,4.2,2.7,3.0,50.6,37.8,681666,712.0,805.0,83,21.0,763.0,19.0,18,3,8.4,15,7.0,high,low,No,Yes
35003,NM,Catron,80.4,4.6,5.2,,28,36.0,44.0,27,32,1.0,2.0,27423.0,87,100.0,0.7,0.3,18.6,75.1,3623,,,58,,10.0,,11,1,4.6,20,,low,low,Yes,No
35005,NM,Chaves,74.5,4.7,4.8,74.0,53,26.0,16.0,34,33,45.0,90.0,51441.0,68,24.2,1.5,1.2,58.7,37.1,64711,82.0,42.0,73,40.0,84.0,73.0,15,5,6.7,17,6.0,low,low,No,Yes
35006,NM,Cibola,74.4,5.3,5.3,67.0,51,32.0,22.0,33,38,13.0,100.0,42705.0,72,55.3,1.2,0.6,38.8,18.4,26354,52.0,15.0,64,37.0,23.0,30.0,20,3,4.7,21,10.0,low,low,No,No
35007,NM,Colfax,76.9,4.4,4.7,,55,25.0,15.0,30,34,5.0,130.0,43265.0,68,52.4,0.6,0.9,49.3,46.7,11927,16.0,12.0,71,31.0,16.0,69.0,15,1,5.1,16,,low,low,No,Yes
35009,NM,Curry,76.1,4.6,4.9,81.0,62,19.0,13.0,30,32,26.0,301.0,53864.0,56,14.1,5.7,1.9,44.2,45.5,48793,52.0,41.0,84,49.0,40.0,65.0,16,5,6.5,17,16.0,low,low,No,Yes
35011,NM,De Baca,77.3,4.7,5.0,,54,29.0,8.0,30,34,1.0,17.0,42319.0,62,100.0,0.4,0.2,45.3,51.2,1673,,,69,,,,8,0,5.1,18,,low,low,Yes,No
35013,NM,Dona Ana,78.6,4.6,4.7,82.0,65,27.0,17.0,28,33,136.0,712.0,46547.0,65,19.3,1.6,1.4,68.8,26.6,221262,204.0,109.0,77,30.0,153.0,52.0,20,9,8.8,15,8.0,low,low,No,Yes
35015,NM,Eddy,74.3,4.2,4.6,81.0,56,14.0,10.0,28,34,19.0,74.0,66199.0,70,20.9,1.4,1.0,51.6,44.1,58418,95.0,51.0,80,48.0,89.0,43.0,13,3,7.2,16,9.0,high,high,No,Yes
35017,NM,Grant,76.8,4.3,4.6,85.0,53,26.0,11.0,27,33,21.0,167.0,43557.0,66,42.4,0.8,0.9,49.8,46.4,27007,27.0,24.0,79,31.0,41.0,36.0,15,1,5.2,15,,low,low,No,Yes
