FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
36001,NY,Albany,79.4,3.5,4.4,86.0,78,13.0,6.0,24,39,308.0,1213.0,70629.0,56,9.7,12.9,7.0,6.5,70.9,303654,120.0,191.0,86,9.0,88.0,20.0,15,2,7.9,15,4.0,high,high,No,No
36003,NY,Allegany,77.9,4.3,5.1,88.0,65,21.0,1.0,29,40,21.0,113.0,53371.0,79,78.7,1.3,1.3,1.8,94.3,45587,28.0,15.0,78,13.0,35.0,16.0,13,0,6.5,22,3.0,low,low,Yes,No
36005,NY,Bronx,78.0,4.9,4.6,69.0,53,31.0,0.0,39,42,896.0,3240.0,44906.0,20,0.0,29.1,4.7,56.4,8.9,1401142,372.0,1363.0,80,22.0,332.0,3.0,39,15,8.3,17,9.0,low,low,No,Yes
36007,NY,Broome,78.1,4.1,4.8,83.0,67,24.0,4.0,27,39,163.0,446.0,52510.0,65,26.1,5.7,4.5,4.7,82.3,189420,82.0,164.0,84,14.0,54.0,18.0,16,1,6.9,19,4.0,low,low,No,No
36009,NY,Cattaraugus,77.1,4.5,5.2,88.0,56,22.0,2.0,31,37,35.0,113.0,51824.0,72,61.8,1.3,0.8,2.3,90.1,75863,52.0,43.0,76,20.0,37.0,11.0,14,1,7.3,22,6.0,low,low,Yes,No
36011,NY,Cayuga,79.1,4.1,4.9,83.0,58,15.0,1.0,29,37,20.0,157.0,59335.0,71,55.8,4.0,0.7,3.2,89.6,76029,50.0,56.0,82,16.0,18.0,11.0,13,0,6.4,21,9.0,high,high,No,No
36013,NY,Chautauqua,77.8,4.4,5.0,84.0,60,19.0,6.0,29,38,68.0,229.0,50062.0,69,43.9,2.1,0.7,8.0,86.7,126032,66.0,106.0,80,23.0,54.0,23.0,15,1,6.6,22,7.0,low,low,No,No
36015,NY,Chemung,76.4,4.1,4.9,78.0,60,20.0,6.0,29,39,65.0,257.0,54705.0,67,24.2,5.9,1.4,3.5,85.8,82622,47.0,81.0,82,26.0,29.0,21.0,13,0,6.2,21,10.0,low,low,No,No
36017,NY,Chenango,76.6,4.3,5.1,84.0,55,16.0,2.0,29,41,16.0,92.0,52545.0,75,83.4,0.8,0.6,2.4,94.5,46730,42.0,22.0,82,21.0,26.0,9.0,13,1,6.5,21,12.0,low,low,Yes,No
36019,NY,Clinton,79.1,4.1,4.9,87.0,55,13.0,3.0,28,39,59.0,243.0,59741.0,68,64.2,3.8,1.4,3.0,90.0,79778,30.0,30.0,82,11.0,23.0,8.0,14,0,7.0,20,,high,high,Yes,No
36021,NY,Columbia,80.4,3.8,4.6,84.0,62,16.0,7.0,26,34,24.0,119.0,66068.0,73,73.3,4.6,2.1,5.3,85.8,59534,50.0,28.0,82,12.0,32.0,,16,1,7.0,18,16.0,high,high,Yes,No
36023,NY,Cortland,78.1,4.1,4.9,88.0,64,16.0,4.0,28,36,18.0,177.0,60165.0,66,44.3,1.8,1.1,2.9,92.1,47173,28.0,31.0,79,11.0,10.0,15.0,13,0,6.1,20,,high,high,No,No
36025,NY,Delaware,78.1,4.2,5.0,88.0,55,19.0,4.0,30,40,14.0,59.0,54440.0,76,78.4,1.7,1.2,4.2,91.5,43938,40.0,27.0,79,10.0,27.0,10.0,16,1,6.6,21,,low,low,Yes,No
36027,NY,Dutchess,80.1,3.5,4.3,86.0,67,9.0,6.0,26,40,196.0,910.0,79276.0,68,25.4,10.6,3.7,13.4,70.0,293293,169.0,293.0,90,7.0,85.0,5.0,20,2,7.7,16,5.0,high,high,No,No
36029,NY,Erie,78.0,3.8,4.6,83.0,74,18.0,6.0,25,38,734.0,3221.0,59584.0,65,9.4,13.1,4.0,6.0,74.5,917241,328.0,679.0,84,16.0,362.0,12.0,15,2,7.6,18,6.0,high,high,No,No
36031,NY,Essex,79.7,3.8,4.7,86.0,56,15.0,1.0,28,36,14.0,61.0,57129.0,76,74.9,2.4,0.7,3.2,92.0,36891,19.0,10.0,81,16.0,10.0,10.0,13,1,3.4,18,11.0,high,low,Yes,No
36033,NY,Franklin,79.1,4.4,5.0,86.0,50,25.0,8.0,31,41,29.0,153.0,58709.0,72,62.7,5.6,0.5,3.6,81.7,49965,31.0,20.0,79,22.0,15.0,16.0,14,0,7.4,22,11.0,high,low,Yes,No
36035,NY,Fulton,77.5,4.3,5.1,80.0,59,20.0,4.0,30,43,19.0,123.0,55405.0,70,50.4,1.9,0.7,3.7,91.9,52812,45.0,32.0,80,26.0,20.0,12.0,13,0,6.7,23,10.0,high,low,No,No
36037,NY,Genesee,77.8,3.9,4.8,91.0,64,13.0,2.0,28,38,16.0,93.0,62641.0,72,59.9,2.8,0.7,3.5,90.2,56994,39.0,55.0,83,14.0,13.0,6.0,12,0,7.3,19,6.0,high,high,No,No
36039,NY,Greene,78.7,4.1,4.8,91.0,52,16.0,2.0,30,40,17.0,43.0,60163.0,77,73.1,5.4,1.2,6.6,84.6,47177,39.0,37.0,74,12.0,16.0,13.0,18,1,6.8,20,23.0,high,high,Yes,No
36041,NY,Hamilton,79.8,4.4,5.2,,61,14.0,12.0,30,35,1.0,3.0,56253.0,85,100.0,1.0,0.8,1.9,94.4,4345,,,80,,,,14,1,6.0,22,,high,low,Yes,No
36043,NY,Herkimer,79.2,4.1,5.0,84.0,60,16.0,4.0,28,40,18.0,48.0,59893.0,74,51.8,1.3,0.6,2.5,93.9,60945,36.0,30.0,83,18.0,22.0,11.0,11,1,6.5,21,10.0,high,high,No,No
