FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
39001,OH,Adams,73.5,5.4,6.1,75.0,49,29.0,11.0,36,44,12.0,46.0,42342.0,70,89.0,0.5,0.4,1.1,96.1,27531,39.0,39.0,71,38.0,20.0,15.0,17,0,8.6,30,,low,low,Yes,No
39003,OH,Allen,76.3,4.5,5.4,83.0,61,18.0,4.0,34,42,70.0,248.0,52558.0,67,25.9,12.4,0.9,3.5,80.1,101980,79.0,62.0,83,27.0,70.0,31.0,13,0,8.1,23,7.0,low,low,No,No
39005,OH,Ashland,77.3,4.5,5.4,88.0,56,16.0,2.0,31,39,23.0,126.0,55699.0,75,61.9,0.8,0.8,1.6,95.3,53362,59.0,32.0,83,17.0,22.0,30.0,12,1,8.9,24,,high,low,Yes,No
39007,OH,Ashtabula,75.2,5.1,5.7,84.0,48,24.0,10.0,35,43,29.0,190.0,51252.0,71,46.4,3.3,0.5,4.6,89.1,96513,108.0,111.0,80,28.0,69.0,45.0,15,1,8.8,27,12.0,low,low,No,No
39009,OH,Athens,77.4,5.0,5.7,89.0,67,21.0,11.0,32,41,46.0,366.0,42215.0,59,43.2,2.8,3.0,1.9,89.8,65481,51.0,36.0,79,7.0,28.0,26.0,22,0,6.9,25,2.0,low,low,No,No
39011,OH,Auglaize,77.9,4.2,5.2,86.0,65,7.0,2.0,28,38,17.0,24.0,69468.0,76,39.1,0.6,0.6,1.9,95.6,45680,34.0,,86,20.0,23.0,36.0,10,0,9.6,22,,high,high,No,No
39013,OH,Belmont,75.9,4.5,5.4,86.0,58,18.0,7.0,34,40,24.0,146.0,50626.0,76,54.7,4.0,0.6,1.1,92.5,65932,41.0,67.0,76,25.0,46.0,32.0,8,0,7.8,26,6.0,low,low,No,No
39015,OH,Brown,74.2,4.7,5.6,86.0,53,18.0,3.0,32,40,10.0,71.0,58067.0,73,76.6,0.9,0.4,1.2,96.1,43414,58.0,60.0,77,30.0,34.0,23.0,12,0,9.2,24,9.0,high,high,Yes,No
39017,OH,Butler,76.4,4.2,5.0,86.0,65,12.0,9.0,28,37,210.0,1012.0,69049.0,69,9.3,9.0,4.1,5.1,79.1,385648,244.0,564.0,89,16.0,215.0,28.0,13,1,10.9,22,5.0,high,high,No,No
39019,OH,Carroll,76.9,4.5,5.5,92.0,44,16.0,2.0,30,42,6.0,16.0,52065.0,79,71.0,0.6,0.3,1.4,96.1,26897,36.0,20.0,75,22.0,18.0,11.0,9,1,8.8,24,,low,low,Yes,No
39021,OH,Champaign,76.8,4.4,5.4,82.0,48,13.0,1.0,29,39,8.0,42.0,64142.0,73,70.8,2.1,0.5,1.6,93.2,38960,35.0,36.0,85,24.0,28.0,63.0,9,0,9.5,24,9.0,high,high,Yes,No
39023,OH,Clark,73.9,4.7,5.5,76.0,56,21.0,8.0,31,43,59.0,236.0,54507.0,67,23.6,8.7,0.7,3.7,83.6,133593,149.0,192.0,86,32.0,119.0,54.0,13,1,10.4,25,8.0,low,low,No,No
