FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
40001,OK,Adair,73.4,6.1,6.1,85.0,36,31.0,5.0,44,43,6.0,48.0,36749.0,69,83.3,0.5,0.9,7.3,38.6,21955,27.0,15.0,51,56.0,17.0,,16,1,9.6,30,16.0,low,low,Yes,No
40003,OK,Alfalfa,77.0,4.0,4.5,,48,18.0,15.0,34,37,2.0,1.0,51157.0,79,100.0,4.5,0.5,6.2,82.8,5718,14.0,,81,29.0,,,7,1,8.5,19,,low,high,Yes,No
40005,OK,Atoka,75.3,5.2,5.5,87.0,45,23.0,15.0,40,40,2.0,163.0,42618.0,75,100.0,3.7,0.6,4.0,69.4,13912,24.0,,71,47.0,11.0,,13,0,9.6,25,,low,low,Yes,No
40007,OK,Beaver,77.4,4.4,4.6,,51,15.0,12.0,39,37,,,61477.0,79,100.0,0.7,0.4,25.9,69.3,5207,20.0,,83,14.0,,,10,5,6.8,18,,high,high,Yes,No
40009,OK,Beckham,73.6,4.6,4.8,93.0,51,22.0,8.0,38,38,14.0,73.0,47625.0,67,32.7,4.0,1.1,15.4,74.4,21468,43.0,17.0,76,46.0,22.0,,9,1,7.6,20,,low,low,No,No
40011,OK,Blaine,71.7,4.7,5.1,,41,20.0,24.0,38,37,4.0,36.0,55643.0,73,57.4,3.1,0.4,13.2,70.4,9447,21.0,,74,38.0,10.0,,11,5,9.0,22,,high,high,No,No
40013,OK,Bryan,74.9,4.8,5.3,89.0,53,19.0,11.0,35,39,20.0,401.0,45213.0,63,61.3,1.8,0.6,6.7,69.7,48998,88.0,26.0,74,40.0,35.0,,15,1,9.8,22,9.0,low,low,Yes,No
40015,OK,Caddo,71.5,5.0,5.1,89.0,42,23.0,10.0,40,39,6.0,14.0,48380.0,73,80.0,2.6,0.5,13.9,56.5,28684,65.0,23.0,73,37.0,30.0,,11,4,8.9,23,13.0,low,low,Yes,No
40017,OK,Canadian,78.0,3.8,4.5,92.0,66,9.0,8.0,30,35,55.0,326.0,75452.0,76,22.5,3.5,3.3,10.3,74.1,153192,132.0,56.0,89,19.0,101.0,,10,2,10.0,17,8.0,high,high,No,No
40019,OK,Carter,74.3,4.5,5.1,89.0,55,23.0,8.0,36,38,26.0,222.0,46781.0,67,56.1,6.3,1.4,8.3,68.4,48353,73.0,36.0,69,43.0,55.0,,14,1,8.6,21,13.0,low,low,No,No
40021,OK,Cherokee,75.1,5.2,5.5,93.0,55,26.0,14.0,36,41,28.0,210.0,49553.0,67,60.0,1.3,1.1,7.6,46.2,49019,77.0,31.0,74,27.0,42.0,,15,1,9.9,24,5.0,low,low,No,No
40023,OK,Choctaw,72.2,5.5,5.8,90.0,46,28.0,21.0,41,43,6.0,127.0,41622.0,68,66.9,10.2,0.5,5.0,59.0,14646,32.0,13.0,66,54.0,24.0,,15,0,9.6,27,,low,low,Yes,No
40025,OK,Cimarron,81.8,4.4,4.7,,56,24.0,15.0,38,37,,,50804.0,73,100.0,0.7,0.5,23.7,71.5,2145,,,65,32.0,,,10,3,5.5,18,,low,high,Yes,No
40027,OK,Cleveland,78.4,3.9,4.5,89.0,71,12.0,6.0,30,38,146.0,1022.0,64011.0,64,16.9,5.2,4.7,9.5,70.3,287066,207.0,124.0,89,15.0,170.0,,15,1,10.1,17,3.0,high,high,No,No
40029,OK,Coal,71.4,5.3,5.6,,49,26.0,11.0,40,39,1.0,4.0,41162.0,77,100.0,0.8,0.3,4.8,66.1,5587,15.0,,68,45.0,,,11,0,9.4,26,,low,low,Yes,No
40031,OK,Comanche,75.5,4.4,4.8,88.0,60,20.0,11.0,39,42,91.0,420.0,54007.0,53,21.8,16.1,2.7,13.8,55.4,121099,115.0,71.0,86,36.0,130.0,,15,1,7.1,20,7.0,low,high,No,No
40033,OK,Cotton,73.4,4.8,5.2,,42,25.0,7.0,37,39,,2.0,46266.0,74,59.5,2.0,0.4,8.9,75.1,5676,10.0,,80,37.0,10.0,,12,0,8.2,23,,low,low,No,No
40035,OK,Craig,74.4,5.1,5.5,75.0,46,23.0,14.0,40,40,6.0,87.0,43804.0,70,60.1,3.1,0.7,4.0,62.0,14194,22.0,,72,37.0,14.0,,14,1,9.6,24,,low,low,Yes,No
40037,OK,Creek,74.5,4.6,5.2,88.0,50,17.0,5.0,34,39,15.0,184.0,49954.0,75,53.9,2.1,0.7,4.8,75.0,71485,101.0,45.0,82,31.0,79.0,,13,1,10.9,23,10.0,low,low,No,No
40039,OK,Custer,74.1,4.7,4.9,92.0,62,16.0,16.0,38,38,16.0,177.0,55826.0,64,30.3,2.7,1.4,18.7,67.4,28648,41.0,,84,32.0,29.0,,19,2,8.5,19,,high,high,No,No
40041,OK,Delaware,75.4,5.1,5.5,89.0,43,27.0,9.0,38,39,20.0,83.0,43147.0,76,81.1,0.4,1.2,4.0,63.3,43136,67.0,16.0,73,36.0,39.0,,15,1,9.8,24,8.0,low,low,Yes,No
40043,OK,Dewey,73.4,4.5,5.0,,45,12.0,25.0,36,38,2.0,,56711.0,74,100.0,0.7,1.2,7.9,80.4,4815,18.0,,80,24.0,,,9,1,8.3,20,,high,high,Yes,No
40045,OK,Ellis,76.2,4.5,5.0,,62,16.0,14.0,36,37,2.0,,56763.0,77,100.0,0.6,0.5,7.8,86.0,3830,11.0,,75,33.0,,,9,1,7.3,21,,high,high,Yes,No
40047,OK,Garfield,75.0,4.2,4.7,89.0,51,17.0,5.0,34,38,28.0,288.0,61501.0,65,21.4,2.8,1.3,13.6,72.2,60869,61.0,25.0,80,37.0,48.0,,12,3,9.3,19,7.0,high,high,No,No
40049,OK,Garvin,72.3,4.7,5.2,90.0,45,22.0,5.0,37,37,9.0,45.0,47391.0,68,68.7,2.1,0.5,10.1,73.4,27691,69.0,25.0,78,41.0,17.0,,11,1,9.7,23,16.0,low,low,Yes,No
40051,OK,Grady,75.4,4.2,4.9,90.0,54,16.0,7.0,34,36,14.0,82.0,58621.0,77,63.9,2.1,0.5,6.2,80.9,55906,85.0,37.0,79,27.0,44.0,,10,0,9.8,21,7.0,high,high,Yes,No
40053,OK,Grant,74.6,4.0,4.7,,54,15.0,19.0,32,36,,,51399.0,77,100.0,1.5,0.3,5.7,86.8,4372,,,72,23.0,,,5,0,8.6,19,,low,high,Yes,No
40055,OK,Greer,76.9,4.8,5.0,,42,27.0,7.0,40,40,1.0,23.0,42010.0,71,52.7,8.2,0.3,12.4,73.1,5704,,,75,40.0,,,10,0,7.4,22,,low,low,No,No
40057,OK,Harmon,71.5,4.6,4.7,,57,35.0,2.0,39,38,1.0,2.0,40246.0,69,100.0,7.5,1.5,30.8,54.4,2557,,,77,51.0,,,8,2,7.1,18,,low,low,Yes,No
40059,OK,Harper,78.0,4.4,4.7,,54,15.0,20.0,39,36,,3.0,57833.0,80,100.0,0.3,0.2,24.5,71.7,3611,,,70,31.0,,,7,5,7.1,19,,high,high,Yes,No
40061,OK,Haskell,74.2,5.1,5.5,87.0,49,26.0,18.0,39,38,3.0,33.0,41253.0,77,77.7,0.8,0.9,4.7,69.1,12652,23.0,,72,46.0,11.0,,15,1,9.8,24,9.0,low,low,Yes,No
40063,OK,Hughes,72.5,5.2,5.5,83.0,41,27.0,7.0,41,42,3.0,17.0,39333.0,73,58.8,5.7,0.3,6.2,61.5,13126,38.0,,54,53.0,22.0,,8,0,9.8,25,,low,low,No,No
40065,OK,Jackson,74.4,4.3,4.6,86.0,57,21.0,10.0,39,38,16.0,61.0,56779.0,61,24.8,6.6,1.8,25.3,61.3,24305,36.0,17.0,83,45.0,21.0,,13,1,7.8,17,,high,high,No,No
40067,OK,Jefferson,75.3,5.1,5.3,,45,25.0,14.0,41,39,2.0,1.0,43014.0,75,100.0,1.3,0.6,12.0,75.9,5949,,,67,37.0,,,12,0,8.7,24,,low,low,Yes,No
40069,OK,Johnston,73.0,5.0,5.4,,56,23.0,14.0,37,39,3.0,92.0,45361.0,73,100.0,2.3,0.6,6.1,67.7,10824,36.0,11.0,67,34.0,15.0,,12,0,9.5,24,,low,low,Yes,No
40071,OK,Kay,73.1,4.7,5.1,90.0,53,22.0,15.0,37,40,17.0,100.0,50256.0,66,24.5,2.1,0.7,8.6,72.9,43274,57.0,16.0,73,44.0,52.0,,12,1,8.2,22,13.0,low,low,No,No
40073,OK,Kingfisher,77.0,4.3,4.7,95.0,49,12.0,4.0,37,36,7.0,26.0,71450.0,79,72.4,1.3,0.4,17.0,74.8,15806,23.0,,82,24.0,17.0,,9,4,9.4,19,,high,high,Yes,No
40075,OK,Kiowa,71.8,4.9,5.2,87.0,48,27.0,19.0,40,39,3.0,18.0,40112.0,72,61.7,3.9,0.3,12.0,73.2,8741,19.0,,75,38.0,,,11,1,8.0,22,,low,low,Yes,No
40077,OK,Latimer,77.5,5.1,5.5,,51,26.0,7.0,38,40,2.0,72.0,40831.0,71,73.3,1.2,0.7,4.8,62.0,10132,20.0,,74,35.0,10.0,,12,1,9.4,24,,low,low,Yes,No
40079,OK,Le Flore,73.2,5.2,5.5,84.0,47,23.0,9.0,42,42,14.0,171.0,40632.0,72,72.9,1.9,0.8,7.4,70.3,49935,94.0,32.0,72,41.0,47.0,,12,2,10.3,25,11.0,low,low,Yes,No
40081,OK,Lincoln,75.9,4.6,5.2,94.0,50,18.0,11.0,36,37,8.0,72.0,56957.0,81,92.1,1.8,0.4,3.5,81.9,35045,69.0,19.0,69,26.0,32.0,,11,0,9.8,22,14.0,high,high,Yes,No
40083,OK,Logan,79.1,4.2,4.8,86.0,62,13.0,15.0,32,38,2.0,80.0,72617.0,85,55.4,7.7,0.7,7.0,77.0,48777,57.0,,84,14.0,29.0,,12,1,9.6,18,8.0,high,high,No,No
40085,OK,Love,74.3,4.8,5.1,85.0,45,16.0,6.0,40,39,3.0,8.0,54219.0,76,100.0,2.1,0.6,17.0,69.5,10230,19.0,11.0,75,37.0,,,11,4,9.3,22,,low,high,Yes,No
40087,OK,McClain,76.4,4.0,4.7,91.0,64,13.0,3.0,33,36,19.0,53.0,68563.0,79,77.2,1.0,0.6,8.6,78.0,41348,61.0,14.0,88,23.0,34.0,,11,1,10.1,19,,high,high,Yes,No
40089,OK,McCurtain,72.4,5.4,5.6,89.0,44,25.0,14.0,42,41,14.0,113.0,45380.0,71,69.3,7.8,1.0,6.4,60.3,32772,70.0,20.0,67,47.0,51.0,,13,1,9.9,25,13.0,low,low,Yes,No
40091,OK,McIntosh,74.5,5.2,5.6,81.0,42,30.0,7.0,40,40,5.0,33.0,37535.0,78,87.3,2.9,0.5,3.0,67.3,19635,28.0,,65,42.0,18.0,,14,0,10.0,25,,low,low,Yes,No
40093,OK,Major,74.9,4.2,4.8,,57,16.0,3.0,34,36,4.0,4.0,54851.0,81,100.0,0.6,0.9,10.3,83.6,7579,22.0,,82,29.0,13.0,,8,2,8.8,19,,low,high,Yes,No
40095,OK,Marshall,76.2,4.9,5.1,88.0,48,20.0,14.0,40,39,4.0,55.0,51072.0,77,72.1,1.6,0.4,18.6,63.8,17114,25.0,,67,50.0,23.0,,12,3,9.6,22,,low,high,Yes,No
40097,OK,Mayes,74.1,5.1,5.6,88.0,50,25.0,5.0,38,40,14.0,96.0,50905.0,75,77.4,0.6,0.5,3.8,63.6,41152,68.0,27.0,81,40.0,32.0,,13,0,10.3,25,12.0,low,high,Yes,No
40099,OK,Murray,74.8,4.7,5.2,89.0,48,20.0,6.0,35,38,4.0,14.0,55318.0,71,45.7,1.5,0.6,7.3,69.8,13955,34.0,,66,40.0,14.0,,10,1,9.4,21,,high,high,No,No
40101,OK,Muskogee,72.1,5.0,5.4,88.0,54,26.0,6.0,39,39,32.0,331.0,42607.0,65,41.1,10.3,0.7,6.9,54.8,67610,86.0,54.0,71,40.0,62.0,,15,1,10.4,23,14.0,low,low,No,No
40103,OK,Noble,74.8,4.1,4.9,88.0,55,15.0,12.0,34,38,4.0,4.0,56632.0,78,56.3,1.9,0.5,4.4,79.9,11113,17.0,,75,33.0,16.0,,12,0,9.2,20,,high,high,No,No
40105,OK,Nowata,76.3,4.9,5.4,,53,23.0,11.0,38,40,1.0,23.0,45719.0,73,57.9,2.3,0.2,3.7,65.0,10076,31.0,,67,32.0,,,11,0,9.0,24,,low,low,No,No
40107,OK,Okfuskee,69.2,5.6,5.7,,40,25.0,7.0,43,43,,41.0,45823.0,73,74.1,7.1,0.4,4.5,60.2,11765,22.0,,68,47.0,15.0,,15,0,9.9,27,17.0,low,low,Yes,No
40109,OK,Oklahoma,75.5,4.2,4.6,77.0,65,20.0,7.0,34,39,696.0,5577.0,55332.0,59,6.3,15.2,3.7,18.2,55.0,804041,703.0,457.0,86,34.0,806.0,,16,3,9.6,17,9.0,high,high,No,No
40111,OK,Okmulgee,72.4,5.2,5.5,88.0,57,21.0,16.0,39,40,15.0,117.0,50442.0,71,48.6,7.7,0.5,4.5,61.7,38234,56.0,18.0,73,35.0,57.0,,13,0,10.3,24,10.0,low,high,No,No
40113,OK,Osage,78.1,4.7,5.2,,55,17.0,16.0,37,39,9.0,37.0,50490.0,77,59.5,11.2,0.4,4.1,62.8,46642,56.0,25.0,77,21.0,45.0,,12,0,11.2,23,10.0,low,high,No,No
40115,OK,Ottawa,72.6,5.2,5.6,86.0,51,27.0,9.0,41,40,16.0,153.0,40249.0,69,49.3,1.0,0.7,6.1,63.7,30879,53.0,14.0,72,42.0,33.0,,15,1,9.5,25,8.0,low,low,No,No
40117,OK,Pawnee,73.9,4.7,5.3,86.0,46,21.0,2.0,37,39,5.0,31.0,51960.0,77,81.1,0.9,0.5,3.6,75.5,16381,26.0,16.0,64,40.0,20.0,,12,0,9.9,23,15.0,low,high,Yes,No
40119,OK,Payne,77.5,4.5,5.0,93.0,69,17.0,11.0,35,36,41.0,265.0,39681.0,52,33.7,3.6,4.4,4.9,76.6,81755,77.0,21.0,83,13.0,47.0,,21,0,9.7,19,3.0,low,low,No,No
40121,OK,Pittsburg,73.2,4.8,5.3,86.0,54,22.0,14.0,37,41,20.0,365.0,50416.0,73,51.9,3.0,0.5,5.5,68.2,43679,72.0,26.0,80,41.0,51.0,,12,1,8.9,24,11.0,low,low,No,No
40123,OK,Pontotoc,74.0,4.5,5.1,92.0,60,19.0,9.0,33,40,26.0,225.0,50587.0,65,53.6,2.2,1.0,5.9,63.8,38397,68.0,21.0,72,31.0,38.0,,12,1,9.7,21,6.0,low,high,No,No
40125,OK,Pottawatomie,74.0,4.7,5.2,85.0,55,22.0,9.0,38,39,25.0,230.0,50118.0,71,50.7,2.9,0.7,5.6,71.4,72998,109.0,44.0,80,32.0,69.0,,13,1,9.9,22,8.0,low,low,No,No
40127,OK,Pushmataha,74.3,5.3,5.6,91.0,46,25.0,9.0,40,41,2.0,116.0,38912.0,74,100.0,1.0,0.4,4.2,69.9,10970,44.0,,68,45.0,14.0,,13,0,9.5,25,,low,low,Yes,No
40129,OK,Roger Mills,76.6,4.5,5.1,,51,18.0,20.0,36,38,2.0,,51279.0,80,100.0,0.7,0.6,8.1,82.7,3570,,,80,39.0,,,11,0,7.2,21,,low,high,Yes,No
40131,OK,Rogers,77.5,4.1,4.8,89.0,61,11.0,5.0,33,38,36.0,243.0,67243.0,78,50.3,1.1,1.6,5.2,70.8,93155,94.0,28.0,85,21.0,59.0,,11,1,11.1,19,7.0,high,high,No,No
40133,OK,Seminole,71.0,5.3,5.6,86.0,54,28.0,12.0,42,40,9.0,73.0,42418.0,68,64.7,4.0,0.5,5.7,63.4,24248,66.0,23.0,61,40.0,23.0,,14,1,9.8,25,9.0,low,low,Yes,No
40135,OK,Sequoyah,73.8,5.5,5.8,82.0,47,23.0,10.0,41,42,12.0,119.0,47188.0,72,66.6,1.6,0.8,4.7,61.4,41538,44.0,27.0,74,47.0,32.0,,15,0,8.2,27,14.0,low,low,Yes,No
40137,OK,Stephens,74.4,4.6,5.1,89.0,46,23.0,9.0,39,37,18.0,52.0,52905.0,74,43.3,1.9,0.7,8.3,79.2,43100,61.0,15.0,79,38.0,34.0,,11,1,9.0,22,12.0,low,high,No,No
40139,OK,Texas,75.0,4.7,4.5,78.0,42,15.0,13.0,41,37,9.0,36.0,61334.0,67,45.1,4.5,3.5,47.3,42.8,19997,42.0,,81,46.0,12.0,,13,12,6.8,18,,high,high,No,Yes
40141,OK,Tillman,74.8,4.9,4.9,,50,30.0,18.0,42,40,2.0,14.0,41610.0,74,51.2,6.6,0.6,28.5,57.5,7229,10.0,,72,36.0,,,11,6,8.0,20,,low,low,No,No
40143,OK,Tulsa,76.3,4.1,4.6,86.0,65,17.0,9.0,33,35,722.0,3197.0,58863.0,60,4.8,10.3,3.7,13.6,60.5,657589,547.0,402.0,87,29.0,648.0,,15,3,11.7,17,7.0,high,high,No,No
40145,OK,Wagoner,78.8,4.2,4.8,91.0,63,16.0,10.0,34,37,24.0,124.0,66375.0,79,37.5,3.5,1.9,7.0,70.3,82925,72.0,36.0,88,21.0,63.0,,11,1,11.1,19,8.0,high,high,No,No
40147,OK,Washington,76.0,4.3,4.9,74.0,56,19.0,13.0,34,38,22.0,165.0,48144.0,71,23.9,2.3,2.3,6.7,71.5,52222,44.0,20.0,79,27.0,50.0,,12,1,10.1,19,10.0,low,low,No,No
