FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
45001,SC,Abbeville,75.0,4.8,5.2,84.0,55,21.0,9.0,32,43,13.0,15.0,47219.0,75,78.6,26.8,0.4,1.8,69.3,24404,43.0,14.0,74,23.0,25.0,22.0,15,1,8.4,23,,low,low,Yes,No
45003,SC,Aiken,75.8,4.3,4.8,91.0,58,18.0,9.0,27,37,56.0,268.0,57128.0,74,37.0,24.8,1.2,6.0,65.5,172895,214.0,151.0,83,26.0,206.0,24.0,13,1,9.5,18,7.0,high,high,No,No
45005,SC,Allendale,71.2,5.4,5.3,78.0,40,45.0,1.0,39,45,5.0,10.0,32701.0,69,68.3,72.8,0.8,3.2,22.1,8331,20.0,,64,39.0,17.0,53.0,15,1,8.1,25,,low,low,Yes,Yes
45007,SC,Anderson,75.1,4.4,4.9,87.0,62,19.0,12.0,30,38,135.0,349.0,52667.0,73,37.9,16.0,1.1,4.1,76.8,204353,317.0,147.0,81,28.0,227.0,23.0,13,1,8.7,21,10.0,low,low,No,No
45009,SC,Bamberg,72.3,4.9,5.1,83.0,62,34.0,16.0,35,42,5.0,6.0,39969.0,77,54.5,59.4,0.7,2.3,36.2,13906,25.0,,74,17.0,19.0,14.0,14,0,8.0,23,,low,low,No,Yes
45011,SC,Barnwell,72.0,5.2,5.4,87.0,51,34.0,0.0,36,43,4.0,37.0,41717.0,72,82.5,43.1,0.9,2.8,51.0,20805,40.0,13.0,72,36.0,34.0,54.0,15,0,8.3,24,,low,low,Yes,No
45013,SC,Beaufort,82.6,3.7,4.2,87.0,63,15.0,13.0,23,35,133.0,317.0,76515.0,75,19.6,16.9,1.5,11.2,68.7,195656,186.0,94.0,88,21.0,129.0,22.0,17,2,8.0,16,9.0,high,high,No,No
45015,SC,Berkeley,78.3,4.1,4.6,83.0,65,16.0,9.0,29,38,72.0,290.0,70371.0,72,29.0,24.2,2.7,7.2,62.8,235987,283.0,157.0,83,21.0,191.0,27.0,13,1,7.9,19,9.0,high,high,No,No
45017,SC,Calhoun,74.4,4.4,4.9,93.0,60,22.0,0.0,31,39,4.0,2.0,50977.0,81,100.0,39.7,0.4,4.0,54.1,14554,37.0,,70,22.0,21.0,,17,1,8.0,20,,low,low,Yes,No
45019,SC,Charleston,78.8,3.7,4.3,84.0,75,15.0,6.0,24,32,514.0,1599.0,72451.0,62,10.9,25.3,1.9,5.4,65.6,417981,413.0,339.0,80,17.0,390.0,34.0,18,2,6.8,16,7.0,high,high,No,No
