FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
47001,TN,Anderson,74.7,4.8,5.6,95.0,62,18.0,3.0,32,42,36.0,78.0,53002.0,68,34.7,3.9,1.4,3.4,88.8,77558,74.0,121.0,84,32.0,58.0,47.0,12,1,8.4,23,,low,high,No,No
47003,TN,Bedford,74.1,5.1,5.6,91.0,47,20.0,9.0,35,43,14.0,38.0,58593.0,71,55.6,7.5,1.1,13.3,76.0,50179,62.0,41.0,80,39.0,37.0,45.0,15,3,8.1,24,13.0,high,high,No,No
47005,TN,Benton,72.0,5.6,6.1,98.0,50,25.0,6.0,36,42,3.0,8.0,44759.0,76,78.5,2.6,0.6,2.6,92.3,16131,39.0,16.0,70,41.0,23.0,21.0,14,0,8.1,28,,low,low,Yes,No
47007,TN,Bledsoe,77.4,5.5,5.9,93.0,29,26.0,2.0,38,42,1.0,4.0,45780.0,77,100.0,7.5,0.3,3.0,87.4,15223,23.0,,77,40.0,13.0,,15,2,7.6,27,,low,low,Yes,No
47009,TN,Blount,76.7,4.6,5.4,94.0,58,13.0,9.0,29,40,92.0,202.0,67576.0,77,32.6,2.9,0.9,3.8,90.5,134751,109.0,156.0,81,24.0,94.0,,11,1,7.4,23,5.0,high,high,No,No
47011,TN,Bradley,76.0,4.9,5.5,93.0,59,17.0,12.0,33,39,50.0,127.0,49802.0,67,33.0,4.8,1.3,6.8,85.0,109071,86.0,87.0,82,27.0,63.0,42.0,14,1,8.7,22,,low,low,No,No
47013,TN,Campbell,71.7,5.7,6.2,91.0,43,25.0,6.0,37,43,16.0,21.0,42331.0,66,55.0,0.4,0.4,1.6,96.1,39837,53.0,39.0,68,44.0,42.0,,11,0,8.1,29,,low,low,No,No
47015,TN,Cannon,73.1,5.0,5.7,93.0,41,18.0,1.0,33,42,1.0,2.0,50628.0,77,81.1,1.8,0.4,2.4,93.5,14847,27.0,21.0,71,30.0,17.0,21.0,10,0,7.7,24,,low,low,Yes,No
47017,TN,Carroll,73.0,5.2,5.8,94.0,59,23.0,3.0,35,43,12.0,12.0,47390.0,74,83.1,9.8,0.5,3.1,84.1,27779,48.0,,71,27.0,24.0,19.0,12,0,8.2,25,,low,low,Yes,No
47019,TN,Carter,74.1,5.4,6.0,88.0,56,21.0,23.0,34,42,19.0,18.0,44786.0,72,41.0,1.6,0.4,2.1,94.3,56418,45.0,46.0,71,27.0,55.0,,13,0,7.1,27,,low,low,No,No
47021,TN,Cheatham,73.8,4.6,5.4,92.0,55,13.0,1.0,30,39,25.0,31.0,78330.0,77,83.0,2.3,0.5,3.8,91.4,41101,67.0,91.0,83,24.0,36.0,19.0,12,1,8.3,22,,high,high,Yes,No
47023,TN,Chester,75.3,5.0,5.7,96.0,53,21.0,5.0,34,43,4.0,14.0,42839.0,77,65.2,9.1,0.7,2.9,84.8,17432,27.0,,78,19.0,15.0,34.0,10,0,7.8,24,,low,low,Yes,No
47025,TN,Claiborne,73.1,5.4,6.0,93.0,56,22.0,4.0,38,41,20.0,6.0,43365.0,71,71.6,1.1,0.9,1.5,95.0,32023,43.0,37.0,64,29.0,32.0,21.0,15,0,8.7,27,,low,low,Yes,No
47027,TN,Clay,73.4,5.9,6.3,98.0,36,30.0,0.0,39,43,2.0,,37683.0,78,100.0,1.4,0.1,2.4,94.6,7629,10.0,,65,30.0,12.0,,12,1,7.7,28,,low,low,Yes,No
47029,TN,Cocke,71.0,5.7,6.2,92.0,37,30.0,11.0,38,42,16.0,17.0,41576.0,70,67.5,2.0,0.5,2.8,92.8,36225,52.0,30.0,70,45.0,37.0,,12,0,8.1,28,11.0,low,low,Yes,No
