FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
49001,UT,Beaver,78.5,4.1,4.5,,70,11.0,4.0,23,34,6.0,5.0,61858.0,82,56.5,0.2,1.0,12.2,84.0,6761,,,75,31.0,10.0,28.0,11,3,4.9,12,,high,low,No,No
49003,UT,Box Elder,78.8,3.9,4.5,,63,8.0,5.0,22,37,17.0,272.0,73926.0,76,31.1,0.4,0.8,9.8,86.6,57007,41.0,32.0,89,20.0,34.0,32.0,9,1,8.6,11,8.0,high,high,No,No
49005,UT,Cache,81.3,4.0,4.4,,76,9.0,9.0,19,33,57.0,243.0,65391.0,63,15.7,0.9,2.3,10.9,83.5,130004,77.0,41.0,89,9.0,51.0,38.0,14,2,9.4,10,4.0,high,high,No,No
49007,UT,Carbon,75.6,4.3,4.7,,69,15.0,9.0,26,36,7.0,46.0,51902.0,72,33.7,0.5,0.8,13.8,82.4,20760,22.0,16.0,80,20.0,22.0,61.0,17,0,5.7,13,,low,low,No,No
49009,UT,Daggett,,3.7,4.4,,80,8.0,15.0,20,33,0.0,,63461.0,71,100.0,0.2,0.6,4.5,92.3,1026,,,93,,,,6,0,5.5,11,,high,high,Yes,No
49011,UT,Davis,80.2,3.4,4.0,,76,5.0,5.0,20,32,174.0,837.0,92253.0,78,0.9,1.2,2.1,10.4,82.8,359232,159.0,156.0,92,11.0,169.0,20.0,10,1,8.4,8,4.0,high,high,No,No
49013,UT,Duchesne,76.2,4.4,4.8,,53,13.0,7.0,26,34,9.0,36.0,61709.0,74,68.2,0.3,0.5,8.3,84.8,19894,35.0,12.0,86,30.0,26.0,52.0,13,1,6.8,14,18.0,high,low,Yes,No
49015,UT,Emery,76.7,4.2,4.7,,67,13.0,12.0,22,33,1.0,11.0,64144.0,75,73.6,0.3,0.5,6.2,90.8,10147,13.0,14.0,82,17.0,15.0,33.0,8,1,5.4,12,,high,high,Yes,No
49017,UT,Garfield,77.7,4.1,4.6,,64,13.0,22.0,23,34,2.0,6.0,47638.0,78,100.0,0.4,1.0,6.4,88.3,5050,,,79,18.0,10.0,32.0,14,1,4.8,12,,low,low,Yes,No
49019,UT,Grand,79.4,3.8,4.4,,63,14.0,2.0,21,33,12.0,24.0,58852.0,66,25.4,0.7,2.2,10.6,81.1,9796,16.0,,90,27.0,,44.0,16,3,4.9,11,,high,low,No,No
49021,UT,Iron,79.3,4.3,4.7,,69,15.0,18.0,20,34,21.0,177.0,52942.0,65,22.6,0.5,1.0,9.3,85.5,56814,37.0,21.0,85,17.0,41.0,35.0,16,1,4.8,11,8.0,low,low,No,No
49023,UT,Juab,77.7,4.2,4.8,,51,10.0,13.0,23,34,8.0,62.0,70086.0,78,43.5,0.4,0.5,5.7,91.2,12122,12.0,,83,18.0,14.0,23.0,10,1,6.0,13,,high,high,No,No
49025,UT,Kane,79.7,3.9,4.5,,69,13.0,14.0,21,34,3.0,17.0,58352.0,77,54.9,0.6,0.8,5.1,90.3,7914,15.0,,81,17.0,,42.0,11,0,4.9,11,,high,low,No,No
49027,UT,Millard,79.7,4.3,4.6,,52,14.0,5.0,25,34,6.0,22.0,60316.0,74,73.9,0.3,1.6,12.7,83.0,13327,18.0,11.0,82,20.0,12.0,27.0,9,2,5.7,12,,high,low,Yes,No
49029,UT,Morgan,80.7,3.3,4.0,,83,4.0,0.0,18,30,11.0,3.0,103746.0,88,62.8,0.3,0.6,3.1,94.6,12462,,,96,4.0,,9.0,10,0,7.6,9,,high,high,Yes,No
49031,UT,Piute,,4.4,4.7,,49,32.0,48.0,25,34,0.0,9.0,47206.0,89,100.0,0.2,0.5,8.1,89.1,1473,,,69,,,,9,0,4.8,13,,low,low,Yes,No
49033,UT,Rich,85.0,4.0,4.5,,75,13.0,35.0,22,34,,1.0,75531.0,73,100.0,0.3,0.3,6.5,91.6,2452,,,90,,,,6,1,6.5,11,,high,high,Yes,No
49035,UT,Salt Lake,79.3,3.6,4.0,,70,7.0,3.0,21,32,904.0,6211.0,79294.0,68,0.9,1.8,4.6,19.0,70.1,1165517,644.0,776.0,90,18.0,745.0,33.0,14,3,10.0,9,7.0,high,high,No,No
49037,UT,San Juan,75.2,5.5,5.6,,57,23.0,30.0,25,40,10.0,25.0,50686.0,78,77.9,0.4,0.6,6.1,44.8,15278,50.0,,59,26.0,16.0,26.0,20,3,5.2,17,,low,low,Yes,No
49039,UT,Sanpete,79.8,4.3,4.7,,59,16.0,8.0,25,34,15.0,267.0,55033.0,77,40.9,0.9,0.8,9.3,86.2,31393,32.0,13.0,84,11.0,20.0,35.0,14,2,5.8,13,,low,low,No,No
49041,UT,Sevier,76.8,4.4,4.8,,61,12.0,1.0,23,34,10.0,50.0,56318.0,79,64.7,0.4,0.4,5.2,91.7,21780,11.0,16.0,84,25.0,25.0,37.0,9,1,5.3,13,,high,low,Yes,No
49043,UT,Summit,85.5,3.1,3.7,,75,5.0,6.0,16,26,57.0,87.0,115756.0,78,39.2,1.0,2.0,11.0,84.3,42499,15.0,18.0,94,7.0,22.0,20.0,13,2,7.7,7,,high,high,No,No
49045,UT,Tooele,78.4,3.9,4.4,,62,6.0,7.0,23,37,10.0,80.0,79101.0,81,17.7,0.7,0.8,13.4,81.8,74512,53.0,54.0,93,17.0,51.0,42.0,9,1,8.6,11,10.0,high,high,No,No
49047,UT,Uintah,75.7,4.6,4.9,,53,13.0,8.0,25,36,11.0,52.0,63282.0,77,46.8,0.5,0.7,8.5,81.7,35970,35.0,27.0,84,27.0,39.0,49.0,13,1,5.7,14,8.0,high,low,No,No
49049,UT,Utah,80.2,3.7,4.2,,80,7.0,8.0,19,31,266.0,1965.0,81804.0,68,3.3,0.6,1.9,12.3,81.4,651059,228.0,268.0,88,9.0,291.0,19.0,15,2,9.1,7,6.0,high,high,No,No
49051,UT,Wasatch,81.7,3.3,3.9,,76,6.0,7.0,18,31,17.0,37.0,87098.0,74,26.9,0.6,1.1,14.1,82.7,35300,19.0,12.0,92,13.0,19.0,30.0,16,1,7.4,8,,high,high,No,No
49053,UT,Washington,81.8,3.9,4.4,,72,9.0,11.0,19,33,99.0,554.0,71904.0,70,15.2,0.6,1.1,11.0,83.7,184913,107.0,106.0,88,15.0,128.0,38.0,17,1,5.6,9,4.0,high,high,No,No
49055,UT,Wayne,77.0,4.1,4.5,,66,17.0,16.0,22,33,1.0,20.0,54790.0,73,100.0,0.4,0.9,6.6,90.0,2759,,,83,16.0,,,12,1,4.6,11,,low,low,Yes,No
49057,UT,Weber,78.1,3.9,4.3,,61,8.0,6.0,24,32,112.0,673.0,72091.0,75,5.8,1.3,1.7,18.7,75.6,262658,162.0,186.0,90,21.0,211.0,37.0,13,2,9.1,10,8.0,high,high,No,No
