FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
51001,VA,Accomack,75.3,4.7,5.0,88.0,45,24.0,1.0,34,41,14.0,38.0,44127.0,65,100.0,28.5,0.8,9.0,59.7,32238,44.0,19.0,73,29.0,26.0,24.0,13,5,6.6,21,10.0,low,low,Yes,No
51003,VA,Albemarle,82.2,3.3,4.0,,80,7.0,4.0,24,34,157.0,184.0,79708.0,65,45.0,9.3,5.7,5.8,76.5,110652,66.0,28.0,88,5.0,49.0,19.0,14,2,6.1,14,,high,high,No,No
51005,VA,Alleghany,75.5,4.6,5.2,88.0,51,18.0,8.0,31,40,7.0,5.0,52281.0,79,52.4,4.6,0.4,1.7,91.4,14701,17.0,,72,25.0,11.0,52.0,11,0,7.0,23,22.0,low,low,No,No
51007,VA,Amelia,74.8,4.2,4.9,93.0,44,12.0,6.0,30,38,1.0,9.0,70511.0,83,100.0,20.1,0.6,3.5,73.8,13014,28.0,15.0,77,14.0,18.0,28.0,13,1,7.5,21,,high,high,Yes,No
51009,VA,Amherst,77.3,4.3,4.9,82.0,59,16.0,4.0,30,38,7.0,6.0,61111.0,77,63.7,18.9,0.5,2.5,75.0,31667,30.0,17.0,75,20.0,26.0,,11,0,7.5,20,,high,high,Yes,No
51011,VA,Appomattox,77.3,4.3,4.9,88.0,61,18.0,2.0,30,40,2.0,3.0,55152.0,77,100.0,18.0,0.4,2.1,77.1,16043,19.0,,74,27.0,13.0,41.0,10,0,7.4,20,,high,low,Yes,No
51013,VA,Arlington,85.3,2.7,3.3,87.0,91,7.0,0.0,18,31,185.0,518.0,125004.0,43,0.0,9.3,11.2,15.5,60.9,240119,50.0,64.0,92,8.0,36.0,24.0,16,4,7.4,9,9.0,high,high,No,No
51015,VA,Augusta,80.1,4.0,4.7,89.0,51,12.0,8.0,30,37,36.0,59.0,67698.0,79,66.4,4.4,0.7,3.4,89.9,76544,76.0,35.0,80,16.0,48.0,23.0,10,1,7.2,20,9.0,high,high,Yes,No
51017,VA,Bath,76.0,4.8,5.3,,71,16.0,10.0,33,41,,1.0,56165.0,82,100.0,3.9,0.4,2.4,91.6,4119,,,75,27.0,,,10,0,6.3,23,,high,low,Yes,No
51019,VA,Bedford,79.1,3.8,4.6,87.0,68,9.0,1.0,27,36,62.0,62.0,70004.0,84,78.4,6.9,1.3,2.6,87.4,79811,79.0,36.0,80,14.0,60.0,24.0,8,0,7.9,18,,high,high,Yes,No
51021,VA,Bland,76.9,4.2,4.8,88.0,45,14.0,5.0,28,39,,3.0,56637.0,83,100.0,4.0,0.5,1.0,93.3,6239,,,64,15.0,,,9,0,7.1,21,,high,low,Yes,No
51023,VA,Botetourt,79.7,3.7,4.5,92.0,66,8.0,11.0,26,36,17.0,15.0,70803.0,86,64.1,3.1,0.8,2.0,92.4,33633,24.0,24.0,82,10.0,26.0,27.0,9,0,7.6,17,,high,high,Yes,No
51025,VA,Brunswick,76.2,4.8,5.0,78.0,44,25.0,10.0,35,43,4.0,7.0,45556.0,74,75.5,54.2,1.0,2.5,40.7,16037,32.0,14.0,72,30.0,,31.0,13,0,7.6,23,,low,low,Yes,Yes
51027,VA,Buchanan,73.5,5.5,5.8,87.0,44,30.0,1.0,37,42,5.0,7.0,35891.0,80,100.0,3.2,0.5,0.9,94.6,20613,35.0,20.0,68,36.0,25.0,31.0,13,0,7.5,28,21.0,low,low,Yes,No
51029,VA,Buckingham,78.1,4.7,5.0,88.0,41,22.0,5.0,34,42,4.0,8.0,49339.0,74,100.0,33.1,0.5,2.4,61.6,17168,42.0,,69,18.0,10.0,30.0,15,0,7.3,23,,low,low,Yes,No
51031,VA,Campbell,78.4,4.3,4.9,91.0,60,13.0,2.0,29,38,8.0,13.0,59223.0,73,61.1,14.9,1.1,3.0,78.7,55304,68.0,30.0,77,19.0,42.0,15.0,10,1,7.8,20,9.0,high,high,Yes,No
