FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
55001,WI,Adams,76.9,4.0,4.6,93.0,51,18.0,4.0,28,35,1.0,13.0,52060.0,83,100.0,2.9,0.7,4.4,89.9,20498,30.0,25.0,77,21.0,,38.0,15,1,7.5,20,,low,low,Yes,No
55003,WI,Ashland,75.8,4.3,4.9,88.0,66,17.0,11.0,26,34,28.0,56.0,52115.0,71,54.9,0.5,0.6,3.2,82.2,15415,13.0,13.0,75,17.0,14.0,42.0,12,0,6.2,21,8.0,low,low,No,No
55005,WI,Barron,78.5,3.8,4.6,92.0,61,14.0,6.0,25,34,50.0,39.0,54963.0,76,65.9,1.7,0.7,2.7,92.6,45090,43.0,,77,17.0,36.0,9.0,13,1,7.3,18,6.0,low,low,Yes,No
55007,WI,Bayfield,79.7,3.7,4.4,,75,18.0,10.0,23,32,6.0,34.0,58218.0,82,100.0,0.5,0.6,2.5,84.2,15242,30.0,,84,13.0,15.0,18.0,13,0,5.7,18,,high,low,Yes,No
55009,WI,Brown,79.5,3.5,4.2,91.0,70,9.0,6.0,22,33,189.0,589.0,64905.0,65,14.5,2.8,3.6,9.4,79.7,264610,136.0,113.0,87,16.0,118.0,9.0,12,2,6.5,15,4.0,high,high,No,No
55011,WI,Buffalo,81.5,3.7,4.5,91.0,65,11.0,5.0,25,33,2.0,1.0,56643.0,77,100.0,0.5,0.4,2.6,95.2,13033,13.0,,83,8.0,,14.0,10,1,8.4,19,,high,low,Yes,No
55013,WI,Burnett,78.9,3.9,4.6,82.0,62,13.0,3.0,24,33,2.0,22.0,57888.0,83,100.0,0.8,0.5,2.2,90.2,15557,33.0,,79,20.0,,8.0,13,0,6.7,19,,high,low,Yes,No
55015,WI,Calumet,80.9,3.2,4.1,96.0,74,5.0,4.0,22,31,6.0,14.0,79046.0,81,27.5,0.8,2.5,4.6,90.3,50209,30.0,15.0,89,8.0,18.0,11.0,9,1,7.5,16,,high,high,No,No
55017,WI,Chippewa,79.2,3.6,4.4,93.0,66,12.0,6.0,24,33,50.0,61.0,62841.0,73,46.1,1.7,1.5,1.9,93.1,64737,38.0,24.0,86,12.0,40.0,14.0,11,0,8.0,18,6.0,high,high,No,No
55019,WI,Clark,78.3,4.2,4.9,93.0,46,21.0,7.0,29,33,8.0,14.0,55808.0,78,91.7,0.5,0.5,5.6,92.0,34720,42.0,,74,13.0,12.0,17.0,14,2,7.5,21,13.0,high,low,Yes,No
55021,WI,Columbia,78.8,3.5,4.3,94.0,64,7.0,5.0,23,33,25.0,66.0,74776.0,75,60.7,1.7,0.8,3.8,91.8,57668,49.0,42.0,83,11.0,33.0,13.0,12,1,8.3,18,6.0,high,high,Yes,No
55023,WI,Crawford,79.2,3.8,4.6,92.0,64,19.0,8.0,25,34,11.0,16.0,53309.0,74,62.4,2.1,0.7,1.8,94.0,16021,14.0,,78,9.0,,19.0,12,1,8.5,19,15.0,low,low,Yes,No
55025,WI,Dane,81.4,3.0,3.8,88.0,85,9.0,4.0,19,31,711.0,2463.0,74829.0,59,12.3,5.3,6.4,6.7,78.8,552536,243.0,367.0,90,8.0,196.0,13.0,15,1,9.8,12,3.0,high,high,No,No
55027,WI,Dodge,77.7,3.6,4.4,91.0,58,8.0,3.0,25,33,48.0,104.0,65540.0,69,48.6,3.3,0.6,5.4,89.3,87336,82.0,72.0,84,11.0,31.0,9.0,11,1,7.7,18,4.0,high,high,No,No
55029,WI,Door,81.3,3.2,4.1,93.0,68,11.0,4.0,21,32,21.0,39.0,61319.0,80,69.0,0.7,0.6,3.7,93.2,27889,24.0,,82,9.0,17.0,20.0,12,1,6.6,16,,high,low,Yes,No
55031,WI,Douglas,77.8,3.7,4.5,88.0,71,11.0,9.0,25,32,10.0,58.0,60898.0,69,38.8,1.4,1.1,1.8,91.1,43702,29.0,32.0,82,14.0,21.0,47.0,12,0,5.9,18,,high,low,No,No
55033,WI,Dunn,80.5,3.7,4.5,94.0,69,10.0,6.0,24,33,32.0,86.0,61880.0,67,59.3,0.8,3.1,2.1,92.3,45452,46.0,10.0,83,7.0,17.0,29.0,14,1,7.9,18,,high,high,No,No
55035,WI,Eau Claire,79.4,3.5,4.3,85.0,75,11.0,8.0,23,34,140.0,374.0,67409.0,64,23.0,1.1,4.4,2.8,89.2,105260,63.0,45.0,87,9.0,60.0,14.0,14,1,7.5,17,4.0,high,high,No,No
55037,WI,Florence,75.8,3.7,4.5,,68,17.0,5.0,24,33,2.0,1.0,50420.0,87,100.0,0.5,0.5,1.2,95.1,4298,12.0,,79,,,,14,0,5.3,19,,low,low,Yes,No
55039,WI,Fond du Lac,79.4,3.5,4.3,91.0,66,9.0,7.0,25,32,50.0,149.0,69280.0,71,35.1,2.1,1.8,5.6,88.7,102902,70.0,56.0,84,14.0,49.0,12.0,12,1,7.8,17,3.0,high,high,No,No
55041,WI,Forest,74.4,4.4,5.0,,58,17.0,12.0,27,35,1.0,15.0,54555.0,78,100.0,1.2,0.3,2.8,78.8,8960,13.0,13.0,76,28.0,,67.0,12,0,4.2,22,,low,low,Yes,No
55043,WI,Grant,78.9,3.9,4.6,94.0,70,15.0,4.0,25,33,18.0,67.0,55779.0,69,64.5,1.4,0.9,2.0,94.7,51021,40.0,13.0,79,6.0,26.0,22.0,12,0,8.4,19,6.0,high,low,Yes,No
55045,WI,Green,79.6,3.5,4.3,95.0,68,9.0,4.0,23,33,25.0,48.0,75666.0,75,60.2,0.7,0.6,3.4,93.9,36603,35.0,15.0,82,9.0,14.0,25.0,11,1,9.0,17,,high,high,Yes,No
55047,WI,Green Lake,78.2,3.9,4.6,89.0,57,14.0,3.0,25,32,17.0,19.0,61406.0,77,74.3,0.9,0.7,5.4,91.5,18908,18.0,,78,13.0,,10.0,14,1,7.5,19,,high,low,Yes,No
55049,WI,Iowa,81.1,3.4,4.3,95.0,72,9.0,2.0,22,32,13.0,18.0,75075.0,74,79.9,0.9,0.8,2.0,94.8,23640,25.0,,84,8.0,,13.0,11,0,8.4,17,,high,high,Yes,No
55051,WI,Iron,78.1,3.9,4.7,,70,18.0,3.0,25,34,3.0,7.0,48614.0,79,67.8,0.2,0.3,1.4,95.1,5698,10.0,,80,,,25.0,14,0,5.7,19,,low,low,Yes,No
55053,WI,Jackson,77.1,4.0,4.7,89.0,51,17.0,12.0,27,34,18.0,34.0,57164.0,76,72.2,2.1,0.5,3.6,86.1,20630,27.0,,80,18.0,15.0,6.0,13,1,7.9,21,10.0,high,low,Yes,No
55055,WI,Jefferson,79.5,3.5,4.3,94.0,67,8.0,2.0,24,32,38.0,94.0,71772.0,71,34.1,1.0,1.0,7.4,89.1,85038,72.0,46.0,85,9.0,37.0,7.0,12,1,9.0,17,5.0,high,high,No,No
55057,WI,Juneau,78.1,4.1,4.7,93.0,55,13.0,9.0,29,34,21.0,45.0,56025.0,76,83.5,2.4,0.6,3.2,91.4,26908,33.0,17.0,79,20.0,13.0,6.0,13,0,7.7,21,,high,low,Yes,No
55059,WI,Kenosha,77.8,3.6,4.2,89.0,66,13.0,10.0,24,36,78.0,221.0,70368.0,66,10.7,6.9,1.8,13.9,74.8,169671,105.0,128.0,86,18.0,83.0,20.0,15,2,7.3,17,7.0,high,high,No,No
55061,WI,Kewaunee,80.8,3.5,4.3,96.0,64,7.0,0.0,23,32,11.0,13.0,69077.0,81,72.3,0.5,0.5,3.3,94.0,20386,12.0,,81,12.0,15.0,18.0,12,1,6.8,18,,high,high,Yes,No
55063,WI,La Crosse,79.6,3.4,4.3,95.0,79,8.0,5.0,22,30,171.0,409.0,63298.0,63,16.8,1.6,4.8,2.2,89.2,118502,56.0,82.0,86,7.0,43.0,4.0,13,1,7.8,17,4.0,high,high,No,No
55065,WI,Lafayette,80.4,3.8,4.6,93.0,62,14.0,4.0,25,33,4.0,29.0,65235.0,77,100.0,0.4,0.5,4.4,93.7,16646,20.0,,77,11.0,10.0,16.0,11,1,8.8,19,,high,high,Yes,No
55067,WI,Langlade,78.8,4.0,4.7,87.0,55,17.0,10.0,27,34,16.0,19.0,55259.0,78,59.2,1.2,0.5,2.4,93.1,19119,17.0,,80,22.0,11.0,93.0,13,0,5.9,20,,high,low,No,No
55069,WI,Lincoln,78.1,3.7,4.5,93.0,59,11.0,4.0,25,35,16.0,19.0,61066.0,78,54.0,0.8,0.6,2.1,94.7,27566,32.0,11.0,80,20.0,20.0,6.0,9,0,6.4,19,10.0,high,low,No,No
55071,WI,Manitowoc,78.6,3.6,4.4,92.0,66,10.0,7.0,27,33,39.0,86.0,62734.0,76,38.9,1.0,3.0,4.7,89.4,78757,61.0,44.0,83,17.0,47.0,24.0,10,1,7.3,18,4.0,high,high,No,No
55073,WI,Marathon,80.1,3.5,4.3,93.0,71,8.0,6.0,24,34,133.0,281.0,67074.0,71,43.0,0.8,6.3,3.0,87.9,135593,84.0,41.0,85,13.0,61.0,11.0,11,1,7.3,17,6.0,high,high,No,No
55075,WI,Marinette,77.1,4.0,4.7,91.0,62,14.0,7.0,26,34,28.0,55.0,56236.0,76,61.8,0.7,0.6,2.2,94.7,40262,41.0,20.0,79,16.0,21.0,12.0,11,0,6.4,20,,high,low,Yes,No
55077,WI,Marquette,77.7,3.9,4.6,91.0,52,14.0,0.0,26,34,1.0,13.0,52450.0,81,100.0,0.6,0.7,3.7,93.2,15585,27.0,11.0,80,19.0,11.0,22.0,12,0,7.4,20,,low,low,Yes,No
55078,WI,Menominee,69.5,5.8,5.8,73.0,53,37.0,14.0,32,41,2.0,14.0,41365.0,67,100.0,0.7,1.8,7.3,11.2,4546,11.0,,79,51.0,,,18,0,6.1,30,26.0,low,low,Yes,No
55079,WI,Milwaukee,75.9,3.9,4.3,80.0,66,26.0,2.0,26,36,714.0,3088.0,52281.0,49,0.2,26.2,5.0,16.0,49.9,945016,686.0,1264.0,81,27.0,928.0,11.0,21,3,9.0,18,7.0,low,low,No,No
55081,WI,Monroe,78.4,3.7,4.5,93.0,62,14.0,7.0,26,33,28.0,90.0,63671.0,71,57.7,1.7,1.0,5.1,89.6,46582,33.0,28.0,81,18.0,25.0,11.0,12,1,7.9,19,10.0,high,high,No,No
55083,WI,Oconto,79.0,3.7,4.5,87.0,61,10.0,2.0,25,33,13.0,15.0,65981.0,83,81.3,0.4,0.5,2.0,94.5,38383,42.0,,83,16.0,23.0,15.0,10,0,6.6,19,5.0,high,high,Yes,No
55085,WI,Oneida,78.7,3.5,4.3,95.0,68,11.0,2.0,23,31,24.0,102.0,59631.0,83,75.0,0.6,0.6,1.7,94.6,35751,26.0,11.0,84,13.0,17.0,41.0,10,0,5.9,17,,high,low,Yes,No
55087,WI,Outagamie,79.4,3.3,4.2,92.0,73,8.0,5.0,21,33,164.0,442.0,70727.0,71,24.7,1.5,3.9,4.6,86.8,188766,117.0,57.0,88,11.0,86.0,17.0,10,1,6.6,15,4.0,high,high,No,No
55089,WI,Ozaukee,81.9,2.8,3.7,97.0,83,3.0,5.0,18,30,120.0,238.0,83274.0,75,24.9,1.8,2.6,3.3,90.7,90043,44.0,31.0,90,2.0,31.0,7.0,12,0,6.5,13,3.0,high,high,No,No
55091,WI,Pepin,81.8,3.7,4.5,94.0,59,13.0,,24,32,3.0,1.0,65068.0,80,100.0,0.4,0.5,2.5,95.7,7271,,,82,10.0,,,11,1,8.0,19,,high,high,Yes,No
55093,WI,Pierce,81.3,3.4,4.3,93.0,71,6.0,4.0,22,31,18.0,22.0,80523.0,72,53.6,0.8,1.3,2.5,93.5,42700,31.0,11.0,85,4.0,16.0,8.0,10,0,8.2,16,,high,high,No,No
55095,WI,Polk,78.8,3.6,4.5,96.0,65,11.0,2.0,23,32,33.0,85.0,65258.0,80,85.5,0.4,0.6,1.9,94.9,43794,60.0,,80,13.0,25.0,12.0,12,0,7.5,18,6.0,high,high,Yes,No
55097,WI,Portage,81.1,3.5,4.3,95.0,72,8.0,3.0,23,32,31.0,90.0,67228.0,69,36.0,0.9,3.4,3.6,90.6,71032,26.0,22.0,87,9.0,24.0,13.0,13,1,7.2,17,,high,high,No,No
55099,WI,Price,78.9,3.9,4.7,,67,17.0,5.0,26,34,2.0,10.0,47172.0,79,100.0,0.5,0.7,2.1,93.6,13245,14.0,,77,16.0,10.0,20.0,12,0,6.3,20,,low,low,Yes,No
55101,WI,Racine,77.5,3.7,4.3,83.0,64,14.0,4.0,25,34,89.0,306.0,66562.0,68,12.3,11.1,1.4,14.3,70.6,195802,157.0,128.0,87,24.0,110.0,19.0,14,1,9.1,17,8.0,high,high,No,No
55103,WI,Richland,79.7,3.9,4.7,86.0,55,18.0,19.0,27,33,12.0,24.0,53970.0,75,72.1,0.8,0.8,2.6,94.2,17258,26.0,10.0,73,14.0,10.0,8.0,12,1,7.9,20,14.0,low,low,Yes,No
55105,WI,Rock,77.6,3.7,4.4,92.0,65,12.0,12.0,26,32,81.0,325.0,66138.0,68,20.4,4.9,1.3,9.4,81.8,163084,129.0,143.0,83,22.0,79.0,31.0,13,1,9.4,18,7.0,high,high,No,No
55107,WI,Rusk,77.7,4.1,4.8,89.0,57,19.0,14.0,27,34,7.0,8.0,50922.0,79,76.6,1.0,0.3,2.1,94.6,14022,22.0,,77,19.0,11.0,23.0,14,0,6.8,21,,low,low,Yes,No
55109,WI,St. Croix,80.7,3.0,4.0,93.0,79,5.0,2.0,20,32,45.0,150.0,82797.0,77,53.2,0.8,1.1,2.6,93.5,91838,54.0,24.0,88,7.0,34.0,11.0,9,1,8.1,15,3.0,high,high,No,No
55111,WI,Sauk,79.1,3.6,4.4,91.0,65,11.0,3.0,23,35,64.0,115.0,65746.0,70,46.1,1.2,0.7,5.7,90.1,64449,51.0,52.0,82,14.0,32.0,28.0,14,1,6.8,17,11.0,high,high,No,No
55113,WI,Sawyer,76.2,4.2,4.8,92.0,66,18.0,11.0,26,35,13.0,51.0,50319.0,73,84.2,0.6,0.4,2.8,77.1,16700,19.0,20.0,78,25.0,10.0,12.0,13,0,6.3,21,,low,low,Yes,No
55115,WI,Shawano,77.8,3.9,4.7,89.0,59,13.0,4.0,25,34,23.0,72.0,58088.0,78,74.4,0.5,0.5,3.2,86.0,40786,45.0,14.0,80,16.0,15.0,42.0,10,0,6.7,21,5.0,high,low,Yes,No
55117,WI,Sheboygan,79.0,3.4,4.1,92.0,68,9.0,2.0,24,34,73.0,187.0,64104.0,70,28.3,2.2,6.0,6.9,82.9,115240,67.0,62.0,87,15.0,46.0,21.0,11,1,7.6,16,5.0,high,high,No,No
55119,WI,Taylor,81.4,3.9,4.7,92.0,52,14.0,12.0,26,35,6.0,27.0,55370.0,77,80.4,0.5,0.5,2.4,95.4,20318,20.0,,78,11.0,11.0,11.0,13,1,6.5,20,6.0,high,low,Yes,No
55121,WI,Trempealeau,79.0,3.6,4.4,95.0,59,9.0,4.0,25,33,9.0,15.0,59749.0,72,89.6,0.4,0.7,9.3,88.4,29681,32.0,,81,19.0,19.0,12.0,11,2,8.5,18,7.0,high,low,Yes,No
55123,WI,Vernon,79.7,4.0,4.7,95.0,60,20.0,6.0,26,32,32.0,47.0,56561.0,77,85.7,0.4,0.5,1.6,96.2,30861,19.0,,75,7.0,16.0,6.0,16,1,8.2,19,15.0,high,low,Yes,No
55125,WI,Vilas,77.3,3.7,4.5,95.0,63,17.0,3.0,24,32,13.0,17.0,54619.0,79,100.0,0.4,0.6,2.7,85.4,22356,31.0,15.0,80,15.0,19.0,32.0,16,0,5.1,18,,low,low,Yes,No
55127,WI,Walworth,78.7,3.5,4.2,94.0,65,9.0,10.0,23,33,41.0,132.0,67656.0,69,34.2,1.0,1.1,11.3,85.3,103953,86.0,73.0,84,10.0,47.0,8.0,16,1,9.3,17,3.0,high,high,No,No
55129,WI,Washburn,78.8,3.8,4.6,93.0,65,14.0,5.0,24,33,15.0,14.0,54132.0,80,83.2,0.3,0.7,2.0,94.0,15712,14.0,,80,17.0,13.0,8.0,13,0,6.4,19,,low,low,Yes,No
55131,WI,Washington,80.6,3.1,4.0,94.0,77,5.0,5.0,20,31,72.0,163.0,81659.0,77,30.8,1.4,1.5,3.4,92.2,136445,70.0,74.0,89,5.0,57.0,10.0,9,0,8.6,15,5.0,high,high,No,No
55133,WI,Waukesha,81.1,2.8,3.7,96.0,82,4.0,5.0,19,28,566.0,1046.0,92359.0,76,9.9,1.7,4.0,5.1,87.5,406172,162.0,232.0,91,4.0,162.0,3.0,11,1,9.2,13,3.0,high,high,No,No
55135,WI,Waupaca,77.1,3.7,4.5,91.0,60,11.0,3.0,25,34,29.0,48.0,67078.0,74,64.9,0.5,0.6,3.4,93.9,50664,71.0,20.0,82,15.0,33.0,26.0,11,1,7.1,18,8.0,high,high,Yes,No
55137,WI,Waushara,79.1,3.9,4.6,91.0,46,15.0,5.0,27,35,7.0,32.0,58929.0,82,89.5,2.0,0.6,6.5,89.4,24326,27.0,,79,18.0,15.0,37.0,12,1,7.3,20,,high,low,Yes,No
55139,WI,Winnebago,79.1,3.5,4.3,93.0,68,9.0,8.0,23,33,140.0,439.0,64653.0,66,13.4,2.5,3.2,4.5,87.4,171631,94.0,86.0,86,12.0,78.0,38.0,12,1,7.6,18,3.0,high,high,No,No
55141,WI,Wood,78.2,3.7,4.5,90.0,62,12.0,7.0,25,32,107.0,119.0,54154.0,71,36.7,0.9,2.1,3.4,91.8,72560,62.0,35.0,83,17.0,37.0,7.0,10,1,7.5,18,6.0,low,low,No,No
