FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
54001,WV,Barbour,75.0,5.7,6.6,98.0,39,27.0,5.0,33,45,7.0,19.0,43773.0,73,83.7,1.1,0.3,1.1,95.4,16444,31.0,15.0,73,26.0,17.0,6.0,9,0,6.9,25,,low,low,Yes,No
54003,WV,Berkeley,74.9,4.9,5.9,96.0,59,14.0,11.0,30,42,53.0,221.0,67163.0,74,31.6,7.6,1.2,5.1,82.9,122125,113.0,236.0,86,25.0,91.0,,13,1,8.1,22,12.0,high,high,No,No
54005,WV,Boone,71.1,6.1,6.8,90.0,49,23.0,3.0,37,48,6.0,8.0,49076.0,78,81.4,0.8,0.1,0.8,97.4,21055,34.0,57.0,80,50.0,25.0,18.0,13,0,8.1,28,13.0,low,high,Yes,No
54007,WV,Braxton,76.3,6.0,6.7,98.0,37,23.0,9.0,36,41,6.0,7.0,47959.0,79,100.0,0.6,0.2,1.0,96.6,13702,32.0,14.0,71,25.0,18.0,6.0,10,0,7.2,27,,low,high,Yes,No
54009,WV,Brooke,75.8,5.1,6.1,96.0,66,17.0,5.0,31,42,5.0,5.0,50381.0,73,42.1,1.5,0.4,1.0,95.5,21674,11.0,26.0,76,20.0,13.0,5.0,9,0,8.8,24,,low,high,No,No
54011,WV,Cabell,71.3,5.5,6.3,89.0,65,21.0,3.0,30,43,161.0,276.0,44161.0,62,21.6,4.7,1.3,1.5,89.9,91589,74.0,334.0,74,24.0,86.0,7.0,14,0,7.8,24,9.0,low,low,No,No
54013,WV,Calhoun,76.5,6.1,6.8,98.0,47,26.0,13.0,37,44,3.0,3.0,41726.0,80,100.0,0.3,0.2,1.2,97.0,6945,11.0,,68,32.0,,20.0,6,0,7.7,29,,low,low,Yes,No
54015,WV,Clay,71.4,6.3,7.0,88.0,29,33.0,10.0,37,44,1.0,5.0,36537.0,78,100.0,0.4,0.1,0.9,97.1,8341,24.0,12.0,78,39.0,19.0,,9,0,7.5,30,,low,low,Yes,No
54017,WV,Doddridge,79.8,5.4,6.2,98.0,43,21.0,1.0,32,43,1.0,1.0,50445.0,91,100.0,2.3,0.5,0.6,94.9,8368,,,71,33.0,10.0,8.0,7,1,7.6,26,,low,high,Yes,No
54019,WV,Fayette,72.7,5.8,6.6,88.0,51,28.0,6.0,37,46,20.0,27.0,41964.0,78,57.9,4.2,0.3,1.3,92.3,42062,46.0,86.0,75,40.0,32.0,2.0,11,0,7.8,28,,low,low,No,No
54021,WV,Gilmer,76.8,5.4,5.9,93.0,44,20.0,31.0,33,45,3.0,3.0,41579.0,70,60.7,10.2,0.8,5.5,81.6,7811,12.0,,72,19.0,,,9,1,7.4,24,,low,low,Yes,No
54023,WV,Grant,76.6,5.6,6.5,93.0,54,19.0,5.0,34,43,7.0,8.0,45624.0,81,78.7,0.9,0.2,1.5,96.3,11510,23.0,15.0,74,37.0,,7.0,9,1,6.3,26,,low,low,Yes,No
54025,WV,Greenbrier,74.4,5.5,6.3,92.0,58,25.0,9.0,31,45,46.0,37.0,40016.0,72,69.7,2.6,0.7,1.9,92.8,34319,32.0,45.0,77,28.0,35.0,,11,0,7.2,25,,low,low,Yes,No
54027,WV,Hampshire,75.2,5.5,6.4,85.0,48,23.0,10.0,33,42,6.0,16.0,53333.0,80,100.0,1.2,0.3,1.5,95.5,23190,58.0,50.0,77,32.0,15.0,10.0,11,0,7.0,26,,low,high,Yes,No
54029,WV,Hancock,74.4,5.3,6.3,97.0,57,18.0,17.0,31,43,18.0,44.0,52305.0,73,30.3,2.6,0.5,1.6,93.5,28571,28.0,48.0,82,23.0,20.0,8.0,11,0,7.8,25,,low,high,No,No
54031,WV,Hardy,75.5,5.5,6.3,93.0,38,19.0,6.0,34,45,2.0,11.0,47469.0,75,80.5,3.1,0.9,4.6,89.7,13633,25.0,18.0,84,32.0,18.0,16.0,5,4,6.5,24,,low,high,Yes,No
54033,WV,Harrison,75.2,5.2,6.1,93.0,56,18.0,4.0,32,42,80.0,169.0,52075.0,74,37.0,1.8,0.6,1.8,93.9,66870,67.0,89.0,80,29.0,69.0,10.0,10,0,7.2,24,13.0,low,high,No,No
54035,WV,Jackson,76.1,5.3,6.3,92.0,56,19.0,5.0,30,43,10.0,26.0,52123.0,77,71.4,0.6,0.3,1.0,96.8,28453,40.0,22.0,74,31.0,22.0,,11,0,8.4,24,,low,high,Yes,No
54037,WV,Jefferson,77.4,4.6,5.6,90.0,67,9.0,6.0,25,39,30.0,56.0,85779.0,79,48.4,6.2,1.7,6.3,82.8,57486,57.0,83.0,90,16.0,37.0,10.0,13,0,8.3,20,7.0,high,high,No,No
54039,WV,Kanawha,72.5,5.2,6.2,86.0,60,20.0,9.0,30,41,242.0,397.0,47830.0,70,25.2,7.6,1.1,1.2,87.5,176253,173.0,440.0,81,31.0,199.0,30.0,12,0,8.6,24,12.0,low,high,No,No
54041,WV,Lewis,73.0,5.7,6.5,93.0,51,19.0,4.0,33,43,10.0,30.0,53471.0,74,69.0,0.7,0.5,1.3,96.2,15805,25.0,14.0,72,39.0,22.0,8.0,13,0,7.4,27,,low,high,Yes,No
54043,WV,Lincoln,70.8,6.1,6.8,93.0,51,26.0,1.0,36,45,9.0,13.0,40741.0,78,100.0,0.4,0.3,0.7,97.4,20043,32.0,41.0,77,40.0,21.0,,11,0,8.4,28,,low,low,Yes,No
54045,WV,Logan,68.5,6.3,6.9,91.0,42,29.0,3.0,39,46,18.0,30.0,38571.0,72,70.8,1.8,0.3,1.1,95.9,31688,44.0,97.0,83,44.0,29.0,,11,0,7.9,29,,low,low,Yes,No
54047,WV,McDowell,67.7,7.2,7.5,87.0,27,38.0,2.0,44,47,4.0,6.0,26582.0,78,86.0,7.8,0.2,1.8,88.6,16916,39.0,51.0,71,45.0,35.0,,10,0,7.5,34,21.0,low,low,Yes,No
54049,WV,Marion,75.6,5.3,6.2,91.0,62,16.0,5.0,35,42,29.0,50.0,58878.0,74,41.5,3.3,0.7,1.4,92.6,55962,43.0,77.0,83,20.0,52.0,,11,0,7.5,25,,high,high,No,No
54051,WV,Marshall,75.7,5.3,6.2,94.0,54,19.0,4.0,31,43,10.0,8.0,54028.0,81,49.0,0.8,0.5,1.0,96.3,30103,22.0,31.0,77,25.0,21.0,27.0,8,0,9.0,24,,low,high,No,No
54053,WV,Mason,73.6,5.6,6.5,93.0,55,24.0,6.0,35,43,12.0,8.0,44307.0,83,65.0,0.9,0.3,0.7,96.6,26335,35.0,38.0,75,36.0,23.0,3.0,10,0,8.6,25,17.0,low,low,Yes,No
54055,WV,Mercer,71.8,5.8,6.6,90.0,55,24.0,13.0,33,44,34.0,85.0,42095.0,69,40.7,6.1,0.6,1.3,90.1,58258,72.0,119.0,76,43.0,69.0,11.0,11,1,7.3,27,5.0,low,low,No,No
54057,WV,Mineral,75.5,5.1,6.1,97.0,55,18.0,6.0,33,42,8.0,22.0,50300.0,78,64.6,2.9,0.6,1.0,93.5,26722,17.0,28.0,85,25.0,23.0,,6,1,7.0,23,,low,high,Yes,No
54059,WV,Mingo,70.1,6.5,7.1,98.0,37,30.0,5.0,38,49,4.0,34.0,32955.0,71,89.7,1.8,0.3,0.8,95.8,22951,41.0,38.0,77,54.0,19.0,3.0,11,0,7.9,30,,low,low,Yes,No
54061,WV,Monongalia,79.3,4.9,5.8,91.0,74,13.0,6.0,26,41,155.0,314.0,55836.0,58,26.9,3.8,3.5,2.2,88.0,106819,60.0,86.0,88,10.0,52.0,7.0,18,0,6.8,20,,high,high,No,No
54063,WV,Monroe,76.5,5.6,6.4,98.0,43,23.0,19.0,32,40,5.0,8.0,46879.0,78,88.5,0.8,0.2,1.3,95.9,13229,23.0,14.0,72,35.0,18.0,6.0,9,0,7.2,26,,low,high,Yes,No
54065,WV,Morgan,75.5,5.3,6.2,88.0,50,16.0,4.0,30,41,9.0,13.0,57432.0,84,100.0,0.9,0.4,1.9,94.8,17873,34.0,30.0,80,20.0,25.0,16.0,12,0,7.7,24,,high,high,Yes,No
54067,WV,Nicholas,74.8,5.6,6.5,94.0,48,24.0,4.0,31,43,21.0,20.0,42725.0,79,87.2,0.7,0.4,0.8,96.6,24340,43.0,18.0,81,35.0,35.0,9.0,9,0,7.4,26,,low,low,Yes,No
54069,WV,Ohio,74.7,4.8,5.9,98.0,66,21.0,7.0,29,40,69.0,136.0,41312.0,68,23.1,3.5,0.8,1.3,91.9,41182,24.0,73.0,75,21.0,26.0,,9,1,7.6,22,,low,low,No,No
54071,WV,Pendleton,76.7,5.6,6.5,,47,19.0,20.0,33,43,3.0,6.0,47167.0,82,100.0,2.0,0.2,1.4,94.8,6932,15.0,,62,43.0,14.0,,8,0,6.2,26,,low,high,Yes,No
54073,WV,Pleasants,76.6,5.3,6.2,98.0,48,16.0,0.0,32,44,1.0,6.0,55313.0,84,54.5,1.7,0.2,1.1,95.4,7438,,,83,37.0,,25.0,9,0,8.0,25,,high,high,No,No
54075,WV,Pocahontas,75.3,5.7,6.5,93.0,39,23.0,20.0,34,43,3.0,5.0,41173.0,84,100.0,1.5,0.2,1.7,94.8,8190,15.0,,72,31.0,,,6,0,6.4,27,,low,low,Yes,No
54077,WV,Preston,76.4,5.3,6.2,91.0,45,19.0,10.0,32,43,13.0,7.0,51757.0,81,90.5,1.1,0.3,1.5,95.9,33380,41.0,20.0,78,24.0,23.0,,10,0,7.0,25,14.0,low,high,Yes,No
54079,WV,Putnam,76.2,4.7,5.8,97.0,67,13.0,4.0,27,40,58.0,50.0,69175.0,82,35.8,1.2,0.9,1.3,95.1,56428,65.0,75.0,80,14.0,38.0,4.0,9,0,8.8,21,,high,high,No,No
54081,WV,Raleigh,71.5,5.6,6.3,87.0,57,26.0,17.0,35,45,58.0,137.0,44526.0,74,39.3,7.9,0.9,1.7,87.3,72920,83.0,216.0,75,39.0,88.0,12.0,10,0,7.6,25,11.0,low,low,No,No
54083,WV,Randolph,76.4,5.6,6.4,97.0,39,21.0,3.0,33,44,20.0,35.0,48306.0,71,62.4,1.7,0.5,1.0,95.5,28387,35.0,17.0,73,36.0,27.0,11.0,11,0,6.5,26,,low,high,Yes,No
54085,WV,Ritchie,76.2,5.8,6.6,93.0,45,23.0,5.0,34,44,2.0,4.0,45066.0,80,100.0,0.5,0.3,1.0,97.1,9499,15.0,,76,35.0,11.0,11.0,6,1,7.9,26,,low,low,Yes,No
54087,WV,Roane,72.8,5.9,6.7,93.0,53,30.0,13.0,35,45,7.0,12.0,42379.0,76,80.0,0.3,0.4,1.3,96.5,13482,18.0,10.0,73,38.0,26.0,11.0,10,0,8.0,27,,low,low,Yes,No
54089,WV,Summers,74.1,5.9,6.7,93.0,46,30.0,8.0,36,46,4.0,15.0,38692.0,74,72.1,4.1,0.3,1.7,91.9,12444,21.0,26.0,65,31.0,14.0,12.0,12,0,7.3,26,,low,low,Yes,No
54091,WV,Taylor,76.0,5.5,6.3,93.0,47,17.0,,33,42,6.0,12.0,53587.0,79,59.7,1.1,0.5,1.0,95.9,16699,14.0,14.0,84,29.0,12.0,8.0,8,0,7.3,26,,low,high,No,No
54093,WV,Tucker,75.5,5.1,6.1,93.0,50,19.0,1.0,30,43,3.0,6.0,44461.0,80,100.0,0.5,0.3,0.9,97.3,6816,,,77,28.0,10.0,,9,0,6.3,23,,low,low,Yes,No
54095,WV,Tyler,77.1,5.5,6.4,93.0,50,20.0,1.0,33,42,3.0,2.0,46693.0,85,91.1,0.3,0.7,0.8,96.8,8533,13.0,,75,36.0,,6.0,9,0,7.9,25,,low,low,Yes,No
54097,WV,Upshur,77.8,5.7,6.5,90.0,46,23.0,3.0,34,42,15.0,19.0,46171.0,76,64.0,1.1,0.5,1.4,95.5,24230,28.0,14.0,77,28.0,13.0,10.0,11,0,7.0,26,12.0,low,low,Yes,No
54099,WV,Wayne,73.3,5.9,6.7,86.0,54,23.0,11.0,35,47,23.0,69.0,45507.0,75,65.2,0.6,0.3,0.8,97.0,39054,65.0,102.0,70,28.0,30.0,7.0,12,0,8.6,28,18.0,low,low,Yes,No
54101,WV,Webster,74.3,6.3,7.0,93.0,42,32.0,2.0,37,44,3.0,2.0,34396.0,74,100.0,0.4,0.2,0.8,97.1,8058,17.0,10.0,69,40.0,12.0,,13,0,6.6,29,,low,low,Yes,No
54103,WV,Wetzel,75.2,5.8,6.6,93.0,42,22.0,17.0,33,42,7.0,14.0,47322.0,81,53.9,0.5,0.4,1.1,96.9,14904,18.0,16.0,73,34.0,12.0,11.0,9,0,7.8,27,,low,high,No,No
54105,WV,Wirt,76.5,6.0,6.8,,46,28.0,1.0,34,45,1.0,4.0,49504.0,82,100.0,0.5,0.3,0.9,96.7,5705,,,71,29.0,,,6,0,7.9,28,,low,high,Yes,No
54107,WV,Wood,74.7,5.3,6.2,91.0,62,21.0,9.0,31,41,72.0,132.0,47019.0,72,26.8,1.2,0.6,1.3,95.0,82938,71.0,98.0,82,35.0,56.0,,10,0,7.7,23,10.0,low,high,No,No
