FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
2013,Alaska,Aleutians East,,3.6962861726,3.9927690622,,47.909407666,14.3,14.590333155,28.8,33.9,,88.28723000000001,85852.0,58.843159066,100.0,10.211889347,46.380223661,17.363154797,8.88758093,2675.0,,,,,,0.0,12.626262626,14.549863595,,18.6,
2016,Alaska,Aleutians West,86.265929227,3.1453274006,3.8152693797,,50.466200466,7.9,7.8084301032,25.1,33.4,3.0,175.71260999999998,112218.0,27.657378741,100.0,8.1413510348,38.578680203,15.755564233,23.057399453,3861.0,,,,,,0.0,19.157088123,10.022004401,,15.5,
2020,Alaska,Anchorage,77.09380816,3.4207852945,4.5986794026,81.903990025,70.470295364,12.7,4.5700242714,20.5,30.9,335.0,729.24829,99162.0,63.804207815,4.2692285242,5.1298124641,10.297584844,9.944801407,55.092374933,192454.0,8.6510390778,30.467461215,,16.023638666,20.978393635,22.724137931,16.355052819,2.0620115027,8.3,14.9,10.082030428
2050,Alaska,Bethel,69.787552991,5.9307659978,6.4857059059,60.678571429,31.443938767,27.0,39.85265045,35.0,37.0,16.0,2908.4734599999997,59011.0,58.992332968,72.693667631,0.9694911541,1.0461740702,2.2402366216,8.1393438133,10109.0,11.756775822,18.057060311,,53.493241957,37.0887512,56.923076923,57.666666667,1.3278609367,,35.4,18.434343434
2060,Alaska,Bristol Bay,,3.6564092017,4.4905076001,,69.624573379,13.3,11.679363273,20.4,32.4,0.0,0.0,96382.0,50.704225352,100.0,0.6936416185,2.1965317919,11.213872832,38.728323699,636.0,,,,,,0.0,15.789473684,0.0,,18.7,
2063,Alaska,Chugach,,3.4629372202,4.4332403956,,74.964370546,7.8,,18.8,,11.0,203.66599,91356.0,62.613430127,100.0,1.2074483561,7.0701192901,6.2845504801,66.511492581,4929.0,,,,,,,10.173160173,1.7455980571,,15.4,
2066,Alaska,Copper River,,3.9728577573,4.8078766337,,68.998109641,19.6,,22.3,,1.0,386.24952,63837.0,68.80733945,100.0,0.8111239861,2.9741212823,6.9524913094,63.962920046,1791.0,,,,,,0.0,20.187793427,0.0,,19.4,
2068,Alaska,Denali,84.687740918,3.5359905994,4.6086463183,82.5,35.860409146,11.2,33.09144787,20.3,30.8,1.0,,90897.0,86.857142857,100.0,3.4069400631,5.5520504732,5.2996845426,74.195583596,1674.0,,,,,,0.0,26.896551724,0.441826215,,16.9,
2070,Alaska,Dillingham,68.436998562,4.8092719137,6.0639437176,,47.730829421,26.8,31.466434246,28.0,31.9,12.0,952.7842499999999,69716.0,60.765895954,100.0,0.8257463477,1.1221681135,3.5570611899,13.995341944,2902.0,,,,35.863219349,53.163211058,50.0,40.20979021,1.6910935738,,29.1,
2090,Alaska,Fairbanks North Star,78.64359636,3.5940669707,4.6351476729,72.179624665,71.661456758,8.4,7.7312017214,22.0,32.9,82.0,824.2795400000001,84166.0,59.99888343,25.360932518,4.7694953647,3.399890935,8.6119384202,68.318721423,61350.0,11.353662211,18.049726998,,19.561981714,26.91225987,21.935483871,19.475138122,0.7760780104,15.5,16.0,8.3229555832
2100,Alaska,Haines,79.850944397,3.8727597285,5.2495724408,,76.944444444,16.7,10.085293755,22.5,32.0,6.0,437.74319,70610.0,69.720101781,100.0,0.6809338521,1.2645914397,4.1828793774,75.778210117,1420.0,,,,,,0.0,36.612021858,0.0,,19.7,
2105,Alaska,Hoonah-Angoon,76.971131816,4.1787808431,5.4092358823,,56.12244898,28.1,31.130174061,22.7,33.3,,218.62702000000002,64181.0,74.509803922,100.0,2.0550940096,0.6121556624,6.6899868824,45.736773065,1838.0,,,,25.57544757,,0.0,17.880794702,0.5767524401,,21.4,
2110,Alaska,Juneau,80.357094337,3.1274226053,4.6706815184,80.0,72.308656155,8.8,1.9616013613,16.3,28.5,41.0,1016.2537500000001,102097.0,64.262118768,23.249108665,1.3066119615,7.32523276,7.4609436642,62.97617169,22947.0,,27.141007975,,7.8205695736,13.124753911,20.666666667,12.111801242,0.9694699136,6.8,14.5,16.858974359
2122,Alaska,Kenai Peninsula,78.758535329,3.9055333014,4.8191018785,79.0,59.812193794,12.7,7.8682757767,20.8,33.5,48.0,365.79338,76254.0,76.755312271,77.400976207,0.7760751359,1.9410116988,4.6399736365,78.770802439,41645.0,11.418742286,25.858822074,,15.288934957,21.014171008,16.229508197,17.516069789,0.3651333453,,17.9,9.8904980572
2130,Alaska,Ketchikan Gateway,78.346908432,3.4122725774,4.8898632858,82.5,65.505410399,11.7,0.4009555881,22.3,30.8,17.0,1637.4354099999998,82648.0,65.66091954,14.14539719,0.9970162288,8.6165490139,5.8001601048,62.091550833,9869.0,,26.568764794,,10.910458992,17.347056783,37.857142857,17.452830189,0.7373622197,,17.9,
2150,Alaska,Kodiak Island,78.137105539,3.2157043657,4.3315480548,82.5,67.810536491,9.3,11.480081148,21.5,32.1,18.0,408.80503,83222.0,56.625141563,27.257461262,1.1949685535,24.268867925,8.8522012579,47.272012579,8634.0,,,,15.719467956,21.351227696,8.4615384615,19.739952719,7.2192731727,,16.3,
2158,Alaska,Kusilvak,65.180262542,6.8368342639,7.1739254958,78.90625,23.684210526,33.3,,40.8,39.8,,108.72191,41824.0,70.922746781,100.0,0.3986470162,0.4952887171,1.7637110413,2.6938874124,4052.0,,,,79.030976966,74.686197509,,61.142857143,0.2882239912,,42.8,29.090909091
2164,Alaska,Lake and Peninsula,,4.5756018116,5.6257567297,,47.075208914,27.0,41.604265568,25.8,34.6,0.0,217.23389,63038.0,67.17791411,100.0,1.0861694424,2.8964518465,3.113685735,21.723388849,651.0,,,,,,0.0,28.767123288,0.6543075245,,25.7,
