FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001,Massachusetts,Barnstable,79.472413649,2.9655903476,4.8632780594,91.462396895,70.466831647,8.9,9.1467361409,17.7,30.0,209,525.68862,89774,81.359221359,2.7934985764,3.4092326753,1.7246200373,3.7116541984,88.895580688,180261,7.7277149543,39.631623302,,5.7762374478,3.9615928183,14.868421053,16.258084707,1.5047644854,6.1,13.1,5.5261676984
25003,Massachusetts,Berkshire,77.334638746,3.1083828453,5.1205233345,90.869582665,67.48736695,15.8,6.012801394,20.8,31.3,141,973.7288700000001,71102,70.223617105,34.68680731,3.4060957774,1.791817549,5.5498635215,86.83080581,95692,11.292238619,51.034978793,,9.1702574301,5.865260695,8.8,14.182714247,0.6699516955,7.2,15.1,6.3727017763
25005,Massachusetts,Bristol,77.718008916,3.2505131526,4.994079176,91.463121118,62.251962495,14.9,4.0967603483,26.6,35.0,293,573.20866,80702,61.857383375,10.443888122,6.2790914169,2.6621016846,9.6455932753,79.093140804,407256,8.6269118666,49.528486473,,10.614574971,4.581254002,6.9104204753,15.67626438,4.2029703061,6.7,16.9,6.4756860857
25007,Massachusetts,Dukes,82.126626699,2.8647107752,5.212874026,91.747311828,60.512710039,10.0,8.8272416104,18.1,30.1,10,622.96339,89136,76.605305117,31.72815534,4.7776499904,1.4040636381,3.7186122293,86.476902434,15726,,25.049203793,,5.4054054054,,,23.093681917,5.009360927,5.4,12.8,
25009,Massachusetts,Essex,79.70932155,2.9280611105,5.0885538106,89.299778516,69.133581224,11.5,4.1017444054,22.4,30.3,598,659.2998,92118,63.655949352,5.1545449718,3.6798819979,4.0847086822,23.855025937,66.944277454,562867,4.747860518,37.153839935,,9.6551646394,3.128773768,8.8235294118,19.288153269,6.931463255,6.5,12.4,6.2155016466
25011,Massachusetts,Franklin,79.663368506,3.2471733958,5.5443213751,82.214285714,69.159535811,16.2,5.3411922311,19.8,30.5,45,943.66237,69929,69.594032144,54.853651326,1.4204305019,1.7899963326,4.9242531103,89.423646571,54094,8.5001315497,39.250550926,,7.6713262871,3.6813950788,21.551724138,15.995453069,1.0716275251,6.7,14.4,7.0079010649
25013,Massachusetts,Hampden,76.883803005,3.6834931371,5.8673372892,86.814454222,61.064256172,23.3,4.8009759742,27.1,37.1,308,1115.73591,64030,61.719925837,9.5273976279,7.9392071421,2.7995340978,27.663917092,59.716597873,318443,9.4118883762,49.387111687,,15.64798354,8.2715467364,8.9760348584,17.347221453,5.5680568057,7.7,15.9,9.264933984
25015,Massachusetts,Hampshire,80.276334818,3.0924154884,5.37225083,93.402033898,77.198286722,9.1,12.495694824,19.2,31.1,207,1079.41546,81878,68.878431628,28.546960101,2.9946859547,5.6806160356,6.5023248948,82.520850247,99735,5.1322891779,28.110615271,,1.5577407196,3.4696750401,,15.091015854,1.11786638,5.5,12.8,1.6770776752
25017,Massachusetts,Middlesex,81.702078764,2.850778221,4.5569380749,92.787626799,83.077045039,7.9,2.5733339584,17.6,28.5,2012,687.83412,118494,61.499583184,3.5377407626,5.4321147977,14.342111366,8.7943578184,69.139604417,1145170,3.7583291074,22.43673255,,3.8906180525,1.8377146479,3.9832285115,15.569175451,4.3476567268,6.9,9.4,4.2103033584
25019,Massachusetts,Nantucket,83.151062438,2.7089006881,4.5426893551,92.5,82.218552161,4.6,2.8491756949,18.1,31.0,6,416.05990999999995,107613,71.109680189,15.741844967,9.5416406629,1.7751889605,15.865751335,70.875806116,9942,,,,9.5648015304,,,15.76819407,0.908135695,5.1,10.9,
