FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
33001,New_Hampshire,Belknap,76.836593557,3.2089164358,4.9580091018,86.600946372,64.851094367,10.5,2.2554230305,18.6,31.5,31,540.28187,77531,77.095854523,54.45412448,0.6637748723,1.1870764576,2.2568345657,94.239051574,47981,11.61329583,35.234953073,,7.6985780274,11.32242714,,15.738025415,0.171313896,3.7,15.0,10.571625344
33003,New_Hampshire,Carroll,80.142573328,3.0241090281,5.1322719414,93.161209068,69.069889648,11.8,0.4511545364,18.2,31.5,42,281.61458999999996,71981,81.546849011,89.478515976,0.6226172915,0.8103603517,1.7471599073,95.319833713,39992,13.196713139,26.74207933,,9.0969899666,12.174336499,,14.144366989,0.0858193707,5.4,13.8,9.3638676845
33005,New_Hampshire,Cheshire,79.253318552,3.2842277947,5.2867337064,87.159574468,67.848072039,9.4,4.2319652449,21.2,34.9,52,381.38332,76227,70.683340482,69.118993434,0.7705235941,1.6910148675,2.4330963154,93.185520362,54560,11.427971928,23.950322676,,7.9088402102,14.394326018,,13.993118139,0.105266036,5.1,14.6,
33007,New_Hampshire,Coos,75.558058997,3.718203458,5.2073823195,88.615537849,56.128293242,16.4,5.1783094109,24.4,35.7,35,212.67141,52292,73.142437592,69.112191378,0.812595226,0.6634078212,2.0791010665,94.521330625,24511,17.68707483,37.223746623,,15.136427007,16.534286387,,12.781954887,0.4199874334,4.9,18.6,
33009,New_Hampshire,Grafton,80.294535995,2.9337095987,4.8596374082,90.119435396,68.74727827,10.1,2.5054491177,19.2,30.4,174,571.7358399999999,81205,70.619085623,65.675278211,1.2466255514,4.020806356,2.7160195773,89.950178873,65142,9.0453505311,19.796317885,,5.6669765794,13.49706826,,14.513375071,0.3793131109,4.9,14.0,4.3521429753
33011,New_Hampshire,Hillsborough,78.946548429,2.9605839157,4.8578408249,84.774813607,72.309775588,7.1,4.0797322279,20.2,33.2,354,382.09632999999997,96415,67.126557014,24.437209324,2.8087596169,4.8266032809,8.3189168155,81.998340342,301873,7.1743384949,34.210720576,,9.0318938752,9.6892578268,,14.083944856,2.3554267747,3.3,13.7,5.5174117066
33013,New_Hampshire,Merrimack,79.372507332,3.0368542824,4.6213900238,88.998915401,67.898715635,7.5,3.0910014171,19.8,32.6,153,512.75478,84898,73.771532639,54.649953188,1.7747724651,2.3868734778,2.6477374696,91.429944879,110798,9.184084077,28.524706533,,5.711551688,11.321763193,,13.452119574,0.67977681,5.4,14.1,5.0556361877
33015,New_Hampshire,Rockingham,80.545021048,2.8981348338,4.6499727433,89.895419645,75.853108843,4.8,5.2067264292,18.2,30.5,249,303.67161,107445,78.491838296,29.010172642,0.8728210779,2.4647490483,3.7886946504,91.349742036,231996,7.1342867335,23.453582695,,3.5793364077,8.6253397032,,12.659157689,0.3389256058,5.9,12.9,2.417519909
33017,New_Hampshire,Strafford,77.658849562,3.2908974346,5.0018681276,85.174172794,73.442226255,8.9,5.6651360705,18.9,31.3,88,325.83633,82845,67.095166133,36.736471361,1.2587412587,3.9281799282,3.144963145,89.526365526,87852,8.4844932113,42.576701421,,6.3338980842,8.1128450829,,15.312061007,0.2910579637,6.2,14.0,
33019,New_Hampshire,Sullivan,78.400532592,3.5343231687,5.3557673686,79.938692098,57.936668011,13.1,8.4695280088,23.8,34.2,31,222.94008000000002,74700,73.264959416,78.136683464,0.9054097093,1.1579234724,2.1042813595,93.81910005,32648,10.260212221,31.551567574,,13.733468973,12.027737814,,12.037037037,0.0988738033,5.4,16.6,15.052231719
