FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
46003,South_Dakota,Aurora,76.434595379,2.7219202503,3.6343904338,,73.166368515,14.7,16.918053895,23.1,29.6,,72.59528,61013.0,76.638176638,100.0,0.9074410163,0.943738657,8.4573502722,85.880217786,1724.0,,,,22.336769759,,23.333333333,5.3333333333,1.6155758078,4.7,17.0,
46005,South_Dakota,Beadle,78.13261417,3.0677660089,3.8591846307,74.573459716,53.755110824,15.0,6.3690838927,27.0,30.1,9.0,289.01734,59508.0,70.052398227,25.353804376,1.0167217176,11.761973576,12.515483072,71.026011561,12532.0,13.888888889,,,51.224944321,19.328443953,13.333333333,11.450878334,3.2940103721,5.2,18.2,
46007,South_Dakota,Bennett,69.474325617,4.3492343566,4.9801732302,,50.547945205,40.7,23.32318479,30.4,30.3,,,49152.0,60.650887574,100.0,0.5395683453,0.8393285372,6.8944844125,32.104316547,1797.0,,,,34.446764092,,62.0,16.425120773,0.191448628,3.9,28.3,
46009,South_Dakota,Bon Homme,78.118779112,3.0573581433,3.9249313987,,46.641791045,15.1,26.057880903,24.4,30.3,4.0,,62963.0,76.387738194,100.0,1.3452279807,0.3256867743,3.2993486265,86.094590767,5171.0,20.535567603,,,10.998307953,,11.666666667,9.0019569472,0.3739156446,5.3,19.4,
46011,South_Dakota,Brookings,80.687460614,2.6472395504,4.0671373393,87.767857143,79.564529863,9.1,16.445802103,20.2,25.6,20.0,149.36309,71166.0,58.334580278,31.130181818,1.6683575696,3.2606245068,4.348438733,88.01149814,18716.0,7.0005518082,,,6.5048969449,,18.484848485,11.747100636,0.7167800037,4.2,13.7,
46013,South_Dakota,Brown,79.457128151,2.8692166384,3.7946045924,85.670673077,68.062048449,11.4,8.3610885494,23.5,29.2,24.0,450.33182,71731.0,65.905830995,26.941855304,1.6591172443,3.3919730328,4.1240914358,85.062677763,25369.0,9.5558373302,,,12.203023758,10.300146262,35.238095238,10.895660203,1.3007949302,5.8,15.2,
46015,South_Dakota,Brule,77.915008418,3.1291470741,4.3259602715,,64.255319149,16.6,13.200247608,25.2,29.6,6.0,150.34768,60133.0,65.015321757,100.0,0.5825972562,0.5450103364,3.5331704567,80.736703627,3576.0,,,,19.591141397,,,10.089686099,0.1414141414,4.5,19.4,
46017,South_Dakota,Buffalo,55.918957901,5.0360188518,5.5728092314,,38.390804598,44.8,12.05484954,37.1,35.1,0.0,322.40731,30659.0,48.983739837,100.0,0.5373455132,0.3224073079,5.8033315422,15.421816228,911.0,71.357214214,,,55.306427504,,23.333333333,28.703703704,0.8620689655,4.3,35.4,
46019,South_Dakota,Butte,77.093287189,3.2049654703,4.4223791209,87.969924812,50.612745098,17.4,16.823142035,25.9,29.8,3.0,37.12642,64528.0,80.155642023,50.317289856,0.6961202896,0.4640801931,4.6686467422,89.140523482,7263.0,22.148394241,,,22.841480128,,62.5,12.559808612,0.0,4.3,19.6,
46021,South_Dakota,Campbell,,2.7511689665,3.713650105,,66.292134831,17.3,8.5327103028,21.1,27.7,0.0,74.12898,65591.0,82.778581766,100.0,0.3706449222,0.4447739066,3.8547071905,92.587101557,1111.0,,,,,,0.0,8.5714285714,0.5524861878,4.6,15.9,
46023,South_Dakota,Charles Mix,71.330547408,3.630444813,4.6737379931,,62.173681406,26.1,3.5955309924,28.0,34.2,3.0,86.83382,54367.0,73.911576105,100.0,0.5210029306,0.3364810594,4.1246065342,63.17160534,5655.0,30.645705004,,,40.198735321,,27.5,10.634920635,0.1058076652,5.0,23.3,20.475319927
46025,South_Dakota,Clark,80.39102669,2.7421244877,3.7911260896,,60.727728984,13.0,16.231029964,23.7,28.4,,,62559.0,80.294117647,100.0,1.7382413088,0.2811860941,4.6267893661,91.692229039,2554.0,,,,16.207455429,,,11.356466877,1.2296253932,5.4,16.8,
46027,South_Dakota,Clay,77.829503556,2.9041852291,4.0508460454,77.5,72.090792839,17.1,11.069810333,22.2,28.4,7.0,78.53403,55263.0,51.089364845,22.10195764,1.7604712042,2.7290575916,3.3311518325,86.302356021,7334.0,12.054607371,,,5.7211683228,,35.454545455,19.581749049,0.4065325577,5.8,16.3,
46029,South_Dakota,Codington,78.749934566,2.8221745579,3.8760072562,87.837758112,62.038488952,11.1,6.5202507235,23.2,29.6,27.0,341.21375,65009.0,67.143444307,27.120917917,0.7450994046,0.8495525922,3.8264684377,90.567877163,19341.0,15.248706401,12.998983716,,16.353514266,12.789904502,24.516129032,14.35070306,0.3834270186,6.3,18.0,
46031,South_Dakota,Corson,61.424064416,5.0328190522,5.3783211597,,44.72769409,53.9,21.209748892,35.8,32.8,,104.54782999999999,39329.0,56.39589169,100.0,0.6011500261,0.4704652378,5.7501306848,28.044955567,2139.0,41.832252667,,,62.761506276,,0.0,17.427385892,0.0,4.6,30.9,17.799352751
46033,South_Dakota,Custer,80.938669958,2.9386323508,3.9863240776,82.5,60.109289617,16.8,7.637109242,22.8,28.9,4.0,55.518539999999994,75336.0,85.836354221,100.0,0.799467022,1.1214745725,4.6857650455,88.307794803,6941.0,26.205021537,,,15.384615385,31.807338407,28.571428571,14.120667522,0.0,2.6,17.4,
46035,South_Dakota,Davison,78.202648359,3.0805243531,4.1244844789,91.25,61.112238685,15.1,9.9845437271,24.6,28.3,16.0,155.20953,63753.0,62.807765152,21.377029465,0.8561558103,0.9062234016,4.2957993291,89.120312422,13591.0,10.092272203,,,17.655047533,12.126234097,41.363636364,12.312138728,0.1763762694,5.0,18.0,
46037,South_Dakota,Day,78.086208697,3.167472846,4.2420515404,,59.181818182,19.4,18.586414661,24.4,30.0,2.0,,62786.0,74.829642249,100.0,0.4562876437,0.73006023,2.6282168279,84.759992699,3909.0,,,,16.037735849,,46.666666667,9.3385214008,0.0193723363,5.5,19.7,
46039,South_Dakota,Deuel,82.066913346,2.7185202792,3.938468417,,69.683751363,9.0,9.9532614086,21.4,28.8,1.0,,77694.0,78.718662953,100.0,0.8272058824,0.1838235294,3.6534926471,93.566176471,2941.0,,,,,,,6.7605633803,0.0,5.4,16.4,
46041,South_Dakota,Dewey,61.360466163,4.63106067,5.3463256297,,48.353413655,29.1,24.255676123,35.9,35.5,1.0,58.36576,50048.0,60.656716418,100.0,0.7392996109,0.4474708171,5.1750972763,18.26848249,2792.0,52.378220637,,,58.643860721,,0.0,18.786127168,0.0851970181,4.2,31.3,
46043,South_Dakota,Douglas,78.902975927,2.9142932996,4.089148845,,68.231046931,13.3,2.1713165761,23.0,28.8,1.0,36.023050000000005,73934.0,77.437325905,100.0,0.4682997118,0.144092219,2.1974063401,93.33573487,1894.0,,,,,,,9.5435684647,0.6170458928,4.8,17.4,
46045,South_Dakota,Edmunds,79.762346244,2.8229242476,3.9788708695,,68.524590164,13.1,9.5164168827,22.2,30.2,2.0,,72004.0,82.879377432,100.0,0.295202952,0.5904059041,2.3616236162,94.956949569,2874.0,,,,,,,9.2903225806,0.6201132381,5.0,16.5,
