FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001,West_Virginia,Barbour,73.1087531,4.9887665078,6.3520810121,92.5,30.009038867,27.5,5.2718824224,32.1,41.7,5.0,136.23978,46302,75.107963379,100.0,1.3364473855,0.3049176074,1.2585960815,94.654210458,10601,24.364775496,35.15810808,,23.148148148,22.117097745,,8.9437162683,0.4936434947,6.7,24.4,
54003,West_Virginia,Berkeley,73.750383594,3.8519668386,5.8272619593,96.0,61.060490271,13.0,10.788941573,25.9,40.6,53.0,195.38187999999997,70829,75.397708539,32.425702022,7.834581821,1.3390995444,5.9479496486,81.332921461,85192,14.790854887,70.502089203,,20.265605328,14.847983344,,11.509846827,0.5701057287,8.8,19.6,10.230094355
54005,West_Virginia,Boone,69.802417137,5.0286695562,7.3048697193,89.0,48.901098901,26.0,3.2884611873,31.6,42.7,7.0,42.92255,46508,79.066566567,100.0,0.7916825639,0.1526135063,0.662914918,97.272033575,15480,16.848981285,86.17447982,,44.056906838,24.971329215,22.727272727,11.162255466,0.2907822041,7.6,24.7,
54007,West_Virginia,Braxton,75.104671829,5.233422793,6.6048433637,92.5,32.53968254,27.2,9.4537935541,33.7,40.3,6.0,82.06812000000001,43328,81.497700898,100.0,0.8206811654,0.3036520312,1.2228149364,95.921214608,9292,26.771556251,55.129554453,,21.775544389,30.777347872,,7.4906367041,0.0,6.9,26.8,
54009,West_Virginia,Brooke,73.942935715,4.2736022705,5.8437652251,92.0,62.596236099,17.2,4.8097476715,27.0,40.9,5.0,32.20908,61551,74.689878036,41.62861829,1.4724152211,0.5659596006,1.1825334744,95.095016795,16252,8.9327871572,57.792039907,,16.540008941,10.869663674,,6.026557712,0.771424564,9.6,20.2,
54011,West_Virginia,Cabell,70.434170935,4.690211303,6.1918592588,89.0,67.284169473,22.2,2.9962095819,29.4,40.7,157.0,344.00949,51017,64.626550677,22.028616852,4.7578992775,1.28113879,1.6229914806,89.516876955,62754,11.094815074,123.12602906,,19.269406393,17.629328323,,15.663570429,0.2853002954,7.1,21.5,8.0635893507
54013,West_Virginia,Calhoun,73.42968106,5.2460291443,6.4412696228,92.5,33.580980684,27.3,13.381140199,35.7,41.9,4.0,49.439679999999996,43589,78.145695364,100.0,0.593276203,0.1812788398,1.4667106131,96.259063942,4718,26.211262778,,,27.868852459,,,7.6376554174,0.0,7.5,27.7,
54015,West_Virginia,Clay,70.740855821,5.3078294049,6.6941003043,97.5,33.228247163,34.3,9.8604286501,33.5,42.1,,89.5828,42604,81.780104712,100.0,0.5246992577,0.1279754287,1.100588687,96.544663425,5609,36.724201249,52.544359565,,34.960819771,47.464223841,,11.816838996,0.0,7.1,26.8,
54017,West_Virginia,Doddridge,78.258534637,4.5943005424,6.3007661384,97.5,40.360873694,25.4,1.1874640036,30.0,40.5,1.0,12.99039,47755,89.850746269,100.0,2.9098467134,0.5066250974,0.805404001,94.050402702,6056,,,,39.768019884,24.086518775,13.333333333,5.1428571429,0.0,7.5,23.6,
54019,West_Virginia,Fayette,71.16610482,5.0073969042,6.9075402297,91.0,52.734291229,27.5,6.0266298573,32.8,43.4,16.0,75.97437000000001,48710,75.687037269,62.951985774,4.0038493681,0.3342872338,1.3650062046,92.263276521,29452,16.652567493,83.604646489,,35.618536959,11.377966568,,11.098332375,0.0700152996,7.4,25.0,12.870159453
