FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
42001,Pennsylvania,Adams,79.357333779,3.5455884083,5.1807479736,92.238657845,58.417568656,10.0,4.1891615149,23.9,33.4,56.0,119.78080999999999,76554,78.148277758,63.257327736,1.7127712752,0.9412696766,7.4367849699,88.26525319,73526,12.369701181,18.717043482,87.819327101,11.072896569,12.426581234,11.020408163,10.345697704,1.2292655515,9.1,17.5,2.9588766299
42003,Pennsylvania,Allegheny,77.223742001,3.2588675933,5.1322410873,90.249840168,80.295051713,14.4,5.5203629829,21.3,34.4,1353.0,445.08304000000004,71973,65.053506269,2.4146434689,13.222753158,4.5378361131,2.5212993603,77.206461286,902730,6.2129086725,49.624975413,88.713925192,9.6613436236,14.573457019,11.03,13.02925627,0.8702862316,14.1,16.0,3.9720431166
42005,Pennsylvania,Armstrong,75.348117883,3.792663398,5.0507303031,91.038265306,55.586592179,16.3,2.0477299554,24.8,36.6,28.0,152.90284,57609,78.546476033,64.944019037,0.9761070011,0.3119835668,0.9205059694,96.594436808,48608,11.997391113,44.84767256,82.803327691,15.608740895,14.466212161,7.9310344828,10.183698948,0.322910672,7.7,20.1,6.2762973352
42007,Pennsylvania,Beaver,75.887684328,3.6338463769,4.6818960813,74.293161094,68.743677928,13.7,9.3883943833,23.3,34.8,65.0,156.32828,67135,73.602411145,28.921320929,6.3370292799,0.6277274456,2.1777313689,88.28986522,123142,8.4460187364,40.760208303,86.13175183,14.157014157,12.257132802,12.260273973,9.9535270861,0.3643364186,9.9,19.0,4.1442188148
42009,Pennsylvania,Bedford,76.49357039,3.9233081739,5.2479583255,94.858585859,51.776447106,14.9,6.2731542153,26.3,35.3,16.0,149.73217,55517,78.866690511,90.65304664,0.6432156565,0.4892656797,1.3307182926,96.446497111,34889,16.927357877,34.226003381,80.992284503,17.071278129,20.848796191,,9.9096838936,0.1879075937,8.5,21.4,6.2527520916
42011,Pennsylvania,Berks,77.961715801,3.7083763484,4.9567735093,86.730317941,58.902474247,14.3,3.2919661019,24.5,35.0,270.0,179.57993,72157,70.833385037,26.55480134,4.445358219,1.6657025571,24.505806727,67.97948189,292213,10.443555136,31.69427529,86.290592776,18.051071324,10.760695871,8.1922196796,12.996355266,4.3154236254,9.2,18.4,5.0625734073
42013,Pennsylvania,Blair,75.449356466,3.8660980338,5.0667839983,89.416728077,58.666620775,17.3,4.3778635615,25.4,36.5,94.0,293.31086,57884,72.490956175,25.738874143,2.2365985855,0.7204706193,1.5359574327,93.760327847,87416,12.081854565,32.089697561,83.238776761,17.774617846,11.792607345,19.482758621,11.966308452,0.2806722401,9.4,20.8,5.4903665073
42015,Pennsylvania,Bradford,77.573121102,3.88463011,5.0831816112,91.772798742,51.428571429,16.7,4.7204602219,26.6,36.6,61.0,101.89423,63529,72.443659948,72.978471493,0.8084722547,0.780075502,1.667056426,95.269435072,42551,19.331734929,19.951672615,83.572102951,24.49926932,10.591747705,10.666666667,10.803268886,0.350654614,7.3,21.2,10.612244898
42017,Pennsylvania,Bucks,79.324133366,2.8802465195,4.8590285273,93.414836333,72.868008708,7.0,4.4579654767,21.2,35.0,522.0,300.59499,105202,77.973860975,10.296842568,4.208484871,5.7345586571,6.2991625507,81.940736745,464065,8.2489982793,33.852777216,93.013928389,4.6982844375,7.2177229287,5.0240770465,13.396880776,2.033119917,9.2,14.5,6.626068848
42019,Pennsylvania,Butler,77.882302137,3.2605318238,4.4165251202,93.093441815,74.394372966,8.4,3.1888357879,20.5,34.6,132.0,211.86011,81507,76.158357033,43.308578005,1.3122149012,1.6822098327,1.8667004562,93.745058287,139574,9.2429704179,37.2859341,88.731029623,6.8641952482,11.096351203,6.3583815029,10.434223223,0.4111180141,10.0,15.5,3.5935563817
