FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27000,Minnesota,,79.269990218,3.3811889528,4.9795787394,84.113128451,75.452453072,10.2,5.6944651183,19.9,30.3,5033.0,359.90425,85070,72.385365185,28.121294792,7.5818132545,5.5180496748,6.460726588,76.887649956,1515019,8.1969531022,22.187206634,90.73328699,9.3890267981,8.9966631168,,12.627293527,98.0540545167,6.0,13.4,
27001,Minnesota,Aitkin,77.903080798,3.9541779353,5.1433230984,81.860795455,62.890625,16.1,11.339267091,21.9,34.3,14.0,93.15613,59844,85.306416727,100.0,0.4844118743,0.3229412495,1.4656564402,93.770960129,2560,19.808933829,37.608909133,83.273251622,14.218009479,17.577119612,,13.874147081,99.9348321929,4.6,18.9,
27003,Minnesota,Anoka,79.860061297,3.6717514302,5.0228294933,85.803858521,71.632195063,7.6,6.5116640157,19.0,30.1,173.0,230.90905999999998,96661,79.964162707,15.902464227,9.4159880357,6.3655719966,6.0025614795,74.794665464,98922,7.4684478049,20.167858639,93.615380661,6.6315034822,9.188851377,,10.614061557,97.7165931814,6.2,11.6,
27005,Minnesota,Becker,77.87417194,3.793679148,4.911303402,82.328530259,69.36559843,14.6,12.763271463,20.3,29.5,28.0,263.58303,71719,77.804776451,70.912088224,0.6518720063,0.6008559363,2.1114984553,86.469404529,7645,15.723790923,13.327494621,87.975562344,14.447071185,17.257248044,,12.046444122,99.7024167368,4.2,15.5,
27007,Minnesota,Beltrami,74.051535092,4.3370767196,5.6326285172,64.792020374,69.399653822,19.6,15.73085258,20.3,32.7,50.0,455.92705000000007,65855,69.471744472,67.878774769,0.7748619376,0.8262339997,2.5728841132,71.366496853,10977,15.88877855,54.045981752,90.188742461,23.714773004,14.063139234,,15.778980347,99.8248121341,5.7,17.7,
27009,Minnesota,Benton,77.273432109,3.8350828034,5.0595113668,87.284768212,70.531482735,14.0,7.9218772982,19.6,28.8,9.0,28.84615,74677,67.854977568,45.034921095,5.7980769231,1.2836538462,3.7980769231,86.175480769,11816,9.4656135295,24.216984178,89.929671396,9.5069644042,9.2541180825,,11.28440367,99.2869322586,6.1,13.9,
27011,Minnesota,Big Stone,77.487936509,3.7921265704,5.0400030844,,71.130104463,14.5,9.8389443848,23.8,31.0,9.0,137.12047,62245,79.394217531,100.0,0.7247796278,0.5288932419,2.8795298727,93.712047013,1053,,,89.031665902,,,,10.989010989,99.5862639636,5.9,17.0,
27013,Minnesota,Blue Earth,79.697399071,3.9688077953,5.205063356,86.523579202,74.062977323,10.6,16.988942784,24.7,31.5,64.0,507.09939,67236,61.755508958,33.573040861,5.1966974259,2.5683512842,4.8438705254,84.869868297,17022,5.6764904992,16.895805978,87.609903248,6.0564349621,7.3049860913,,15.752910252,98.9709056638,6.8,18.5,
27015,Minnesota,Brown,80.154644652,3.6062429995,5.0466243088,88.006993007,70.400984875,6.8,4.0433301847,23.9,29.2,24.0,230.21695,71884,79.435410196,48.151435628,0.5696894022,0.7452786015,5.3340096769,92.277977212,5686,7.9081747933,,86.378585785,12.26993865,11.857051388,,8.2598607889,99.1593537275,6.4,18.3,
27017,Minnesota,Carlton,76.279094311,3.8032167971,5.4578994661,91.1799591,69.263135182,8.4,4.2196892022,18.6,36.0,32.0,225.39036000000002,75512,79.351560263,63.507056647,1.9171758316,0.7141887305,2.0583842498,87.462321792,9269,10.721518485,28.470143085,85.921843687,12.365810572,12.735749803,,10.636731689,99.5027464585,1.3,15.8,
27019,Minnesota,Carver,82.334228571,2.9334296486,3.9093395883,94.902448071,84.444363716,3.8,3.768171879,16.7,26.4,92.0,230.51226,129437,81.713106808,24.650679935,2.2790098778,4.0213584015,5.1451056665,86.494322735,27527,5.5687908661,11.684218618,94.250702195,3.3007056681,5.6193981625,,8.4914300667,98.9242149611,7.0,11.0,
