FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32000,Nevada,,76.424167834,4.4687355268,4.8745687276,81.814772192,60.001629769,16.4,6.1482896754,25.7,39.3,1783.0,266.04671,76332,59.31368531,5.90769094,9.8961985814,9.7236345148,29.942025737,45.444709371,883561,11.583872888,29.429107036,90.267561157,17.092261232,18.222011908,,19.295941153,94.8147850757,8.15,14.9,
32001,Nevada,Churchill,73.439452332,4.5110887014,5.5027425192,80.0,56.871595331,13.7,5.7778697675,24.2,36.2,12.0,236.40661999999998,72065,68.050986842,34.343157235,2.2245475332,2.9221408363,15.715226912,71.325039724,6425,26.902338786,24.698098246,88.456003289,22.249690977,22.173300179,,14.197847258,99.4047866805,9.6,18.4,
32003,Nevada,Clark,76.641728428,4.9615146495,5.516375833,81.0,59.615705374,17.7,5.1868139744,27.0,41.4,1252.0,255.63079000000002,75103,57.048330261,1.2689249561,12.693204963,11.596170973,32.134027056,38.623659522,659494,10.380296968,28.031757976,90.524535685,16.711321974,17.025690595,,20.649397583,93.8440136807,12.1,15.7,
32005,Nevada,Douglas,79.137342485,4.1556369808,5.3735798414,83.0,68.13658741,12.0,12.038822445,18.8,33.9,26.0,165.50611,82025,78.365566932,29.730439703,0.716520335,2.2181854879,13.099202745,80.010091836,9547,10.225337217,18.844305655,93.415813424,7.0010183299,23.174688361,,15.06456241,98.9747765806,9.5,12.3,
32007,Nevada,Elko,75.351829103,4.4211771095,5.4907769229,78.829787234,53.474141334,11.4,4.0856947913,24.5,37.8,19.0,108.66963,85829,70.449196767,51.798815687,1.0351242333,1.3261378078,26.180170556,64.912603835,15198,17.249650964,27.956040679,88.355673795,23.691186216,34.184181364,,10.797743755,98.0210845174,6.2,17.4,
32009,Nevada,Esmeralda,,5.2532084398,5.9349390716,,54.430379747,18.2,43.740142716,27.3,38.0,0.0,0.0,59057,47.667342799,100.0,3.9402173913,1.7663043478,19.02173913,62.092391304,158,,,91.886409736,,,,20.412371134,95.1923076923,7.8,19.6,
32011,Nevada,Eureka,69.672985061,4.8407592978,5.7140404424,,54.372623574,13.5,6.2523653131,25.0,37.1,0.0,,81661,85.396825397,100.0,1.4606155451,1.0954616588,12.20657277,79.812206573,263,,,90.476190476,,,,9.9099099099,100.0,4.9,17.9,
32013,Nevada,Humboldt,74.101860212,4.6242379151,5.4412991726,94.0,58.827634334,13.6,5.1840429057,29.0,38.8,8.0,122.54902,81500,73.560097185,38.987561469,0.9103641457,1.1963118581,27.661064426,64.39659197,4299,19.300645313,19.274507536,88.380734601,24.54642476,39.766546977,,12.417340191,96.8199851227,6.6,19.3,
32015,Nevada,Lander,75.189082515,4.7409376236,5.534088572,87.5,57.842046719,12.6,4.1816889314,25.2,38.2,2.0,17.334030000000002,87398,66.942508711,100.0,0.849367308,1.4907262957,23.314265904,68.660079737,1798,,,95.165505226,19.952114924,,,13.913043478,98.7710931768,,17.6,
32017,Nevada,Lincoln,76.973512376,4.3911904377,5.5935193519,52.5,42.288557214,18.2,14.591519342,24.9,38.6,2.0,112.30907,67577,73.739237392,100.0,3.1221922731,0.9658580413,7.0080862534,84.074573226,1005,,,80.873308733,,,,11.849710983,100.0,5.4,19.4,
32019,Nevada,Lyon,74.239895884,4.7562656271,5.7633935722,85.0,55.5735161,11.9,9.797793082,24.5,37.8,8.0,154.99417,75195,76.582845921,44.625643623,1.2063979036,2.0117284247,20.272278414,70.923413707,15466,22.420072442,25.441492863,91.132647398,20.893038735,28.219294518,,13.249776186,98.0570871963,10.4,17.7,
32021,Nevada,Mineral,68.373360657,5.4665992093,6.1319808011,,40.760389036,22.6,32.723600023,28.0,41.1,5.0,132.50883,58039,73.96073903,100.0,3.953180212,3.2022968198,13.957597173,61.462014134,1131,50.706724979,,84.526558891,24.147727273,,,10.951008646,99.7389033943,9.6,20.7,
32023,Nevada,Nye,73.321667668,5.0310184402,5.8638305783,81.0,44.029994232,24.1,34.212160632,27.7,38.6,13.0,150.75377,63071,75.231281046,27.316780059,3.88011486,2.5017946877,17.905599426,70.974515434,10402,22.338980628,44.802293877,80.777468897,25.72678158,33.855814535,,15.716954694,97.9102136836,7.4,20.6,
32027,Nevada,Pershing,76.902614249,4.6282986155,5.4697282252,,36.293061621,18.3,4.4272233968,24.8,39.7,2.0,94.28032999999999,66928,74.282620466,100.0,3.8340666248,1.6184789441,23.884349466,64.566310497,2061,21.628636314,,88.52192745,16.411378556,,,6.1994609164,97.8064516129,6.7,18.8,
32029,Nevada,Storey,83.797243243,4.1962452526,5.3108203131,,73.970783533,9.8,0.0883248903,21.5,35.9,,143.64376000000001,88684,97.385272145,89.132553606,1.6997845344,2.2264783337,10.102944697,81.134785731,753,,,94.076840982,,,,14.596273292,99.4761785982,9.6,15.9,
32031,Nevada,Washoe,76.81153373,4.3295192639,5.5721065181,84.029424307,64.792271651,11.3,6.7953440204,21.0,38.7,389.0,377.69416,84282,59.474262358,4.1717027207,2.5486825883,6.4129697082,26.48316741,59.775070178,138089,11.691409466,37.826663913,90.290458552,16.959349425,17.38426674,,17.193456163,96.8230387204,11.2,15.4,
32033,Nevada,White Pine,76.58991813,4.8054094249,5.4810950374,92.5,46.726190476,14.0,12.457449331,27.3,38.3,7.0,434.17038,70635,77.516877018,50.936123348,3.0743956818,1.2673081436,16.780098568,72.048814832,2688,18.246787805,,85.001467567,32.999410725,,,11.206896552,99.8362189986,4.9,19.5,
