FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
02013,AK,Aleutians East,112.5,4.0,3.7,,51,13.0,15.0,28,39,,3.0,79128.0,61,100.0,8.9,43.9,14.9,9.5,3401,,,58,,,0.0,14,10,,20,,high,high,Yes,Yes
02016,AK,Aleutians West,91.5,3.5,3.4,,53,6.0,8.0,24,36,2.0,8.0,92216.0,28,100.0,6.5,40.6,13.7,22.8,5680,,,79,,,0.0,19,8,,17,,high,high,Yes,Yes
02020,AK,Anchorage,78.7,3.4,3.9,84.0,72,9.0,5.0,21,34,339.0,1752.0,84577.0,62,4.1,5.2,10.1,9.5,56.4,287095,171.0,189.0,92,20.0,333.0,30.0,17,2,5.4,15,8.0,high,high,No,No
02050,AK,Bethel,70.7,6.5,6.0,56.0,33,37.0,40.0,33,38,20.0,484.0,52214.0,56,73.9,0.9,1.1,2.1,9.1,18437,16.0,,73,58.0,27.0,83.0,61,2,,35,13.0,low,high,Yes,No
02060,AK,Bristol Bay,,4.1,4.5,,69,12.0,12.0,22,34,0.0,0.0,87032.0,51,100.0,0.6,2.5,8.4,39.8,788,,,81,,,,12,0,,21,,high,high,Yes,No
02068,AK,Denali,89.1,3.7,4.1,78.0,64,7.0,33.0,20,32,,,80192.0,83,100.0,3.2,5.6,4.0,78.0,2081,,,85,,,0.0,25,0,,18,,high,high,Yes,No
02070,AK,Dillingham,70.2,5.4,5.3,,48,27.0,31.0,28,38,13.0,42.0,72334.0,60,100.0,0.7,1.0,3.1,14.1,4833,,,73,39.0,14.0,68.0,40,2,,31,19.0,high,high,Yes,No
02090,AK,Fairbanks North Star,80.2,3.5,3.9,74.0,70,8.0,8.0,22,33,85.0,675.0,76650.0,59,30.9,4.7,3.5,8.1,69.1,95651,83.0,41.0,87,23.0,121.0,26.0,24,1,11.4,18,,high,high,No,No
02100,AK,Haines,84.4,3.7,4.2,,73,18.0,10.0,20,31,7.0,6.0,105044.0,61,100.0,0.5,1.0,3.6,77.7,2614,,,86,,,0.0,20,0,,18,,high,high,Yes,No
02105,AK,Hoonah-Angoon,84.3,4.4,4.7,,47,23.0,31.0,24,35,,6.0,55593.0,73,,2.4,0.8,6.0,46.3,2141,,,61,37.0,,0.0,14,0,,23,,high,high,No,No
02110,AK,Juneau,81.1,3.3,3.9,86.0,73,12.0,2.0,17,34,40.0,283.0,89204.0,65,21.5,1.2,7.1,7.0,63.7,31849,,19.0,91,10.0,23.0,36.0,14,1,6.9,15,,high,high,No,No
02122,AK,Kenai Peninsula,79.2,3.9,4.3,88.0,58,15.0,8.0,22,34,45.0,191.0,68448.0,75,79.3,0.7,1.9,4.4,79.5,59414,45.0,41.0,83,18.0,59.0,25.0,19,0,,20,6.0,high,high,Yes,No
02130,AK,Ketchikan Gateway,80.2,3.8,4.2,83.0,61,10.0,0.0,22,32,16.0,169.0,76780.0,64,23.2,0.9,8.3,5.6,63.2,13747,,,87,18.0,12.0,66.0,18,1,,20,,high,high,No,No
