FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
08001,CO,Adams,78.6,3.7,4.1,78.0,58,12.0,5.0,26,33,243.0,1921.0,73615.0,67,3.6,3.3,4.5,41.2,48.5,519883,378.0,329.0,88,22.0,340.0,8.0,18,6,10.4,15,8.0,high,high,No,No
08003,CO,Alamosa,75.1,4.5,4.4,83.0,59,21.0,13.0,27,33,14.0,239.0,50390.0,55,36.9,1.2,1.7,47.8,46.9,16180,19.0,16.0,79,19.0,14.0,14.0,17,4,5.6,17,,low,low,No,Yes
08005,CO,Arapahoe,80.6,3.2,3.8,84.0,72,8.0,2.0,20,30,528.0,2654.0,82381.0,64,1.6,10.7,6.6,20.0,58.9,657452,368.0,355.0,92,15.0,418.0,13.0,16,4,6.3,13,6.0,high,high,No,No
08007,CO,Archuleta,82.6,3.4,4.0,83.0,61,16.0,11.0,19,30,11.0,25.0,63961.0,74,59.4,0.6,1.2,18.2,76.8,14196,18.0,,86,18.0,16.0,13.0,17,0,5.6,14,,high,low,No,No
08009,CO,Baca,76.4,4.3,4.8,,63,24.0,10.0,24,33,3.0,1.0,42531.0,71,100.0,0.8,0.4,11.9,83.2,3555,,,75,23.0,,,11,2,5.4,20,,low,low,Yes,No
08011,CO,Bent,74.0,4.9,4.6,69.0,26,27.0,5.0,30,35,,4.0,50688.0,60,38.0,6.7,1.5,32.6,57.0,5356,10.0,,76,24.0,,15.0,20,2,5.4,21,,low,low,No,No
08013,CO,Boulder,82.6,3.0,3.7,89.0,84,6.0,3.0,15,27,400.0,2578.0,88289.0,64,8.9,1.0,5.0,13.8,77.5,327171,161.0,133.0,92,6.0,161.0,11.0,19,2,8.5,11,5.0,high,high,No,No
08014,CO,Broomfield,81.8,2.8,3.5,,86,4.0,5.0,14,29,75.0,143.0,106263.0,66,0.6,1.4,7.0,12.9,75.8,72236,22.0,32.0,94,8.0,36.0,6.0,13,1,9.2,11,,high,high,No,No
08015,CO,Chaffee,81.9,3.5,4.1,83.0,60,11.0,3.0,19,30,18.0,47.0,64220.0,71,37.4,1.7,0.9,9.8,85.2,20661,16.0,,81,11.0,24.0,8.0,12,1,5.0,16,,high,high,No,No
08017,CO,Cheyenne,79.0,3.7,4.4,,81,18.0,9.0,21,32,0.0,,56383.0,74,100.0,1.1,2.1,11.8,82.7,1795,,,85,,,,7,1,5.5,17,,high,low,Yes,No
08019,CO,Clear Creek,83.5,3.1,3.9,83.0,67,9.0,3.0,16,30,,3.0,79422.0,78,100.0,1.0,1.3,7.4,87.9,9586,,,86,7.0,14.0,7.0,11,1,5.3,14,,high,high,Yes,No
08021,CO,Conejos,75.4,4.4,4.3,89.0,58,22.0,3.0,28,34,3.0,2.0,39822.0,80,100.0,0.6,0.9,51.2,45.6,8143,,,70,18.0,16.0,6.0,17,1,5.3,16,,low,low,Yes,Yes
08023,CO,Costilla,77.2,5.0,4.6,,62,32.0,58.0,31,34,,1.0,35639.0,74,100.0,1.1,1.5,60.6,33.9,3921,,,75,22.0,,13.0,21,5,5.4,17,,low,low,Yes,Yes
08025,CO,Crowley,77.2,4.7,4.4,,29,30.0,1.0,29,36,,,36836.0,73,100.0,10.1,1.2,32.0,53.5,5696,10.0,,78,24.0,,,14,2,5.6,21,,low,low,Yes,No
08027,CO,Custer,79.0,3.4,4.2,,71,23.0,6.0,18,31,1.0,3.0,60485.0,88,100.0,1.3,0.5,6.0,89.4,5183,,,78,14.0,,,19,0,4.8,15,,high,low,Yes,No
08029,CO,Delta,77.1,4.3,4.7,87.0,47,15.0,4.0,24,33,23.0,59.0,53553.0,73,63.2,0.6,0.8,15.4,81.1,31067,35.0,21.0,75,24.0,48.0,14.0,19,1,5.6,19,,low,low,Yes,No
08031,CO,Denver,78.9,3.3,3.8,69.0,77,17.0,4.0,19,30,1009.0,4652.0,75355.0,50,0.0,8.9,4.1,28.9,55.2,735538,464.0,628.0,89,25.0,507.0,16.0,18,5,9.1,13,8.0,high,high,No,No
08033,CO,Dolores,75.7,3.7,4.5,,74,15.0,37.0,19,32,1.0,1.0,50821.0,79,100.0,0.4,0.4,7.5,86.5,2096,,,65,,,,7,3,5.1,18,,low,low,Yes,No
08035,CO,Douglas,83.4,2.6,3.5,92.0,87,3.0,2.0,13,27,244.0,502.0,122290.0,79,10.3,1.5,5.6,9.4,80.7,360750,108.0,105.0,97,4.0,156.0,11.0,10,1,7.5,10,3.0,high,high,No,No
08037,CO,Eagle,91.4,3.2,3.7,85.0,73,7.0,5.0,17,26,42.0,117.0,94309.0,70,20.0,0.9,1.5,29.3,67.1,54929,32.0,16.0,93,15.0,26.0,6.0,18,6,5.5,12,,high,high,No,No
08039,CO,Elbert,82.4,3.2,4.0,83.0,75,7.0,7.0,17,30,4.0,29.0,107139.0,91,100.0,1.1,1.0,8.2,87.4,27313,21.0,,92,7.0,16.0,6.0,12,1,6.6,14,,high,high,Yes,No
08041,CO,El Paso,78.1,3.4,4.0,74.0,75,11.0,6.0,20,31,449.0,2760.0,72459.0,65,8.9,5.9,3.2,18.0,68.2,728310,645.0,645.0,92,19.0,730.0,17.0,16,1,6.2,14,6.0,high,high,No,No
08043,CO,Fremont,76.9,4.0,4.4,85.0,39,18.0,13.0,23,35,22.0,181.0,52414.0,76,26.4,3.7,0.9,13.4,79.1,47867,53.0,41.0,83,28.0,64.0,15.0,14,1,5.6,19,,low,low,No,No
08045,CO,Garfield,80.6,3.5,4.0,85.0,59,9.0,4.0,19,32,45.0,153.0,79958.0,68,24.1,0.7,1.0,29.4,67.3,60366,62.0,29.0,89,24.0,45.0,14.0,18,6,4.8,15,,high,high,No,No
08047,CO,Gilpin,82.5,3.0,3.9,,81,8.0,,16,29,2.0,4.0,79622.0,86,100.0,1.2,1.5,7.6,86.6,6235,,,92,,,,21,0,5.4,13,,high,high,Yes,No
08049,CO,Grand,86.6,3.4,4.1,89.0,62,9.0,0.0,18,31,10.0,29.0,74484.0,70,82.6,0.8,0.9,9.9,86.5,15794,17.0,,90,13.0,11.0,5.0,14,1,5.2,16,,high,high,Yes,No
08051,CO,Gunnison,83.9,3.3,4.0,93.0,77,9.0,3.0,17,29,16.0,42.0,68214.0,65,58.6,0.5,0.9,9.7,86.7,17593,16.0,,87,8.0,19.0,7.0,19,1,4.9,14,,high,high,No,No
08053,CO,Hinsdale,,3.3,4.1,,84,19.0,4.0,17,30,1.0,2.0,63034.0,79,100.0,1.5,1.0,5.8,88.7,808,,,86,,,0.0,13,0,5.0,14,,high,low,Yes,No
08055,CO,Huerfano,75.7,3.8,4.2,,57,32.0,12.0,24,32,5.0,11.0,49502.0,73,56.1,0.9,1.0,33.4,62.1,6883,15.0,,70,21.0,15.0,56.0,13,1,5.8,15,,low,low,No,No
08057,CO,Jackson,,3.8,4.4,,68,17.0,8.0,21,33,2.0,6.0,55430.0,72,100.0,0.1,0.6,13.3,84.0,1389,,,79,,,70.0,11,2,4.7,17,,high,low,Yes,No
08059,CO,Jefferson,80.3,3.1,3.8,85.0,77,7.0,3.0,15,30,500.0,2104.0,90097.0,72,6.9,1.3,3.2,15.7,77.5,583283,333.0,343.0,92,10.0,355.0,12.0,14,1,8.9,14,6.0,high,high,No,No
08061,CO,Kiowa,,4.1,4.7,,78,16.0,36.0,22,32,0.0,,49179.0,74,100.0,0.4,0.5,9.1,87.4,1458,,,88,,,,8,0,5.6,19,,low,low,Yes,No
08063,CO,Kit Carson,78.1,3.9,4.5,87.0,61,16.0,9.0,22,33,4.0,7.0,54642.0,68,48.7,0.7,0.8,18.9,77.5,7121,13.0,,85,30.0,,8.0,10,3,5.8,18,,low,low,No,No
08065,CO,Lake,86.5,3.9,4.2,68.0,64,14.0,23.0,23,32,4.0,5.0,61518.0,77,31.1,0.6,0.9,35.7,60.5,7987,,,80,31.0,,13.0,13,4,4.6,16,,high,low,No,No
08067,CO,La Plata,82.0,3.3,4.0,76.0,74,12.0,4.0,17,30,69.0,248.0,66080.0,71,59.9,0.5,0.7,12.9,78.4,56564,47.0,19.0,80,10.0,61.0,6.0,14,1,11.1,14,7.0,high,high,No,No
08069,CO,Larimer,81.7,3.2,4.0,83.0,79,8.0,5.0,16,27,305.0,1456.0,80344.0,66,11.7,1.0,2.4,12.1,81.8,360428,238.0,158.0,91,9.0,222.0,18.0,17,1,7.7,14,3.0,high,high,No,No
08071,CO,Las Animas,76.0,4.1,4.2,78.0,54,23.0,13.0,25,33,8.0,26.0,46281.0,69,40.8,1.9,1.5,40.1,54.0,14420,21.0,16.0,77,27.0,26.0,33.0,16,1,5.3,16,,low,low,No,No
08073,CO,Lincoln,79.2,4.0,4.4,,21,18.0,8.0,24,33,3.0,12.0,50169.0,72,100.0,5.2,1.1,15.2,76.1,5680,,,76,14.0,,,11,3,5.6,19,,low,low,Yes,No
08075,CO,Logan,77.7,4.0,4.4,83.0,58,15.0,8.0,23,34,15.0,73.0,55717.0,66,29.2,4.2,1.0,17.2,75.7,21974,27.0,10.0,84,20.0,16.0,16.0,15,3,5.7,19,,high,low,No,No
08077,CO,Mesa,78.3,3.8,4.4,78.0,63,14.0,9.0,21,32,177.0,539.0,64141.0,69,12.7,0.7,1.0,15.0,80.8,155603,139.0,90.0,87,24.0,163.0,27.0,17,1,5.9,18,7.0,high,high,No,No
08079,CO,Mineral,,3.2,4.0,,70,15.0,3.0,17,29,1.0,0.0,58004.0,73,100.0,0.9,0.6,6.2,90.2,773,,,92,,,,9,0,5.0,13,,high,low,Yes,No
08081,CO,Moffat,76.9,4.0,4.6,78.0,48,12.0,15.0,24,32,2.0,26.0,63128.0,64,27.4,0.7,0.8,16.6,79.3,13144,23.0,10.0,83,29.0,15.0,9.0,15,4,5.7,19,,high,low,No,No
08083,CO,Montezuma,77.0,4.1,4.6,77.0,59,20.0,7.0,21,34,27.0,48.0,54053.0,71,67.2,0.4,0.6,12.7,72.3,26408,32.0,20.0,75,27.0,34.0,29.0,16,1,6.2,18,,low,low,Yes,No
08085,CO,Montrose,80.6,3.9,4.4,75.0,58,15.0,8.0,22,29,34.0,125.0,59764.0,74,45.0,0.5,0.9,20.8,75.8,43322,52.0,23.0,78,27.0,49.0,9.0,15,4,5.5,17,,high,low,No,No
