FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
29001,MO,Adair,77.3,4.7,5.1,91.0,63,19.0,12.0,31,35,29.0,66.0,49175.0,62,37.9,3.6,2.8,2.6,88.8,25399,25.0,,78,9.0,17.0,36.0,16,2,8.2,22,,low,low,No,No
29003,MO,Andrew,79.1,4.0,4.7,92.0,68,11.0,5.0,29,33,2.0,4.0,69387.0,79,61.3,1.1,0.7,2.7,93.7,17586,21.0,,77,15.0,14.0,,9,0,8.5,21,,high,high,Yes,No
29005,MO,Atchison,76.6,4.2,4.9,,54,16.0,2.0,30,36,2.0,3.0,53603.0,69,100.0,0.5,0.4,1.7,95.9,5096,,,79,,,,9,0,8.2,22,,low,high,Yes,No
29007,MO,Audrain,75.2,4.8,5.3,92.0,50,27.0,9.0,37,37,13.0,54.0,48258.0,71,41.2,6.2,0.6,3.3,87.4,24835,29.0,,78,30.0,16.0,27.0,9,1,8.7,25,10.0,low,low,No,No
29009,MO,Barry,76.0,4.9,5.2,92.0,47,23.0,8.0,38,36,23.0,30.0,47853.0,74,73.3,0.5,2.4,9.7,84.8,35818,70.0,12.0,71,36.0,24.0,24.0,16,3,9.0,24,,low,low,Yes,No
29011,MO,Barton,78.2,4.9,5.3,86.0,58,23.0,27.0,35,36,3.0,9.0,46353.0,69,64.0,0.5,0.6,3.0,92.3,11592,15.0,,77,34.0,,42.0,13,0,8.5,24,,low,low,Yes,No
29013,MO,Bates,76.2,4.6,5.2,89.0,43,19.0,9.0,33,36,4.0,10.0,52140.0,70,77.3,1.2,0.3,2.6,93.4,16242,31.0,12.0,73,27.0,,27.0,11,0,7.8,24,,low,high,Yes,No
29015,MO,Benton,75.2,4.9,5.3,94.0,49,28.0,5.0,35,36,6.0,15.0,44141.0,83,86.5,0.6,0.5,2.2,94.1,19627,30.0,13.0,75,32.0,29.0,,13,0,7.8,25,,low,low,Yes,No
29017,MO,Bollinger,76.9,5.1,5.5,,44,23.0,12.0,38,36,1.0,2.0,48198.0,83,100.0,0.5,0.2,1.6,95.7,12111,19.0,,74,29.0,13.0,,13,0,8.8,27,,low,low,Yes,No
29019,MO,Boone,79.0,4.0,4.6,90.0,80,13.0,10.0,29,32,212.0,709.0,62673.0,56,18.8,9.7,5.0,3.6,78.1,182991,106.0,98.0,86,10.0,124.0,33.0,16,1,8.9,18,3.0,high,high,No,No
29021,MO,Buchanan,75.8,4.5,4.9,84.0,54,17.0,12.0,34,38,52.0,165.0,53133.0,62,13.4,5.6,1.7,6.8,82.6,86530,61.0,55.0,79,35.0,64.0,56.0,13,1,8.9,24,10.0,low,high,No,No
29023,MO,Butler,72.7,5.2,5.5,92.0,57,27.0,9.0,39,38,40.0,130.0,42099.0,64,52.2,5.6,1.0,2.3,87.9,42178,57.0,43.0,77,44.0,44.0,55.0,13,0,9.0,27,11.0,low,low,No,No
29025,MO,Caldwell,75.7,4.8,5.2,,51,16.0,8.0,36,36,1.0,1.0,47870.0,76,100.0,0.7,0.4,2.8,93.5,9051,23.0,,76,27.0,,,15,0,7.5,24,,low,low,Yes,No
29027,MO,Callaway,76.9,4.2,4.9,91.0,58,14.0,8.0,32,33,17.0,83.0,61268.0,75,62.0,4.7,0.8,2.2,89.7,44887,59.0,23.0,81,21.0,30.0,57.0,10,0,8.6,22,9.0,high,high,Yes,No
29029,MO,Camden,79.1,4.3,5.0,91.0,58,21.0,6.0,33,35,33.0,71.0,64357.0,81,74.2,0.6,0.7,3.0,93.8,46414,63.0,23.0,81,25.0,39.0,30.0,14,0,8.1,23,8.0,high,high,Yes,No
29031,MO,Cape Girardeau,76.1,4.2,4.8,90.0,69,14.0,10.0,29,35,70.0,234.0,57763.0,66,30.5,7.7,1.9,2.5,85.4,79512,82.0,60.0,86,17.0,71.0,29.0,14,0,9.6,21,5.0,high,high,No,No
29033,MO,Carroll,75.9,4.6,5.2,,48,18.0,9.0,35,36,3.0,4.0,51891.0,72,64.5,1.8,0.2,1.7,94.6,8554,20.0,,73,20.0,,,8,0,7.4,24,,low,low,Yes,No
29035,MO,Carter,72.5,4.7,5.3,,55,30.0,26.0,35,35,1.0,8.0,38854.0,72,100.0,0.5,0.2,2.6,94.0,5991,17.0,,76,37.0,,,13,0,8.2,25,,low,low,Yes,No
29037,MO,Cass,78.3,4.0,4.7,91.0,64,9.0,8.0,30,34,25.0,108.0,82068.0,75,32.4,4.6,0.8,4.8,86.8,106806,94.0,49.0,86,18.0,113.0,31.0,10,1,6.5,20,5.0,high,high,No,No
29039,MO,Cedar,75.2,5.0,5.4,88.0,56,28.0,11.0,36,36,4.0,12.0,40130.0,70,75.3,0.4,0.4,2.4,94.3,14322,25.0,,77,42.0,15.0,,10,0,7.4,26,,low,low,Yes,No
29041,MO,Chariton,78.0,4.5,5.1,,61,15.0,3.0,34,36,1.0,4.0,60521.0,77,100.0,2.4,0.2,1.0,94.5,7360,12.0,,77,25.0,,13.0,10,0,7.8,23,,high,high,Yes,No
29043,MO,Christian,78.7,4.1,4.8,95.0,72,11.0,7.0,30,33,41.0,95.0,67585.0,75,44.8,0.8,0.7,3.4,92.6,90655,88.0,38.0,87,17.0,73.0,33.0,11,1,8.9,20,,high,high,No,No
29045,MO,Clark,78.5,4.8,5.3,98.0,52,20.0,4.0,35,35,3.0,2.0,47750.0,76,100.0,0.5,0.4,0.8,96.8,6830,10.0,,68,22.0,,,9,1,8.7,26,,low,low,Yes,No
29047,MO,Clay,79.1,3.8,4.4,96.0,71,9.0,6.0,29,31,159.0,349.0,74950.0,68,9.8,7.2,2.5,7.2,79.6,253463,182.0,120.0,89,16.0,196.0,15.0,9,1,6.1,18,5.0,high,high,No,No
