FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
37001,NC,Alamance,76.8,4.1,4.6,84.0,62,18.0,11.0,30,38,71.0,270.0,53220.0,67,28.6,20.6,1.9,13.2,62.1,171346,151.0,118.0,81,19.0,113.0,,16,3,8.5,19,9.0,low,low,No,No
37003,NC,Alexander,77.0,4.3,4.9,83.0,46,17.0,8.0,29,36,9.0,21.0,53523.0,80,72.8,5.7,1.0,4.9,86.6,37441,51.0,13.0,79,23.0,42.0,,12,1,8.4,22,,low,low,Yes,No
37005,NC,Alleghany,77.3,4.8,5.1,88.0,51,31.0,2.0,32,36,12.0,27.0,39916.0,75,100.0,1.5,0.8,9.8,86.6,11194,19.0,,78,40.0,10.0,,13,1,7.1,24,,low,low,Yes,No
37007,NC,Anson,73.4,4.6,4.9,83.0,47,29.0,5.0,34,42,10.0,21.0,40818.0,67,78.5,47.5,1.6,4.4,44.6,24097,44.0,18.0,79,35.0,38.0,,17,1,7.9,24,,low,low,Yes,Yes
37009,NC,Ashe,78.2,4.2,4.8,86.0,65,22.0,11.0,27,35,14.0,44.0,44543.0,79,84.9,0.8,0.5,5.1,92.3,27166,25.0,10.0,75,28.0,23.0,,9,1,6.8,22,,low,low,Yes,No
37011,NC,Avery,77.5,4.3,4.8,87.0,56,24.0,0.0,29,36,5.0,80.0,50800.0,78,88.8,4.5,0.7,5.0,88.4,17571,18.0,,75,20.0,15.0,,15,1,6.5,23,,low,low,Yes,No
37013,NC,Beaufort,75.9,4.3,4.8,83.0,62,29.0,9.0,29,39,22.0,76.0,50253.0,72,65.6,23.5,0.6,8.4,66.2,47073,61.0,43.0,74,26.0,43.0,,15,1,6.6,21,,low,low,Yes,No
37015,NC,Bertie,75.6,4.7,5.0,78.0,47,32.0,24.0,35,43,3.0,10.0,41889.0,71,83.2,60.9,0.7,2.3,34.5,18712,43.0,10.0,61,32.0,16.0,,21,0,6.8,25,,low,low,Yes,Yes
37017,NC,Bladen,74.7,4.8,5.1,91.0,55,36.0,7.0,33,39,7.0,26.0,43664.0,72,91.2,33.0,0.4,7.8,55.0,32911,93.0,35.0,77,31.0,35.0,,18,2,6.7,24,10.0,low,low,Yes,No
37019,NC,Brunswick,79.2,3.7,4.5,85.0,61,20.0,9.0,25,35,63.0,147.0,64371.0,81,43.0,9.4,0.8,5.0,82.6,149039,151.0,111.0,88,26.0,85.0,,16,1,6.0,19,8.0,high,high,No,No
37021,NC,Buncombe,78.4,3.7,4.4,87.0,73,17.0,10.0,23,31,369.0,1885.0,66156.0,63,24.1,5.9,1.5,7.0,83.2,263477,221.0,308.0,82,17.0,179.0,,15,2,6.6,17,6.0,high,high,No,No
37023,NC,Burke,76.5,4.4,4.9,90.0,54,30.0,10.0,29,37,54.0,265.0,48729.0,75,42.7,6.5,3.7,6.6,81.2,90418,99.0,86.0,75,29.0,62.0,,13,1,8.2,23,17.0,low,low,No,No
