FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
34001,NJ,Atlantic,76.7,4.3,4.7,91.0,62,19.0,8.0,31,41,211.0,488.0,61377.0,67,12.7,14.6,8.1,19.7,55.6,262945,219.0,466.0,85,15.0,119.0,33.0,23,6,6.8,18,6.0,high,high,No,No
34003,NJ,Bergen,82.1,3.3,4.0,95.0,80,7.0,1.0,25,36,1115.0,2592.0,107114.0,65,0.1,5.5,17.2,21.5,54.3,930394,279.0,491.0,91,4.0,93.0,7.0,21,7,11.1,13,3.0,high,high,No,No
34005,NJ,Burlington,79.1,4.0,4.5,94.0,73,7.0,5.0,25,37,386.0,3927.0,92471.0,75,6.7,17.0,5.6,8.9,65.8,446596,267.0,499.0,91,8.0,124.0,18.0,15,2,9.3,16,6.0,high,high,No,No
34007,NJ,Camden,76.7,4.2,4.6,87.0,68,16.0,4.0,30,41,518.0,1779.0,71718.0,66,1.6,18.7,6.1,18.1,55.1,506809,325.0,862.0,86,18.0,203.0,25.0,20,4,10.6,18,7.0,high,high,No,No
34009,NJ,Cape May,76.9,4.2,4.5,89.0,66,16.0,9.0,25,39,54.0,110.0,75829.0,78,17.5,4.0,1.0,8.3,84.9,91546,83.0,156.0,87,16.0,21.0,33.0,20,1,7.4,18,8.0,high,high,No,No
34011,NJ,Cumberland,74.6,5.3,4.9,87.0,41,18.0,12.0,36,43,65.0,160.0,60352.0,66,23.0,18.6,1.5,32.5,44.7,147008,186.0,264.0,82,32.0,69.0,30.0,23,8,8.8,23,18.0,high,high,No,Yes
34013,NJ,Essex,78.0,4.3,4.4,86.0,64,18.0,1.0,30,41,675.0,1933.0,65528.0,44,0.0,38.5,6.1,24.0,29.9,800501,327.0,901.0,83,18.0,433.0,17.0,28,8,8.7,16,8.0,high,high,No,Yes
34015,NJ,Gloucester,77.2,3.9,4.5,93.0,73,8.0,6.0,26,39,166.0,399.0,87220.0,80,8.3,10.5,3.2,7.0,77.2,293245,211.0,475.0,90,8.0,69.0,17.0,15,1,7.0,17,4.0,high,high,No,No
34017,NJ,Hudson,80.5,4.1,4.3,84.0,74,19.0,0.0,29,38,365.0,521.0,77323.0,32,0.0,10.7,16.9,42.1,28.9,671666,199.0,462.0,88,17.0,124.0,24.0,27,13,9.3,15,8.0,high,high,No,Yes
34019,NJ,Hunterdon,83.2,3.4,4.0,95.0,81,4.0,3.0,20,34,153.0,330.0,113611.0,84,49.6,2.7,4.6,7.4,83.9,124797,48.0,50.0,92,2.0,35.0,4.0,14,1,7.9,13,6.0,high,high,No,No
34021,NJ,Mercer,79.3,3.8,4.3,88.0,66,13.0,4.0,28,39,368.0,1311.0,87581.0,64,3.5,19.5,12.3,18.9,47.3,367239,173.0,349.0,85,14.0,152.0,19.0,18,6,7.8,15,5.0,high,high,No,Yes
34023,NJ,Middlesex,80.6,3.7,3.8,92.0,75,8.0,4.0,26,37,796.0,1680.0,95610.0,64,0.7,10.0,25.5,22.2,40.8,822736,306.0,622.0,88,8.0,108.0,9.0,20,6,8.1,13,4.0,high,high,No,Yes
34025,NJ,Monmouth,79.8,3.6,4.2,95.0,78,6.0,5.0,23,37,740.0,1884.0,104219.0,74,3.7,6.7,5.7,11.2,75.0,618381,275.0,574.0,91,5.0,100.0,9.0,19,2,8.5,15,3.0,high,high,No,No
34027,NJ,Morris,81.8,3.4,3.9,95.0,82,5.0,4.0,21,35,508.0,1488.0,114103.0,74,6.8,3.4,11.2,14.0,69.8,491087,140.0,291.0,93,3.0,57.0,6.0,15,4,5.9,12,4.0,high,high,No,No
34029,NJ,Ocean,78.5,4.1,4.8,92.0,69,18.0,9.0,27,38,254.0,1087.0,78181.0,80,2.9,3.2,2.0,9.6,84.0,614237,335.0,680.0,84,8.0,110.0,13.0,19,1,6.4,18,4.0,high,high,No,No
