FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
53001,WA,Adams,80.0,5.3,4.7,80.0,32,17.0,23.0,33,33,9.0,35.0,56421.0,61,40.2,0.6,1.3,65.2,32.1,20027,29.0,,80,40.0,,41.0,22,15,10.5,17,,high,low,No,Yes
53003,WA,Asotin,78.2,4.4,4.9,85.0,62,19.0,5.0,21,33,17.0,94.0,53377.0,72,6.7,0.7,1.0,4.5,89.4,22820,14.0,,84,27.0,22.0,50.0,11,1,8.9,19,28.0,low,low,No,No
53005,WA,Benton,79.9,4.0,4.3,80.0,67,12.0,5.0,24,33,146.0,627.0,75882.0,69,10.6,1.4,3.4,23.3,68.7,206426,122.0,105.0,88,21.0,108.0,45.0,14,4,10.7,15,6.0,high,high,No,No
53007,WA,Chelan,80.3,4.2,4.4,87.0,56,12.0,5.0,22,30,89.0,352.0,61546.0,63,27.2,0.5,1.3,28.4,67.4,77574,47.0,28.0,85,23.0,43.0,27.0,14,7,9.8,15,7.0,high,high,No,No
53009,WA,Clallam,78.7,4.2,4.7,84.0,59,19.0,13.0,21,35,72.0,297.0,54712.0,71,35.5,0.9,2.0,7.1,81.8,78067,67.0,55.0,86,21.0,73.0,47.0,17,1,6.1,17,6.0,low,low,No,No
53011,WA,Clark,79.6,3.8,4.3,87.0,68,10.0,4.0,18,32,368.0,1923.0,76929.0,67,13.8,2.2,5.2,10.7,76.7,496865,273.0,239.0,91,14.0,245.0,23.0,15,3,7.3,13,7.0,high,high,No,No
53013,WA,Columbia,79.0,4.3,4.7,,86,18.0,14.0,22,32,3.0,13.0,58220.0,72,34.3,0.7,1.4,8.5,83.6,4048,,,78,15.0,,,11,2,7.5,18,,high,low,No,No
53015,WA,Cowlitz,77.3,4.4,4.8,85.0,59,15.0,9.0,22,37,68.0,532.0,64357.0,66,28.7,0.9,1.6,9.5,82.9,111371,72.0,65.0,86,24.0,82.0,37.0,17,1,7.5,20,10.0,high,high,No,No
53017,WA,Douglas,82.4,4.3,4.4,82.0,54,14.0,15.0,24,34,9.0,29.0,64768.0,68,26.6,0.5,1.3,32.7,62.8,43560,24.0,,83,21.0,22.0,27.0,15,8,10.4,16,,high,high,No,No
53019,WA,Ferry,77.8,5.0,5.3,,49,28.0,25.0,24,37,6.0,19.0,47722.0,76,100.0,0.6,1.2,5.0,73.2,7759,17.0,,67,32.0,10.0,62.0,19,2,9.4,22,,low,low,Yes,No
53021,WA,Franklin,80.3,4.6,4.4,79.0,53,16.0,9.0,26,35,21.0,132.0,73656.0,69,13.3,2.0,2.5,53.7,39.7,97075,52.0,32.0,89,30.0,38.0,38.0,20,14,10.7,15,7.0,high,high,No,Yes
53023,WA,Garfield,78.1,4.0,4.5,,70,16.0,4.0,22,34,2.0,1.0,56804.0,76,100.0,0.2,3.9,5.3,87.6,2290,,,81,,,,11,0,7.7,16,,high,low,Yes,No
53025,WA,Grant,78.7,4.7,4.6,84.0,50,19.0,11.0,29,32,41.0,233.0,54753.0,65,38.7,0.9,1.2,42.7,52.7,99377,115.0,45.0,85,33.0,58.0,51.0,15,10,11.3,17,7.0,low,low,No,No
53027,WA,Grays Harbor,76.7,4.5,4.8,80.0,52,19.0,5.0,23,36,25.0,288.0,54034.0,69,40.1,1.3,1.5,10.7,78.7,75950,60.0,51.0,86,23.0,58.0,51.0,16,2,6.6,19,16.0,low,low,No,No
53029,WA,Island,81.4,3.6,4.2,90.0,71,8.0,5.0,19,34,35.0,257.0,76965.0,71,46.9,3.1,5.0,8.5,78.1,86014,54.0,27.0,93,12.0,50.0,16.0,15,1,7.3,14,12.0,high,high,No,No
53031,WA,Jefferson,80.9,3.7,4.3,86.0,67,17.0,7.0,16,30,28.0,141.0,66386.0,78,57.5,1.0,2.0,4.0,87.9,32700,26.0,22.0,88,8.0,30.0,22.0,14,1,6.3,14,20.0,high,high,No,No
53033,WA,King,82.3,3.2,3.7,86.0,82,8.0,2.0,16,30,2722.0,11671.0,102620.0,56,3.2,6.7,20.4,10.1,57.0,2274315,819.0,1277.0,93,8.0,896.0,,18,5,9.4,10,5.0,high,high,No,No
53035,WA,Kitsap,80.1,3.7,4.2,85.0,73,10.0,8.0,19,34,185.0,1079.0,76814.0,68,16.7,2.9,5.4,8.5,75.6,272787,137.0,124.0,93,14.0,143.0,20.0,15,1,4.6,15,8.0,high,high,No,No
53037,WA,Kittitas,81.3,4.2,4.6,91.0,71,11.0,10.0,20,32,28.0,89.0,64727.0,60,40.1,1.0,2.1,9.5,83.4,49204,28.0,16.0,86,6.0,26.0,33.0,21,0,7.2,16,,high,high,No,No
53039,WA,Klickitat,81.5,4.3,4.6,86.0,65,17.0,5.0,22,30,13.0,43.0,57476.0,71,60.2,0.4,0.9,11.8,82.3,22697,22.0,13.0,82,19.0,15.0,38.0,17,3,7.9,17,,high,low,Yes,No
53041,WA,Lewis,77.0,4.5,4.8,88.0,59,16.0,6.0,22,33,36.0,389.0,54578.0,70,60.7,0.8,1.2,10.9,82.5,82109,75.0,50.0,81,28.0,69.0,52.0,17,2,8.1,19,7.0,low,low,Yes,No
53043,WA,Lincoln,80.8,4.2,4.7,,71,15.0,12.0,22,33,4.0,14.0,61332.0,78,100.0,0.6,0.6,3.6,90.5,11090,19.0,,85,17.0,,31.0,9,1,10.3,17,,high,low,Yes,No
53045,WA,Mason,79.2,4.4,4.8,78.0,49,18.0,6.0,24,35,16.0,178.0,63785.0,77,63.7,1.4,1.4,10.8,79.3,68224,63.0,47.0,88,30.0,60.0,18.0,16,2,7.0,19,8.0,high,high,Yes,No
53047,WA,Okanogan,78.1,4.9,4.9,86.0,51,31.0,5.0,24,34,32.0,123.0,48979.0,66,80.0,0.7,1.1,21.1,64.4,42620,56.0,28.0,80,34.0,33.0,45.0,16,5,12.2,20,12.0,low,low,Yes,No
53049,WA,Pacific,78.2,4.5,4.8,89.0,53,18.0,4.0,23,34,5.0,96.0,53319.0,82,64.8,0.8,2.1,10.4,81.3,22984,19.0,11.0,87,22.0,15.0,46.0,12,2,6.4,18,,low,low,Yes,No
53051,WA,Pend Oreille,76.7,4.4,4.9,83.0,46,24.0,10.0,22,35,6.0,33.0,57212.0,77,83.1,0.7,1.1,4.6,87.9,14144,21.0,,75,23.0,,37.0,17,0,11.3,18,,high,low,Yes,No
53053,WA,Pierce,78.9,3.9,4.4,88.0,66,9.0,7.0,20,36,678.0,4823.0,80236.0,63,6.6,7.2,7.2,11.8,64.7,913890,552.0,551.0,90,17.0,571.0,26.0,17,2,8.5,17,8.0,high,high,No,No
53055,WA,San Juan,86.3,3.5,4.0,85.0,69,11.0,,16,29,14.0,79.0,74533.0,74,100.0,0.7,1.7,6.7,87.9,17492,10.0,,87,,,25.0,20,0,6.5,12,,high,high,Yes,No
53057,WA,Skagit,80.2,4.0,4.4,80.0,62,12.0,7.0,20,33,106.0,657.0,78798.0,70,29.0,0.8,2.4,19.1,73.5,130789,78.0,79.0,90,20.0,69.0,30.0,19,4,6.3,16,7.0,high,high,No,No
53059,WA,Skamania,82.6,4.1,4.6,78.0,59,14.0,1.0,22,34,,19.0,68501.0,79,100.0,0.6,1.1,7.1,86.3,12107,17.0,,81,16.0,,22.0,15,1,7.0,17,,high,high,Yes,No
53061,WA,Snohomish,80.3,3.6,4.1,88.0,71,8.0,3.0,19,34,425.0,3008.0,93589.0,68,10.8,3.7,12.6,11.0,66.9,830393,381.0,579.0,92,11.0,353.0,13.0,16,4,8.2,14,6.0,high,high,No,No
53063,WA,Spokane,78.3,4.1,4.6,88.0,72,15.0,5.0,20,32,466.0,2523.0,60827.0,63,13.7,1.9,2.4,6.4,83.6,528225,295.0,256.0,89,16.0,320.0,32.0,16,1,10.4,16,7.0,high,low,No,No
53065,WA,Stevens,79.5,4.5,4.9,83.0,54,20.0,13.0,22,36,34.0,189.0,50958.0,79,79.2,0.5,0.8,3.9,86.4,46360,65.0,15.0,78,19.0,37.0,33.0,15,1,11.2,19,7.0,low,low,Yes,No
53067,WA,Thurston,80.1,3.8,4.3,77.0,72,10.0,7.0,18,31,279.0,1263.0,79769.0,66,21.0,3.3,6.2,9.8,73.5,294074,161.0,126.0,90,15.0,162.0,27.0,15,1,7.9,14,9.0,high,high,No,No
53069,WA,Wahkiakum,78.8,4.1,4.6,,60,18.0,4.0,22,34,,15.0,62099.0,89,100.0,0.4,1.6,6.2,86.7,4498,,,81,,,,9,0,6.3,17,,high,high,Yes,No
53071,WA,Walla Walla,80.2,4.1,4.3,89.0,66,15.0,5.0,22,33,73.0,195.0,61281.0,64,17.1,1.9,1.9,22.0,70.8,61292,37.0,35.0,88,17.0,38.0,38.0,18,4,9.1,14,,high,low,No,No
53073,WA,Whatcom,81.0,4.0,4.4,85.0,72,11.0,7.0,19,29,210.0,1135.0,70463.0,62,25.9,1.1,4.8,10.1,77.8,231016,112.0,64.0,89,10.0,116.0,19.0,20,2,5.3,16,5.0,high,high,No,No
53075,WA,Whitman,80.6,4.4,4.7,91.0,86,11.0,10.0,20,29,30.0,83.0,52066.0,44,27.5,2.2,8.2,6.7,78.5,49500,22.0,11.0,85,2.0,24.0,18.0,24,2,9.9,14,,low,low,No,No
