FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
17001.0,Illinois,Adams,,3.6,3.4,90.0,61.9,17.0,80.0,29.8,,79.228641901,23.9,44555.0,,33.6,3.5,0.5,1.0,,66897.0,10.6,,,38.1,,,24.1,0.6,1.0,23.5,
17003.0,Illinois,Alexander,,,,75.0,44.3,44.6,66.7,29.3,,24.654832347,0.0,28725.0,,58.8,33.3,0.5,1.6,,8152.0,29.0,,,86.6,,,25.5,0.4,1.0,,
17005.0,Illinois,Bond,,5.7,5.3,80.0,59.0,16.1,40.0,27.5,,49.491339016,16.5,45930.0,,60.1,7.3,0.3,1.6,,18253.0,21.4,,,36.3,,,27.1,0.2,0.0,,
17007.0,Illinois,Boone,,3.1,4.7,70.0,48.3,11.3,60.0,24.8,,51.955763379,5.6,62531.0,,30.4,2.6,1.4,20.3,,54142.0,15.8,,,36.9,,,36.8,8.4,3.0,14.4,
17009.0,Illinois,Brown,,,,90.0,36.9,14.2,33.3,25.4,,0.0,15.2,42660.0,,41.8,19.4,0.2,4.5,,6573.0,25.4,,,44.8,,,20.3,1.6,1.0,,
17011.0,Illinois,Bureau,,3.5,2.1,80.0,53.2,15.2,73.3,27.1,,48.908196438,2.9,46891.0,,62.0,0.8,0.7,7.1,,34933.0,21.3,,,31.4,,,26.7,2.3,0.0,,
17013.0,Illinois,Calhoun,,,,100.0,61.4,13.8,62.5,27.5,,79.617834395,19.9,44146.0,,100.0,0.1,0.2,0.7,,5101.0,30.9,,,30.0,,,24.5,1.4,0.0,,
17015.0,Illinois,Carroll,,2.7,1.9,80.0,55.5,18.4,42.9,28.2,,37.95306471,0.0,45301.0,,79.0,1.0,0.5,2.5,,15841.0,17.7,,,35.0,,,24.7,2.2,2.0,,
17017.0,Illinois,Cass,,4.0,4.5,80.0,44.3,17.8,40.0,26.6,,7.3659398939,0.0,40561.0,,55.2,1.7,0.3,18.5,,13574.0,18.9,,,55.9,,,23.3,9.2,1.0,,
17019.0,Illinois,Champaign,,2.9,2.8,80.0,75.7,16.8,55.6,24.7,,129.15758258,53.2,45840.0,,15.8,12.0,7.7,4.3,,193636.0,10.2,,,21.5,,,38.2,4.6,1.0,17.6,
17021.0,Illinois,Christian,,4.4,2.6,85.0,55.3,19.4,66.7,26.3,,49.322540401,0.0,44711.0,,43.6,2.7,0.8,1.3,,34501.0,17.6,,,47.9,,,24.2,1.1,1.0,24.7,
17023.0,Illinois,Clark,,4.1,3.2,90.0,61.2,18.8,66.7,28.3,,29.783178461,0.0,48357.0,,58.3,0.6,0.2,0.8,,16834.0,21.2,,,39.8,,,22.5,0.3,1.0,,
17025.0,Illinois,Clay,,2.6,4.4,85.0,60.6,18.3,40.0,27.6,,36.595184074,0.0,39490.0,,66.0,0.6,0.9,1.2,,13767.0,17.4,,,53.0,,,25.2,0.7,1.0,,
17027.0,Illinois,Clinton,,3.5,2.1,90.0,63.5,9.7,40.0,26.7,,43.953628921,0.0,55683.0,,41.7,4.2,0.4,2.4,,36711.0,25.0,,,29.4,,,21.0,0.9,0.0,19.3,
17029.0,Illinois,Coles,,4.6,2.7,80.0,60.5,19.8,71.4,25.9,,59.488399762,23.0,38377.0,,24.0,3.3,1.0,2.0,,52172.0,16.1,,,24.6,,,37.4,1.2,1.0,13.7,
17031.0,Illinois,Cook,,3.4,3.3,65.0,64.3,21.5,7.900000000000006,23.1,,135.84555344,60.7,54559.0,,0.1,25.5,5.9,23.2,,5294664.0,9.3,,,49.8,,,44.0,15.2,5.0,20.6,
17033.0,Illinois,Crawford,,4.1,2.9,85.0,61.2,19.4,57.1,27.4,,46.355910379,0.0,42564.0,,59.3,5.1,0.4,2.1,,19555.0,18.7,,,41.9,,,22.6,3.2,1.0,,
17035.0,Illinois,Cumberland,,,,90.0,56.0,17.3,50.0,27.1,,9.256687957,9.3,45301.0,,100.0,0.6,0.2,1.0,,10846.0,14.4,,,31.6,,,21.1,0.5,2.0,,
17037.0,Illinois,DeKalb,,3.6,3.3,90.0,68.7,10.4,50.0,24.5,,33.801864736,28.2,55266.0,,22.7,6.4,2.7,9.8,,106321.0,16.6,,,17.1,,,41.7,4.9,2.0,18.9,
17039.0,Illinois,De Witt,,3.4,4.0,80.0,51.4,16.3,71.4,26.3,,49.164208456,0.0,47645.0,,51.6,1.1,0.5,1.8,,16354.0,14.7,,,38.1,,,18.8,0.7,0.0,,
17041.0,Illinois,Douglas,,4.1,2.3,90.0,51.3,13.4,25.0,27.1,,41.422875783,5.2,45359.0,,63.0,0.9,0.6,5.5,,19448.0,24.6,,,38.7,,,20.9,5.2,1.0,15.5,
17043.0,Illinois,DuPage,,2.5,2.8,100.0,75.1,7.3,15.799999999999997,17.8,,152.90354999,62.3,77040.0,,0.1,4.8,10.1,12.6,,930528.0,6.8,,,17.1,,,36.5,9.9,1.0,15.9,
17045.0,Illinois,Edgar,,4.4,4.4,90.0,52.2,19.4,66.7,26.9,,32.216494845,10.7,42522.0,,52.4,2.1,0.4,1.1,,18692.0,15.0,,,50.1,,,22.4,1.0,1.0,,
17047.0,Illinois,Edwards,,,,85.0,63.7,15.7,60.0,27.6,,0.0,0.0,41275.0,,100.0,0.2,0.4,0.8,,6501.0,40.5,,,30.0,,,19.1,0.2,2.0,,
17049.0,Illinois,Effingham,,2.6,2.7,85.0,65.2,15.1,50.0,25.6,,84.612242516,0.0,45192.0,,59.2,0.5,0.4,1.5,,34275.0,24.1,,,34.2,,,22.8,0.9,2.0,16.5,
17051.0,Illinois,Fayette,,2.7,4.8,85.0,48.6,22.7,37.5,28.7,,23.858376676,0.0,39534.0,,64.2,3.8,0.2,1.1,,20981.0,20.3,,,51.2,,,26.1,0.7,0.0,,
17053.0,Illinois,Ford,,1.8,1.6,85.0,56.7,14.8,62.5,25.9,,71.720576633,7.2,51313.0,,42.6,1.0,0.6,2.5,,14050.0,31.5,,,32.7,,,25.3,0.9,0.0,,
17055.0,Illinois,Franklin,,4.0,3.5,85.0,57.5,29.1,63.6,28.5,,48.360822643,2.5,34456.0,,46.6,0.8,0.3,1.0,,39488.0,23.4,,,50.0,,,25.7,0.3,0.0,26.9,
17057.0,Illinois,Fulton,,5.4,4.9,80.0,52.3,21.7,57.1,28.5,,32.685079261,5.4,40135.0,,53.9,4.0,0.3,1.5,,36719.0,19.9,,,43.6,,,24.7,1.9,0.0,26.6,
17059.0,Illinois,Gallatin,,,,80.0,51.4,27.7,83.3,27.0,,17.044486109,0.0,34580.0,,100.0,0.5,0.1,1.1,,5982.0,23.3,,,46.2,,,22.2,0.5,2.0,,
17061.0,Illinois,Greene,,4.4,3.4,80.0,47.4,21.6,50.0,28.4,,44.075516051,0.0,38678.0,,68.4,0.6,0.1,0.6,,13644.0,24.1,,,40.3,,,23.9,0.4,0.0,,
17063.0,Illinois,Grundy,,3.4,2.9,95.0,61.9,8.1,62.5,30.2,,41.662326841,6.2,60738.0,,38.5,2.2,0.8,8.4,,47958.0,15.7,,,29.9,,,28.2,2.2,1.0,21.0,
17065.0,Illinois,Hamilton,,,,85.0,48.4,22.9,75.0,28.3,,36.832412523,0.0,38115.0,,66.8,1.1,0.2,1.1,,8267.0,24.0,,,37.4,,,20.2,1.1,0.0,,
17067.0,Illinois,Hancock,,4.1,3.2,90.0,57.2,16.2,61.5,28.3,,53.899638872,0.0,41730.0,,71.5,0.7,0.3,0.9,,18691.0,23.0,,,38.3,,,21.5,1.4,1.0,,
17069.0,Illinois,Hardin,,,,95.0,55.2,31.4,66.7,26.3,,45.372050817,0.0,31547.0,,100.0,2.9,0.5,1.5,,4381.0,67.8,,,48.2,,,20.3,0.0,1.0,,
17071.0,Illinois,Henderson,,,,,52.3,19.4,71.4,25.7,,40.198311671,0.0,43252.0,,98.6,0.4,0.1,1.3,,7477.0,34.5,,,28.9,,,23.6,0.8,0.0,,
