FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
33001.0,New_Hampshire,Belknap,,3.4,3.6,90.0,57.2,11.9,42.9,22.3,,57.118610875,34.3,52380.0,,59.9,0.5,0.8,1.1,,61281.0,14.3,,,26.7,,,38.7,1.0,0.0,20.6,
33003.0,New_Hampshire,Carroll,,3.2,3.5,87.0,55.4,14.0,55.6,20.7,,68.628470417,27.0,51064.0,,100.0,0.4,0.7,0.8,,47408.0,22.3,,,19.5,,,35.2,0.2,0.0,20.1,
33005.0,New_Hampshire,Cheshire,,3.4,3.3,70.0,58.2,10.8,62.5,21.2,,71.260138374,67.4,53210.0,,65.9,0.8,0.9,1.4,,77170.0,10.3,,,17.1,,,34.8,1.0,0.0,19.8,
33007.0,New_Hampshire,Coos,,4.1,4.0,81.0,52.8,20.2,33.3,27.7,,106.5263026,31.3,42788.0,,65.6,0.4,0.6,1.0,,31971.0,17.0,,,34.1,,,31.7,2.8,0.0,24.4,
33009.0,New_Hampshire,Grafton,,3.1,3.0,91.0,63.4,11.6,45.5,18.4,,315.25997357,119.4,52872.0,,64.9,0.9,2.1,1.7,,85921.0,11.2,,,16.2,,,33.8,1.0,0.0,18.2,
33011.0,New_Hampshire,Hillsborough,,3.2,3.1,87.0,67.4,9.4,35.3,22.2,,89.340071373,34.9,68613.0,,21.9,2.5,3.2,5.3,,402042.0,9.5,,,22.2,,,38.9,4.6,1.0,18.6,
33013.0,New_Hampshire,Merrimack,,2.9,2.8,83.0,65.0,10.0,50.0,19.8,,128.87722431,66.5,64885.0,,53.5,1.0,1.3,1.5,,148161.0,10.2,,,19.9,,,39.2,1.5,0.0,16.9,
33015.0,New_Hampshire,Rockingham,,3.1,3.2,88.0,70.0,5.3,50.0,20.2,,78.101431301,42.2,75425.0,,29.5,0.9,1.7,2.2,,297350.0,9.1,,,12.5,,,39.3,1.8,1.0,18.6,
33017.0,New_Hampshire,Strafford,,3.7,3.7,84.0,64.4,11.5,47.1,22.7,,78.901560136,48.8,60230.0,,34.9,1.1,2.1,1.6,,121914.0,10.9,,,18.7,,,38.6,2.0,0.0,21.5,
33019.0,New_Hampshire,Sullivan,,3.5,3.6,100.0,49.9,13.4,71.4,23.2,,91.093826641,42.0,51426.0,,63.0,0.4,0.6,1.0,,42591.0,17.4,,,38.1,,,35.7,0.7,0.0,21.6,
