FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
51001.0,Virginia,Accomack,,3.4,3.7,70.0,41.2,29.7,77.8,29.8,,26.04505795,7.8,37564.0,,80.8,28.3,0.3,9.9,,38180.0,33.4,,,66.8,,,30.5,5.8,1.0,23.7,
51003.0,Virginia,Albemarle,,2.4,2.5,75.0,75.8,8.3,58.3,19.0,,215.30009439,185.6,66606.0,,48.2,9.8,5.0,3.9,,94075.0,12.7,,,14.5,,,33.3,4.3,0.0,14.2,
51005.0,Virginia,Alleghany,,3.7,4.4,80.0,58.6,17.9,0.0,27.0,,79.661743979,6.1,42341.0,,70.5,5.6,0.4,0.8,,16202.0,14.6,,,45.8,,,20.4,0.8,0.0,21.8,
51007.0,Virginia,Amelia,,4.4,5.1,80.0,31.9,13.1,50.0,25.1,,7.7936248149,0.0,49180.0,,100.0,23.3,0.3,1.1,,12808.0,27.5,,,46.8,,,28.7,2.1,2.0,29.4,
51009.0,Virginia,Amherst,,4.2,3.1,75.0,49.9,17.4,0.0,25.9,,24.654072545,12.3,44966.0,,63.0,19.2,0.4,1.5,,32539.0,12.1,,,27.6,,,21.1,1.0,0.0,18.3,
51011.0,Virginia,Appomattox,,3.5,2.0,65.0,41.5,20.0,33.3,25.1,,13.765572304,13.8,43529.0,,100.0,21.7,0.2,0.9,,14501.0,31.0,,,47.1,,,20.0,0.8,0.0,,
51013.0,Virginia,Arlington,,2.5,2.4,75.0,86.0,8.8,18.200000000000003,17.5,,119.88810444,79.0,97871.0,,0.0,8.4,8.6,17.1,,209969.0,5.7,,,25.8,,,31.9,9.9,2.0,12.1,
51015.0,Virginia,Augusta,,2.8,3.2,80.0,41.2,10.8,52.9,26.2,,51.532751153,27.9,52341.0,,77.8,4.7,0.4,2.0,,71250.0,20.7,,,38.2,,,26.5,0.7,0.0,19.7,
51017.0,Virginia,Bath,,,,80.0,32.4,12.3,75.0,24.9,,65.6167979,21.9,42446.0,,100.0,7.7,0.4,0.4,,4544.0,41.3,,,,,,22.3,0.3,0.0,,
51019.0,Virginia,Bedford,,4.1,3.8,80.0,58.2,10.3,63.6,24.1,,61.686601971,30.1,54715.0,,85.2,6.8,0.8,1.3,,66831.0,19.4,,,27.2,,,23.3,1.0,0.0,19.9,
