FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
2013.0,Alaska,Aleutians East,,3.1,4.0,65.8,38.901734104,16.4,,28.8,,,0.0,47077.0,,100.0,1.9,35.3,15.1,,1730.0,,,,,,,15.730337079,68.924523085,,,
2016.0,Alaska,Aleutians West,,1.5,2.0,64.8,42.313915858,11.0,,22.6,,43.440486533,0.0,58517.0,,43.3,3.6,27.3,14.5,,2472.0,,,,,,,18.426103647,48.99427637,,30.0,
2020.0,Alaska,Anchorage,,3.4,3.0,75.1,69.86492724,12.2,,22.0,,111.95453362,48.5,70524.0,,3.9,6.9,7.3,8.5,,82326.0,11.946326712,,,40.2,,,34.410199875,6.3612265204,,17.9,
2050.0,Alaska,Bethel,,3.4,2.9,49.3,39.447592068,30.2,,28.2,,87.13331397,5.8,45481.0,,72.3,1.0,1.4,2.5,,4236.0,18.417593825,,,72.4,,,16.103472384,34.85964563,,33.4,
2060.0,Alaska,Bristol Bay,,1.6,1.8,100.0,69.090909091,9.1,,24.2,,0.0,0.0,62912.0,,100.0,0.8,0.9,1.9,,165.0,,,,,,,14.146341463,0.4166666667,,26.4,
2068.0,Alaska,Denali,,2.5,2.2,,75.667655786,6.7,,21.2,,,0.0,61004.0,,100.0,1.6,2.1,6.8,,337.0,,,,,,,18.457943925,0.8395522388,,21.5,
2070.0,Alaska,Dillingham,,2.5,2.3,58.8,51.154201293,29.5,,27.9,,203.0044661,20.3,46845.0,,100.0,0.4,0.7,3.3,,1083.0,,,,55.7,,,14.84375,14.055404178,,40.3,
2090.0,Alaska,Fairbanks North Star,,3.5,2.9,60.6,67.047355787,12.5,,23.1,,68.123354109,23.4,60472.0,,30.4,6.4,2.7,6.8,,27494.0,14.360319565,,,40.7,,,31.338883108,2.6492352664,,21.1,
2100.0,Alaska,Haines,,3.2,2.6,77.9,59.498207885,19.5,,20.5,,257.84271594,0.0,46111.0,,100.0,0.3,0.7,1.4,,279.0,,,,,,,31.720430108,0.0,,17.7,
2110.0,Alaska,Juneau,,3.3,2.9,64.1,71.813581264,10.0,,17.7,,132.29647317,38.7,69844.0,,17.9,1.1,5.8,5.1,,8497.0,7.8537175803,,,28.3,,,32.403165348,3.8859658173,,18.9,
2122.0,Alaska,Kenai Peninsula,,3.6,3.2,78.5,58.23042051,14.4,,23.6,,70.828129951,24.2,57347.0,,84.2,0.7,1.2,3.1,,12794.0,22.508056237,,,29.3,,,27.700309375,1.3552911512,,21.1,
2130.0,Alaska,Ketchikan Gateway,,3.6,3.3,77.1,63.672316384,14.8,,28.0,,114.67013225,22.9,58073.0,,24.1,1.1,5.7,3.9,,3540.0,,,,33.3,,,31.817374312,3.6383946382,,24.5,
2150.0,Alaska,Kodiak Island,,2.7,2.0,86.4,65.359477124,10.3,,20.8,,98.709187547,15.2,59847.0,,22.6,1.7,17.4,8.8,,3672.0,,,,33.1,,,33.159446587,10.720432751,,20.5,
2164.0,Alaska,Lake and Peninsula,,1.5,1.9,,56.5,25.3,,30.5,,,0.0,39794.0,,100.0,0.1,1.0,2.0,,200.0,,,,47.0,,,24.593495935,2.9624277457,,,
2170.0,Alaska,Matanuska-Susitna,,3.9,3.4,76.4,60.584983057,14.1,,24.1,,48.054946729,12.9,68670.0,,64.5,1.4,1.1,3.8,,22428.0,19.608989213,,,31.4,,,33.915738565,1.3537162858,,27.8,
2180.0,Alaska,Nome,,3.4,2.7,67.9,41.780821918,30.7,,23.7,,64.336264208,21.4,43147.0,,67.9,0.6,1.3,2.4,,2336.0,33.895171479,,,88.3,,,19.346453769,7.9481330292,,44.6,
2185.0,Alaska,North Slope,,3.7,1.4,69.3,31.912964642,13.2,,32.6,,59.479553903,0.0,68744.0,,41.5,1.2,7.9,8.6,,2206.0,37.351372663,,,99.2,,,10.829959514,15.218464577,,44.0,
2188.0,Alaska,Northwest Arctic,,4.0,2.1,55.9,36.58008658,21.9,,31.5,,40.176777822,0.0,49466.0,,57.4,0.7,1.0,6.2,,1848.0,21.022054046,,,89.4,,,20.366259711,8.9322994333,,48.2,
2201.0,Alaska,Prince of Wales-Outer Ketchikan,,4.1,3.0,55.9,47.479912345,23.9,,24.8,,54.200542005,0.0,40756.0,,100.0,0.2,0.4,3.0,,1369.0,,,,43.5,,,19.782062028,1.4007782101,,34.0,
2220.0,Alaska,Sitka,,3.5,3.0,96.4,67.469879518,11.8,,19.5,,218.11502698,80.4,58000.0,,17.1,0.4,5.4,5.3,,2407.0,,,,28.6,,,32.662912309,4.2803895635,,21.1,
2232.0,Alaska,Skagway-Hoonah-Angoon,,3.2,2.5,44.9,65.379825654,24.572881356,,24.8,,,0.0,44289.955366,,100.0,0.2,0.5,4.1,,803.0,,,,,,,20.935251799,4.1834002677,,26.5,
2240.0,Alaska,Southeast Fairbanks,,4.0,2.4,45.2,59.049360146,21.7,,25.3,,29.308323564,0.0,54508.0,,100.0,2.4,0.7,4.5,,1641.0,33.751096911,,,33.6,,,16.177062374,2.25281602,,22.8,
2261.0,Alaska,Valdez-Cordova,,4.1,3.5,71.8,73.266499582,11.2,,25.1,,75.010715817,10.7,60297.0,,100.0,0.5,5.4,4.5,,2394.0,18.936083435,,,22.5,,,21.086018777,1.9057171515,,23.7,
2270.0,Alaska,Wade Hampton,,5.0,3.7,59.6,30.609756098,46.0,,27.6,,,0.0,30883.0,,100.0,0.3,0.1,2.0,,1640.0,19.033117625,,,98.2,,,13.078703704,12.033639144,,36.1,
2280.0,Alaska,Wrangell-Petersburg,,4.3,3.1,78.6,63.597733711,17.407594937,,24.9,,166.63889352,0.0,46212.586824,,57.9,0.2,2.0,4.0,,1412.0,,,,23.4,,,21.722113503,2.2256462934,,23.2,
2282.0,Alaska,Yakutat,,3.1,4.0,63.2,74.666666667,22.6,,23.5,,0.0,0.0,49331.0,,100.0,0.1,1.9,1.2,,150.0,,,,,,,16.73151751,1.5100671141,,17.1,
2290.0,Alaska,Yukon-Koyukuk,,3.9,2.2,100.0,45.596258769,34.9,,26.5,,,0.0,35177.0,,100.0,0.4,0.4,2.5,,1283.0,40.512254957,,,54.8,,,21.9558063,4.9713193117,,41.0,
