FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
20001.0,Kansas,Allen,,3.4,2.9,88.1,60.992907801,26.4,4.24,27.6,,15.073861923,0.0,39662.0,,55.7,2.1,0.4,2.6,,2961.0,35.311101187,,,53.4,,,18.349775785,0.1185302252,0.0,18.9,
20003.0,Kansas,Anderson,,2.9,3.7,88.1,47.957470621,21.7,8.34,27.4,,25.131942699,0.0,41054.0,,58.3,0.7,0.3,1.6,,1787.0,29.997706058,,,40.9,,,25.501882058,0.9317183549,0.0,15.3,
20005.0,Kansas,Atchison,,2.9,2.8,77.0,51.08845412,20.0,2.98,30.5,,67.179675095,0.0,41659.0,,37.7,6.0,0.4,2.3,,3629.0,17.112592301,,,42.1,,,23.295819936,0.0758581453,0.0,25.6,
20007.0,Kansas,Barber,,2.2,1.9,98.7,70.37793667,19.4,3.0,34.8,,21.682567216,0.0,42565.0,,100.0,0.5,0.1,2.7,,979.0,52.158794552,,,28.9,,,18.489583333,0.7577397705,0.0,22.2,
20009.0,Kansas,Barton,,3.6,3.0,88.9,57.080900751,20.1,3.45,27.8,,72.714051991,3.6,43675.0,,33.5,1.7,0.3,12.9,,5995.0,17.556179775,,,44.3,,,17.390167364,5.7586516328,0.0,18.9,
20011.0,Kansas,Bourbon,,4.8,4.2,81.2,67.245581962,25.7,5.71,27.3,,67.204301075,0.0,37192.0,,49.2,3.4,0.4,1.7,,3282.0,28.592123823,,,69.3,,,23.967083833,0.4130171616,0.0,20.5,
20013.0,Kansas,Brown,,3.3,1.9,86.5,48.768014877,27.1,1.56,30.8,,110.13215859,0.0,40464.0,,67.9,1.8,0.5,3.6,,2151.0,30.616363054,,,54.6,,,22.647058824,1.3600342686,0.0,23.1,
20015.0,Kansas,Butler,,2.9,3.2,94.0,71.100185173,12.0,12.19,24.3,,55.159805837,3.2,55182.0,,44.3,2.0,0.6,3.1,,15661.0,19.054309373,,,33.1,,,24.917663735,0.9876135425,0.0,18.1,
20017.0,Kansas,Chase,,1.7,1.4,90.3,63.986599665,18.8,32.03,24.0,,,0.0,39683.0,,100.0,1.5,0.2,3.4,,597.0,,,,44.0,,,22.553191489,2.5112443778,1.0,,
20019.0,Kansas,Chautauqua,,2.3,3.1,87.2,53.305203938,25.2,11.2,26.8,,,0.0,34772.0,,100.0,0.4,0.1,2.7,,711.0,,,,33.6,,,18.404118404,2.0258863253,0.0,27.6,
