FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001.0,Maryland,Allegany,,4.4,3.9,86.3,50.168790156,23.9,17.22,32.2,,78.449723362,44.0,37083.0,,25.9,6.7,0.6,1.1,,18366.0,14.423714145,,,35.4,,,27.511554366,0.7479651979,0.0,24.2,
24003.0,Maryland,Anne Arundel,,3.1,3.4,82.0,69.597669762,8.8,4.9,20.2,,84.994411326,42.5,80908.0,,5.6,15.7,3.2,4.9,,148311.0,11.757436508,,,26.3,,,34.482318787,3.5552581688,3.0,16.5,
24005.0,Maryland,Baltimore,,3.3,3.6,80.0,68.37178265,11.0,3.56,27.6,,148.8989846,82.3,62300.0,,6.2,25.7,4.3,3.3,,209800.0,10.572615793,,,27.1,,,35.280247954,4.7165168536,7.0,18.2,
24009.0,Maryland,Calvert,,3.5,3.4,91.0,63.401257413,7.9,10.88,23.2,,55.329719964,19.2,86536.0,,45.8,14.7,1.3,2.7,,22427.0,20.656377037,,,23.5,,,35.143337842,1.0313013235,0.0,20.4,
24011.0,Maryland,Caroline,,3.9,4.2,76.5,45.353955979,19.2,0.0,29.9,,24.03918387,0.0,55480.0,,78.3,14.2,0.8,5.9,,8405.0,33.227663377,,,53.5,,,37.461954684,3.5742340927,2.0,23.7,
24013.0,Maryland,Carroll,,3.3,3.1,90.3,67.356764564,6.9,7.87,21.3,,58.894896168,31.2,80291.0,,43.0,4.1,1.7,2.0,,41540.0,15.526285315,,,20.0,,,32.114724298,1.6486304759,0.0,19.6,
24015.0,Maryland,Cecil,,3.9,4.1,79.7,55.629188384,14.6,15.35,28.3,,37.018879629,15.0,61506.0,,52.4,6.1,1.1,2.6,,26860.0,21.760691605,,,40.6,,,33.417168758,1.7542735727,1.0,24.4,
24017.0,Maryland,Charles,,3.1,2.8,84.5,66.676265899,8.5,8.83,24.4,,47.368569893,7.8,83078.0,,33.7,40.1,2.6,3.9,,41670.0,18.991132602,,,29.4,,,37.071626117,1.786937487,0.0,16.4,
24019.0,Maryland,Dorchester,,3.1,2.8,77.8,43.478837734,25.8,2.48,31.4,,68.713495955,46.9,39630.0,,59.1,27.8,1.0,2.5,,7537.0,15.535684096,,,61.5,,,39.342174271,1.8620187856,0.0,20.1,
24021.0,Maryland,Frederick,,2.8,3.2,91.0,70.605775267,7.7,5.85,21.9,,64.893499614,31.3,80216.0,,28.6,9.2,3.7,6.3,,63720.0,11.534664273,,,23.3,,,33.352105925,3.9534155247,2.0,16.7,
24023.0,Maryland,Garrett,,3.7,3.7,92.0,51.568682872,24.4,0.17,31.0,,40.461258345,10.1,43637.0,,83.1,0.9,0.3,0.6,,7076.0,27.253949432,,,30.9,,,27.67014002,1.0243816874,0.0,19.6,
24025.0,Maryland,Harford,,3.4,3.8,84.6,71.920829112,9.3,5.82,25.0,,73.324412887,29.0,71848.0,,22.3,12.6,2.2,2.9,,64165.0,12.737799934,,,22.6,,,31.781125239,2.2431688109,4.0,19.9,
24027.0,Maryland,Howard,,2.5,2.6,88.6,83.363688467,6.0,2.48,17.5,,216.09960063,138.2,100992.0,,12.6,17.8,12.4,5.4,,78515.0,6.4303794508,,,13.1,,,31.812537278,7.7973334555,0.0,9.5,
24029.0,Maryland,Kent,,4.1,3.4,83.2,52.59222333,20.4,0.08,27.4,,118.4074202,44.4,49017.0,,73.9,16.0,0.7,3.5,,4012.0,20.159112999,,,28.3,,,35.746606335,3.6398868755,1.0,19.4,
24031.0,Maryland,Montgomery,,2.6,2.6,85.0,77.257711709,9.4,1.78,16.6,,185.17644715,128.8,88559.0,,2.8,17.5,13.9,16.1,,268812.0,6.8700636821,,,19.9,,,37.60975375,15.234916037,0.0,8.7,
24033.0,Maryland,Prince George's,,3.0,3.0,73.3,58.314839269,12.3,4.53,24.6,,76.699489714,20.1,69524.0,,2.6,65.6,4.0,13.5,,253685.0,15.772851795,,,37.6,,,44.066033799,8.6615846604,4.0,15.3,
24035.0,Maryland,Queen Anne's,,2.8,2.6,87.1,62.806216525,10.1,14.4,24.1,,31.602233224,27.4,78503.0,,60.2,8.3,1.1,2.2,,11389.0,15.746246095,,,22.9,,,33.599022574,1.9271222094,1.0,18.2,
24037.0,Maryland,St. Mary's,,3.3,3.0,80.2,64.939121792,11.0,0.02,23.3,,45.247088448,17.7,81559.0,,62.2,15.0,2.4,3.0,,28171.0,16.443299504,,,35.4,,,32.689708438,1.9166561008,0.0,21.0,
24039.0,Maryland,Somerset,,3.0,4.7,80.1,33.490494297,29.3,27.17,32.2,,49.749339865,7.7,38134.0,,51.6,41.3,0.9,2.7,,6575.0,10.519380575,,,32.2,,,36.711901045,2.7835215524,0.0,27.6,
24041.0,Maryland,Talbot,,3.1,3.3,86.9,60.580859775,14.9,0.0,22.6,,121.84315463,47.1,56806.0,,63.0,13.6,0.9,3.6,,7816.0,17.331511509,,,36.0,,,34.506184708,1.925729891,0.0,13.1,
24043.0,Maryland,Washington,,3.5,3.7,88.3,52.811368618,16.8,10.49,28.2,,66.002062564,15.8,51610.0,,31.7,9.8,1.5,2.9,,40603.0,15.50456726,,,50.2,,,32.250672152,2.0470434023,1.0,22.9,
24045.0,Maryland,Wicomico,,3.4,3.3,79.2,56.552558062,23.1,14.58,28.0,,92.692229834,26.6,47702.0,,31.5,24.0,1.9,3.8,,23983.0,18.497731261,,,43.9,,,37.964850421,4.7283458498,2.0,21.1,
24047.0,Maryland,Worcester,,3.1,3.3,90.2,62.019097061,20.3,0.0,25.1,,61.01405357,14.2,55492.0,,36.6,14.8,0.9,2.8,,10787.0,17.177528299,,,35.2,,,35.70130814,2.3459749626,2.0,18.5,
24510.0,Maryland,Baltimore City,,3.6,4.1,60.6,56.02136659,34.3,0.77,30.5,,191.66545211,71.0,38186.0,,0.0,63.2,2.0,3.0,,178971.0,9.9885491632,,,69.2,,,44.164653176,3.6563156505,12.0,26.7,
