FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
30001.0,Montana,Beaverhead,,3.4,2.9,79.4,67.307692308,25.3,10.42,20.9,,100.22271715,11.1,35952.0,,53.2,0.5,0.3,3.7,,1768.0,37.099167688,,,21.5,,,28.917815212,2.0048392672,4.0,11.5,
30003.0,Montana,Big Horn,,4.0,3.3,72.7,46.587215601,34.3,33.97,27.3,,70.26309626,0.0,34507.0,,71.8,1.0,1.0,5.6,,2769.0,73.944905527,,,96.0,,,25.5859375,0.6950554285,11.0,27.8,
30005.0,Montana,Blaine,,3.9,3.1,71.7,56.078147612,38.8,21.07,33.6,,46.569388389,0.0,31724.0,,100.0,0.4,0.3,2.4,,1382.0,51.527577989,,,78.8,,,18.391787853,0.2192612582,3.0,31.1,
30007.0,Montana,Broadwater,,4.4,4.0,83.1,54.981884058,17.5,6.66,24.9,,64.0888699,0.0,40730.0,,100.0,0.3,0.1,1.5,,1104.0,44.151502728,,,38.0,,,24.813631523,0.1190003967,6.0,13.2,
30009.0,Montana,Carbon,,2.4,2.0,87.4,55.625301787,17.0,25.22,26.3,,61.741098992,10.3,42256.0,,100.0,0.3,0.3,2.4,,2071.0,33.634090344,,,16.2,,,23.258616534,0.469924812,12.0,16.4,
30011.0,Montana,Carter,,2.6,2.3,81.8,62.857142857,29.2,46.73,32.6,,,0.0,34240.0,,100.0,0.1,0.2,0.7,,210.0,,,,,,,18.965517241,0.4750593824,4.0,11.1,
30013.0,Montana,Cascade,,3.9,3.3,79.2,67.841160434,20.8,12.64,24.3,,71.931920704,9.8,41827.0,,19.9,1.8,0.6,3.3,,19441.0,18.698112737,,,48.9,,,27.5388976,0.9139092201,2.0,18.5,
30015.0,Montana,Chouteau,,2.7,2.5,91.8,62.296564195,21.7,46.72,29.4,,19.267822736,0.0,38434.0,,100.0,0.1,0.3,0.8,,1106.0,,,,,,,17.32718894,0.1494209936,5.0,13.9,
30017.0,Montana,Custer,,2.7,2.4,71.8,61.24248497,20.6,3.46,25.2,,126.09204719,0.0,39469.0,,16.9,0.2,0.3,2.3,,2495.0,24.075317731,,,39.4,,,20.762383901,0.269166512,5.0,19.0,
30019.0,Montana,Daniels,,1.4,2.2,88.5,68.902439024,13.5,15.46,26.1,,,0.0,39453.0,,100.0,0.2,1.8,2.1,,328.0,,,,,,,26.908150065,0.0,0.0,14.9,
