FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32001.0,Nevada,Churchill,,3.9,4.0,92.6,54.567022539,18.2,0.8,27.2,,72.5572396,12.1,48235.0,,36.0,1.8,3.0,11.0,,5901.0,29.560247842,,,55.3,,,31.303260993,5.5795287823,0.0,21.7,
32003.0,Nevada,Clark,,3.7,3.7,88.8,53.358345851,22.2,3.28,25.4,,65.244242834,14.7,51427.0,,2.3,10.6,7.7,29.3,,577844.0,15.184833258,,,56.3,,,44.907366814,14.997482411,1.0,22.5,
32005.0,Nevada,Douglas,,3.3,4.0,90.0,66.273435854,14.5,1.61,17.8,,74.331562493,17.5,57176.0,,30.2,0.7,2.0,9.4,,9494.0,18.342530953,,,20.2,,,41.364750039,3.1683698514,0.0,18.8,
32007.0,Nevada,Elko,,4.0,3.5,91.8,50.840138191,11.2,4.45,24.4,,40.267887419,4.2,66210.0,,47.0,1.3,0.9,23.0,,12736.0,26.565903756,,,50.4,,,22.581389979,6.2120451121,0.0,22.7,
32009.0,Nevada,Esmeralda,,,,94.9,53.676470588,17.1,33.12,25.5,,0.0,0.0,40929.0,,100.0,0.2,0.0,14.7,,136.0,,,,,,,23.668639053,9.2397660819,0.0,,
32011.0,Nevada,Eureka,,3.0,4.0,92.9,52.102803738,12.5,30.21,26.3,,125.07817386,0.0,58391.0,,100.0,0.6,0.9,14.4,,428.0,,,,,,,5.8011049724,0.8744534666,0.0,,
32013.0,Nevada,Humboldt,,4.7,4.4,95.3,51.056425553,14.5,6.41,24.8,,39.066860141,16.7,59960.0,,41.9,0.8,0.7,23.9,,4023.0,36.061717053,,,52.5,,,22.326269098,10.073893295,0.0,25.4,
32015.0,Nevada,Lander,,5.5,5.1,94.9,52.192982456,12.4,6.33,24.8,,117.02750146,0.0,70176.0,,35.7,0.7,0.4,19.9,,1368.0,41.678243957,,,40.8,,,20.411311054,6.9638982048,0.0,19.4,
32017.0,Nevada,Lincoln,,3.4,2.0,52.3,46.444249342,18.3,36.84,26.0,,43.075597674,0.0,42637.0,,100.0,1.9,0.3,6.2,,1139.0,72.833211945,,,13.6,,,20.181921546,0.8688281416,0.0,16.8,
32019.0,Nevada,Lyon,,4.2,4.7,88.3,53.405017921,15.9,5.03,26.5,,17.041258781,5.7,47108.0,,52.0,1.7,1.8,15.4,,12276.0,28.880245298,,,42.2,,,39.012720928,3.8438363565,0.0,27.5,
32021.0,Nevada,Mineral,,4.1,5.2,76.6,39.655172414,24.6,13.55,30.4,,64.543889845,0.0,39940.0,,30.7,5.2,1.3,11.5,,928.0,59.218902674,,,42.4,,,32.68983269,2.1614748887,0.0,32.5,
32023.0,Nevada,Nye,,4.9,4.3,94.9,39.17292337,27.8,6.97,31.3,,24.900962083,13.6,41054.0,,54.7,2.5,1.6,12.3,,8391.0,49.357811947,,,46.2,,,37.245722566,5.5873031118,0.0,25.1,
32027.0,Nevada,Pershing,,4.2,4.6,89.1,39.975247525,22.0,5.66,25.6,,31.786395423,0.0,44684.0,,100.0,5.8,0.7,22.1,,2424.0,,,,44.3,,,23.98989899,8.0675422139,0.0,26.2,
32029.0,Nevada,Storey,,3.7,3.6,91.1,74.730021598,13.6,19.83,23.2,,,0.0,57763.0,,94.0,1.1,2.6,8.8,,926.0,,,,,,,32.91347207,1.1814124442,0.0,26.3,
32031.0,Nevada,Washoe,,3.5,3.6,88.7,59.774771559,20.4,5.55,17.4,,92.66918798,45.8,50839.0,,7.2,2.7,5.5,21.8,,112064.0,14.28174947,,,47.7,,,43.526931473,9.668615275,1.0,19.8,
32033.0,Nevada,White Pine,,6.3,3.5,83.0,46.40346133,15.2,8.7,24.7,,65.674255692,21.9,49376.0,,52.6,4.5,1.1,13.0,,1849.0,32.150722587,,,44.7,,,22.787356322,1.1434280639,0.0,20.0,
32510.0,Nevada,Carson City,,4.2,3.5,98.1,48.362942299,21.5,3.3,20.7,,86.840105655,41.6,49386.0,,6.0,2.1,2.5,21.2,,13622.0,16.548029362,,,60.2,,,36.959053431,8.1721964103,0.0,23.0,
