FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
45001.0,South_Carolina,Abbeville,,4.1,4.7,79.4,55.453462651,26.6,7.82,32.3,,43.58852433,0.0,34658.0,,76.6,28.3,0.3,1.2,,5877.0,19.775873434,,,46.9,,,31.858227848,1.3372093023,0.0,20.4,
45003.0,South_Carolina,Aiken,,3.7,3.8,74.1,55.550955991,25.3,20.93,25.6,,46.57149695,5.2,43196.0,,38.8,25.5,0.8,4.0,,38651.0,21.823428451,,,52.2,,,25.979507669,2.7264001307,0.0,21.2,
45005.0,South_Carolina,Allendale,,3.5,3.0,56.5,37.461825585,47.1,1.18,35.0,,86.480253675,0.0,24615.0,,40.3,71.4,0.2,3.3,,2947.0,25.155234275,,,100.7,,,36.205899364,0.7868525896,0.0,27.6,
45007.0,South_Carolina,Anderson,,3.9,3.8,74.9,54.218793291,28.3,20.33,29.5,,78.168987138,8.2,38851.0,,41.7,16.7,0.8,2.3,,46921.0,23.62164457,,,57.5,,,28.127214372,1.8849373724,0.0,22.3,
45009.0,South_Carolina,Bamberg,,4.0,3.3,66.8,49.589442815,38.9,1.04,33.8,,59.269015476,0.0,29101.0,,54.1,61.9,0.2,1.5,,3410.0,35.254874664,,,39.7,,,26.988335101,0.4084590553,0.0,21.5,
45011.0,South_Carolina,Barnwell,,3.4,3.5,70.9,44.56252214,52.2,0.04,31.7,,17.470300489,0.0,30898.0,,85.5,43.8,0.6,1.7,,5646.0,40.581171566,,,71.2,,,28.461264681,2.1471959316,0.0,20.6,
45013.0,South_Carolina,Beaufort,,2.7,3.0,61.1,61.265608812,22.6,0.04,17.5,,77.547908835,10.5,55266.0,,28.3,20.1,1.1,10.4,,36678.0,18.784335301,,,53.5,,,38.667486093,6.1384405453,0.0,18.8,
45015.0,South_Carolina,Berkeley,,4.1,3.9,67.9,54.874213836,21.2,19.53,30.0,,31.842251129,7.1,49284.0,,34.0,26.5,2.2,4.2,,49608.0,26.152397999,,,52.0,,,30.948207435,3.2352474368,0.0,23.3,
45017.0,South_Carolina,Calhoun,,3.5,4.3,80.6,52.038779584,26.8,33.17,33.5,,13.659336156,0.0,37507.0,,100.0,44.6,0.4,2.3,,3507.0,37.91253578,,,42.2,,,27.609867669,1.1499059168,0.0,16.8,
45019.0,South_Carolina,Charleston,,3.0,3.2,68.1,68.500584747,25.4,10.85,23.7,,178.11297452,47.5,46187.0,,13.5,30.5,1.6,4.1,,97478.0,18.078743066,,,45.4,,,40.320942515,3.3015861112,0.0,19.3,
45021.0,South_Carolina,Cherokee,,4.4,3.8,79.4,39.327545818,30.5,0.06,31.2,,45.763239305,1.8,35223.0,,60.7,20.8,0.5,3.2,,14514.0,27.055702918,,,75.7,,,26.7318236,2.0605066307,0.0,28.7,
