FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
28001,Mississippi,Adams,,4.9,5.0,60.8,54.337837838,50.7,15.738394603,39.9,,74.38862,9.29858,26722,,37.226367774,53.173043939,0.4303489569,6.7857922475,38.450743755,7400,24.912696297,,,71.937783539,,,,1.3087800066,11.34,23.8,
28003,Mississippi,Alcorn,,4.8,3.6,80.718059937,47.161526398,28.9,4.5799689522,34.8,,48.53714,5.39302,31496,,66.35183636,11.756450394,0.3940408075,2.814962755,83.949584368,9565,25.133028334,,,71.384310323,,,,0.6284754402,13.24,23.4,
28005,Mississippi,Amite,,4.5,4.3,61.0,47.506103941,32.9,10.876473716,33.2,,22.88679,,32824,,100.0,41.33496632,0.1301285977,0.9644825475,56.713104715,2867,32.138839788,,,57.455994686,,,,0.0892133009,11.3,28.0,
28007,Mississippi,Attala,,4.7,4.2,75.199730458,47.833814708,36.7,4.560541264,36.2,,56.26598,,30108,,64.306890207,42.016849892,0.3441898695,1.7004006987,55.147436556,4501,38.141622779,,,75.061025224,,,,0.7247178579,12.95,20.7,
28009,Mississippi,Benton,,3.7,3.6,69.7,43.149094287,39.6,22.303502566,34.1,,,,27834,,100.0,36.830050389,0.0801649107,1.8208886853,60.123683005,2153,45.209470547,,,66.770996348,,,,0.0,12.98,25.2,
28011,Mississippi,Bolivar,,3.7,3.4,69.318322023,51.456883331,49.5,24.161461783,31.5,,58.69061,5.869059999999999,28802,,53.955191097,63.658168251,0.6307186639,1.9957952089,33.040182405,8477,24.912304669,,,78.427821047,,,,0.3122073057,12.31,20.6,
28013,Mississippi,Calhoun,,3.8,5.5,74.0,35.225699252,31.1,4.1945317385,37.0,,26.75764,,32453,,100.0,27.880941208,0.1206676946,5.3697124087,65.502446873,3611,48.856190367,,,68.975305138,,,,1.6919864641,12.75,22.0,
28015,Mississippi,Carroll,,4.5,4.4,70.9,54.460822343,28.4,24.276167913,32.7,,18.89109,,34876,,100.0,32.806324111,0.2410103152,1.2628940519,64.638966548,2578,51.298666235,,,43.023723361,,,,0.0704367076,12.7,23.7,
28017,Mississippi,Chickasaw,,4.8,3.6,60.054847645,47.932285369,31.0,2.5054561984,33.8,,57.47457,,30524,,85.297838086,42.338238729,0.4029432376,3.6907264658,52.721326793,4135,35.076810242,,,94.547814799,,,,0.1173201605,12.86,24.3,
28019,Mississippi,Choctaw,,4.1,3.3,73.9,57.014028056,38.5,2.103154589,30.1,,11.68634,,31177,,100.0,30.706134094,0.1664289111,1.0223490252,66.999524489,1996,29.240716073,,,51.204819277,,,,0.0,13.02,16.5,
28021,Mississippi,Claiborne,,4.4,5.9,71.6,54.306930693,52.8,10.383372498,40.0,,20.903010000000002,20.903010000000002,22802,,100.0,83.599374022,0.4486176317,0.9702660407,14.20970266,2020,42.191719172,,,54.465161923,,,,0.0,11.76,17.1,
