FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
41001,Oregon,Baker,,3.1,2.9,61.481481481,56.354300385,32.7,14.025919368,20.3,,68.36969,18.64628,36877,,41.006569976,0.3628628629,0.5317817818,3.6286286286,92.22972973,3116,21.211719475,,,39.238315061,,,,1.1808699075,8.61,23.9,
41003,Oregon,Benton,,3.3,2.9,72.039072039,80.829126839,17.1,4.6225778546,14.7,,112.24525999999999,74.83017,46272,,18.7639491,1.0136393259,5.4976259194,6.669537287,82.949678801,18622,8.0771835033,,,9.1572042223,,,,1.3699810443,9.33,11.5,
41005,Oregon,Clackamas,,3.2,2.9,72.211826347,68.883018706,15.9,3.1140332909,17.1,,83.82919,42.97572,58496,,18.07857614,0.7982493747,3.7800461328,7.9611895625,84.23043237,93126,9.7406569567,,,20.082347949,,,,2.4306520888,9.8,15.4,
41007,Oregon,Clatsop,,3.7,3.0,66.381156317,58.503319252,27.6,10.618975653,19.6,,72.8509,13.490910000000001,43544,,38.972434461,0.5733049821,1.3807767879,7.7732619169,86.927031464,8285,11.308203127,,,30.893926935,,,,1.9807648271,10.6,20.9,
41009,Oregon,Columbia,,3.9,4.1,65.086206897,57.063135099,17.4,3.7934286413,19.4,,24.324,2.027,55646,,43.612084862,0.4858102911,1.0040079349,4.1516537792,90.089470062,12006,18.924665048,,,29.506528743,,,,0.7416324513,10.45,19.8,
41011,Oregon,Coos,,3.9,2.9,62.015503876,55.326486818,29.2,4.5931366996,22.0,,85.67893000000001,7.93323,36567,,38.353187507,0.4475163638,1.1004761829,5.6345654632,86.70191588,13048,16.22853382,,,39.167152009,,,,0.6043708366,9.07,27.2,
41013,Oregon,Crook,,3.4,2.8,66.666666667,48.341536486,28.3,4.5358704751,19.9,,28.70676,,37473,,48.016970159,0.1823504007,0.5518498968,7.2844186381,88.915015116,4673,13.391183245,,,36.40776699,,,,1.1412126625,8.65,21.8,
41015,Oregon,Curry,,3.6,2.8,65.808823529,57.08512931,26.3,5.3296473007,23.9,,62.645430000000005,26.84804,39958,,38.731890538,0.3656470169,0.8204762329,5.8904842593,87.982698653,3712,22.249628113,,,30.165190328,,,,0.2238075255,9.52,21.1,
41017,Oregon,Deschutes,,3.7,3.2,63.95242452,68.921222598,20.2,4.4383706656,15.7,,89.91211,34.19193,47924,,27.643549543,0.3804463072,1.0328181716,7.7074679739,88.045878083,41649,13.849052964,,,31.523750771,,,,1.4906326364,8.54,12.4,
41019,Oregon,Douglas,,4.9,3.6,67.423704755,53.891514742,28.1,11.333906052,21.9,,65.94162,14.860080000000002,38196,,41.17789109,0.3125872174,1.0093962229,4.8199832543,89.384128756,22215,20.796269015,,,40.348871671,,,,0.4477567974,8.84,25.6,
41021,Oregon,Gilliam,,,,82.75862069,57.435897436,18.4,21.392151409,19.4,,0.0,,49378,,100.0,0.2065049045,0.2581311306,5.2142488384,91.533298916,390,,,,,,,,2.2662889518,9.52,2.1,
41023,Oregon,Grant,,3.0,1.7,73.195876289,64.99272198,27.9,17.735810205,20.0,,120.54647999999999,,37191,,100.0,0.2294197031,0.350877193,3.0904183536,92.968960864,1374,25.225574852,,,32.078103208,,,,0.4568165596,8.75,23.6,
