FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
46003,South_Dakota,Aurora,,3.1,1.9,78.945263158,55.221238938,18.3,33.556797892,36.2,,,36.92762,45615,,100.0,0.3711952487,0.6681514477,3.9346696362,92.724573125,565,,,,,,,,0.5144440047,9.4,10.2,
46005,South_Dakota,Beadle,,3.3,2.0,81.729390863,56.054636196,20.7,7.5973148442,30.8,,63.156690000000005,17.22455,43803,,27.365214392,0.8547008547,4.3703703704,8.0113960114,84.455840456,3807,11.985480447,,,47.501845927,,,,2.626641651,9.03,17.7,
46007,South_Dakota,Bennett,,2.8,3.0,58.33,57.556270096,49.2,49.354995416,29.1,,29.035999999999998,,31712,,100.0,0.1453065969,0.5231037489,2.8480092996,33.536762569,622,53.577316189,,,74.150360453,,,,0.0665114732,8.91,24.1,
46009,South_Dakota,Bon Homme,,2.5,2.4,89.794591837,45.163136806,19.8,29.942453736,31.1,,84.93771000000001,,41711,,100.0,0.9021910354,0.1718459115,1.9332665044,88.443362452,1747,26.32005183,,,18.97810219,,,,0.896458987,9.96,19.7,
46011,South_Dakota,Brookings,,2.3,2.2,91.431357143,72.292948076,12.6,15.747979496,22.1,,46.80771,12.48206,48233,,29.666823088,0.778874201,2.830013033,2.0356234097,92.040588345,6991,10.693247911,,,10.849621061,,,,0.9410183162,10.27,13.7,
46013,South_Dakota,Brown,,2.9,2.4,86.268626943,72.211697845,12.9,6.6009711662,30.3,,76.42339,21.835250000000002,50115,,28.89053133,0.6110477432,0.9885394601,1.5018195644,92.455597197,8446,11.167435757,,,28.204844597,,,,0.2955432084,8.16,18.0,
46015,South_Dakota,Brule,,2.8,3.2,85.183703704,45.208845209,17.8,10.639207009,34.2,,113.85199,18.97533,45265,,100.0,0.2839295855,0.2082150293,1.836077986,87.204240015,1221,,,,25.174825175,,,,0.16563147,9.1,15.3,
46017,South_Dakota,Buffalo,,4.4,3.9,,36.382536383,48.6,11.597465208,36.3,,51.57298,,21269,,100.0,0.2515090543,0.1509054326,2.5150905433,16.901408451,481,,,,109.91957105,,,,0.4675628288,8.7,46.2,
46019,South_Dakota,Butte,,3.1,2.8,87.582,58.877685226,24.3,11.965252281,31.8,,39.44384,9.86096,39615,,48.170128586,0.3411638561,0.2631835462,3.2654254801,92.016765767,2281,20.553173997,,,39.02034039,,,,0.3324040317,7.21,18.5,
46021,South_Dakota,Campbell,,2.6,1.5,,76.793248945,12.2,28.430682293,36.1,,0.0,,40855,,100.0,0.0700770848,0.4905395936,1.2613875263,97.617379117,237,,,,,,,,0.0,7.16,12.4,
46023,South_Dakota,Charles Mix,,2.4,2.1,89.107128713,50.358917725,36.0,16.890111921,30.3,,76.53618999999999,,37448,,100.0,0.2172024327,0.2280625543,2.1068635969,64.324500434,1811,26.750590087,,,79.154579362,,,,0.0961076406,9.67,18.8,
46025,South_Dakota,Clark,,2.8,3.0,93.614255319,48.73164219,23.9,13.263916867,31.0,,,,43496,,100.0,0.2205071665,0.0551267916,2.1223814774,96.77508269,749,,,,,,,,0.7256894049,9.23,18.9,
46027,South_Dakota,Clay,,2.5,2.4,89.01,79.008152174,21.3,5.3795183352,22.8,,72.11364999999999,108.17048,39870,,24.321984997,1.3308661305,1.8859867625,2.1777809409,89.488292648,2944,10.411569336,,,8.2218281477,,,,0.8295000377,10.09,13.4,
46029,South_Dakota,Codington,,2.6,2.3,87.13751462,67.4969988,14.9,7.3438029333,27.2,,91.77343,22.02562,47282,,22.46299629,0.4299978136,0.5283871438,1.6252459733,94.307995044,6664,13.310970902,,,44.311560871,,,,0.3595416831,9.69,19.1,
46031,South_Dakota,Corson,,4.2,3.8,52.939117647,49.315068493,49.0,62.935289553,31.7,,,,28770,,100.0,0.1989060169,0.3978120338,3.1824962705,30.35803083,949,111.45165784,,,86.597938144,,,,0.0273448182,7.04,35.2,
46033,South_Dakota,Custer,,3.1,3.6,88.14,78.316498316,20.5,7.1608408759,25.9,,84.80737,,49649,,100.0,0.4797313504,0.3717917966,2.5185895898,91.904533461,1485,19.644260304,,,30.849825378,,,,0.0,8.13,19.7,
46035,South_Dakota,Davison,,2.1,2.1,92.448311111,67.685784423,16.1,6.2350390109,28.1,,97.27626000000001,25.59902,47100,,23.323420837,0.5750343494,0.5088799552,1.7200142486,93.287873391,4481,12.575452716,,,40.45174538,,,,1.1033649887,9.66,15.4,
46037,South_Dakota,Day,,3.6,,92.308461538,58.673932788,23.0,19.271370325,30.7,,34.95281,,39223,,100.0,0.2612785229,0.2438599547,1.3412297509,87.249608082,1101,24.808355454,,,34.328358209,,,,0.3523085481,9.05,16.2,
46039,South_Dakota,Deuel,,3.3,2.4,94.29,55.613850997,14.2,26.626671627,28.2,,22.95684,,45700,,100.0,0.3899977059,0.0917641661,2.3399862354,96.122963983,953,,,,26.192703461,,,,1.2432959532,10.26,20.5,
46041,South_Dakota,Dewey,,3.3,3.1,74.742727273,35.731225296,39.9,18.956127387,34.0,,74.97657,,33902,,64.082248632,0.1844678104,0.2029145914,2.4534218779,22.209924368,1265,55.080522478,,,99.850968703,,,,0.3927242662,7.25,38.4,
46043,South_Dakota,Douglas,,2.6,2.4,100.0,53.3203125,15.0,33.633105533,34.5,,33.45601,,46224,,100.0,0.4710632571,0.1009421265,0.9757738896,96.02960969,512,,,,,,,,1.1259676284,9.69,13.7,
46045,South_Dakota,Edmunds,,2.7,1.3,100.0,63.614163614,17.1,17.413071866,29.1,,,,49467,,100.0,0.1479289941,0.1479289941,1.5039447732,96.548323471,819,,,,,,,,0.5750130685,7.4,14.3,
46047,South_Dakota,Fall River,,4.4,3.4,87.87989899,66.666666667,24.1,14.562530314,23.7,,56.227160000000005,14.056790000000001,39444,,49.957710741,0.8165019338,0.4154132646,2.6214009454,86.935969059,1101,22.118555457,,,48.069919883,,,,0.0,8.33,21.2,
46049,South_Dakota,Faulk,,2.3,0.7,95.24,63.326653307,20.1,43.544890579,31.7,,42.2119,,43030,,100.0,0.1267427123,0.1267427123,0.8027038445,97.887621462,499,,,,,,,,0.2237136465,7.68,9.3,
46051,South_Dakota,Grant,,2.9,4.4,95.742021277,58.974358974,14.2,5.670317425,31.0,,81.57715999999999,,47131,,55.369766177,0.1517241379,0.3448275862,2.4,95.917241379,1521,,,,27.450980392,,,,2.4132947977,10.03,20.6,
46053,South_Dakota,Gregory,,2.4,1.8,87.49703125,70.752427184,30.1,15.469977286,32.0,,93.72071000000001,23.43018,33991,,100.0,0.1423149905,0.3320683112,0.9962049336,89.444971537,824,,,,20.895522388,,,,0.1494768311,9.55,11.3,
46055,South_Dakota,Haakon,,2.3,1.4,100.0,65.659340659,16.7,11.004633908,30.0,,51.948049999999995,,44653,,100.0,0.1048767698,0.5768222339,0.8914525433,93.602517042,364,,,,,,,,0.3054367746,7.99,,
46057,South_Dakota,Hamlin,,2.9,2.0,93.102988506,56.904761905,17.3,35.94866243,29.6,,16.87764,,50864,,100.0,0.2174640348,0.2843760455,2.5593844095,96.018735363,1260,,,,27.888446215,,,,1.0355865185,9.82,20.8,
46059,South_Dakota,Hand,,2.3,2.2,88.46,71.153846154,14.6,13.119947608,34.4,,87.36167999999999,,41975,,100.0,0.0876424189,0.3213555361,0.5842827929,97.984224365,676,,,,,,,,0.2465331279,8.31,11.3,
46061,South_Dakota,Hanson,,2.6,3.2,89.29,63.020833333,12.2,6.966276455,26.8,,,,57519,,100.0,0.0888625592,0.355450237,0.8886255924,97.68957346,768,,,,,,,,0.586128297,9.88,19.1,
46063,South_Dakota,Harding,,1.1,0.9,78.95,71.481481481,24.4,39.821573428,31.0,,0.0,,42575,,100.0,0.0,0.0788022065,1.5760441292,95.429472025,270,,,,,,,,0.3154574132,6.9,,
46065,South_Dakota,Hughes,,2.6,2.1,82.58,75.201072386,14.0,6.8704821991,21.7,,81.97201000000001,17.56543,60677,,25.27317589,0.8674531575,0.572519084,2.3132084201,84.050427944,4476,14.487936662,,,36.685141198,,,,0.2647503782,8.12,14.7,
46067,South_Dakota,Hutchinson,,1.9,1.7,94.503406593,64.902102973,18.3,14.536329849,29.8,,108.90279999999998,,46309,,100.0,0.4822929585,0.1653575858,1.7086950531,96.196775527,1379,,,,12.470308789,,,,0.9064748201,9.95,9.6,
46069,South_Dakota,Hyde,,2.7,1.1,100.0,57.419354839,16.2,29.091505999,32.4,,0.0,,44997,,100.0,0.143472023,0.2152080344,1.1477761836,89.31133429,310,,,,,,,,0.0,8.01,11.1,
46071,South_Dakota,Jackson,,2.5,2.5,95.24,59.886201991,45.4,46.28970362,31.4,,,,31854,,100.0,0.4102240454,0.0631113916,1.8617860524,42.410855159,703,76.672417098,,,87.398373984,,,,0.2823861631,8.54,21.9,
46073,South_Dakota,Jerauld,,2.0,2.8,69.23,61.813186813,25.8,42.255145124,32.3,,95.78544,,47433,,100.0,0.1918465228,0.2398081535,4.7002398082,93.717026379,364,,,,,,,,1.5814443859,9.09,11.8,
46075,South_Dakota,Jones,,2.4,0.7,84.62,78.095238095,23.0,27.272727257,32.6,,0.0,,40171,,100.0,0.1994017946,0.0997008973,1.5952143569,93.020937188,210,,,,,,,,0.0,8.46,,
46077,South_Dakota,Kingsbury,,2.4,1.5,85.716428571,63.980582524,15.7,15.031616405,31.3,,38.84249,19.42125,46244,,100.0,0.2123962155,0.3282486967,1.7957134582,96.138250628,1030,35.645736222,,,16.708437761,,,,0.8393039918,9.69,14.2,
46079,South_Dakota,Lake,,2.9,4.1,71.428214286,70.844327177,14.1,2.7096436292,28.0,,79.8297,,49893,,44.875,0.6138151638,0.7175585718,1.5907322556,95.245093801,2274,13.120260306,,,13.833992095,,,,0.6438174588,10.17,20.3,
46081,South_Dakota,Lawrence,,3.0,2.5,76.120298507,65.693138628,17.4,4.8680574665,24.6,,103.35276,24.804660000000002,42495,,36.884259451,0.6293188549,0.728035538,2.7311615663,92.045080619,4999,15.267082338,,,22.730563197,,,,0.3186686731,7.51,21.5,
46083,South_Dakota,Lincoln,,1.9,1.7,86.826621622,78.345108894,5.9,2.1061434878,21.7,,106.15710999999999,84.04105,76907,,29.265191398,0.8014019191,1.0963178253,1.3549035112,94.843245785,13729,11.35423,,,18.008747106,,,,0.3352527191,10.3,12.2,
46085,South_Dakota,Lyman,,2.3,1.6,90.0,48.106060606,31.6,20.970064871,33.2,,26.57454,,37914,,100.0,0.2101944298,0.289017341,1.2086179716,58.617971624,792,38.096689398,,,72.580645161,,,,0.0578703704,8.65,23.6,
46087,South_Dakota,McCook,,2.0,2.8,94.790625,63.680387409,14.6,25.225629351,29.1,,17.78726,,51365,,100.0,0.2699784017,0.1979841613,2.0158387329,96.382289417,1239,35.190026141,,,15.396458814,,,,0.3267973856,10.13,13.9,
46089,South_Dakota,McPherson,,2.7,2.6,93.101034483,66.57223796,27.1,24.569117332,28.8,,81.4664,,35473,,100.0,0.0407830343,0.2446982055,1.1827079935,97.51223491,353,,,,,,,,0.0,7.38,15.6,
46091,South_Dakota,Marshall,,2.2,2.8,96.770967742,59.759036145,22.0,22.692640633,30.9,,42.93688,,44849,,100.0,0.1957798564,0.3045464433,6.8740482924,84.294104851,830,,,,33.365109628,,,,0.5868544601,8.87,24.1,
46093,South_Dakota,Meade,,2.7,2.6,85.053333333,66.078244275,17.6,4.0558178119,27.4,,58.9669,7.86225,50985,,37.996382795,1.5814608941,0.7554998826,3.4525953182,89.411258123,6288,24.444040202,,,34.641215977,,,,0.0641080434,7.56,18.7,
46095,South_Dakota,Mellette,,2.6,2.7,52.17,57.517899761,49.8,48.262297173,34.1,,,48.87586,30170,,100.0,0.145137881,0.290275762,1.7900338655,38.751814224,419,84.507042254,,,95.015576324,,,,0.2191780822,8.83,25.2,
46097,South_Dakota,Miner,,1.7,1.3,100.0,60.373443983,17.3,5.4158405225,36.0,,,,44316,,100.0,0.1271725307,0.3815175922,1.4412886816,96.947859262,482,,,,,,,,0.0888494003,9.82,14.5,
46099,South_Dakota,Minnehaha,,2.7,2.6,82.680166892,67.865116958,14.5,4.8290693602,23.7,,97.09252000000001,38.24857,51431,,13.636202705,3.6872933066,1.5173040197,4.2998043691,86.093902837,47923,11.034212188,,,37.232408071,,,,2.0450713651,10.44,18.0,
46101,South_Dakota,Moody,,2.8,2.2,86.793207547,64.863102999,16.3,24.453813035,27.9,,30.80715,15.40357,50307,,100.0,0.6177606178,1.0810810811,1.9459459459,80.478764479,1534,26.316366587,,,31.306441902,,,,0.4158349967,10.47,13.8,
46103,South_Dakota,Pennington,,3.1,3.1,80.106975698,67.716535433,19.6,8.1289303429,22.6,,76.94584,36.49995,48083,,20.801798946,1.2313378398,1.0980888003,4.0101152556,81.575645577,25400,11.113267908,,,52.810293986,,,,0.4705678257,8.0,21.2,
46105,South_Dakota,Perkins,,2.5,2.0,76.91974359,62.798634812,22.3,20.784717043,33.2,,,33.51206,37919,,100.0,0.2665778074,0.1999333555,0.8330556481,96.101299567,586,,,,,,,,0.1096491228,6.95,14.2,
46107,South_Dakota,Potter,,2.2,1.4,95.998,69.727047146,15.9,32.12779033,29.9,,,,45851,,100.0,0.1692047377,0.3807106599,0.8460236887,96.615905245,403,,,,,,,,0.2193944713,7.42,8.7,
46109,South_Dakota,Roberts,,2.8,2.3,83.209927007,60.62767475,27.6,18.439695907,30.5,,78.51604999999999,9.81451,41407,,100.0,0.2236048999,0.3013805172,1.6818977251,60.976083998,2103,25.67980141,,,65.78026592,,,,0.3010752688,9.63,24.9,
