FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
49001,Utah,Beaver,,2.7,2.0,76.859504132,43.533123028,15.1,4.8433213483,23.2,,90.22556,15.03759,44126,,56.524362649,0.3033060358,1.0919017288,10.979678496,85.653624507,1585,36.027921639,,,44.835414302,,,,1.2887909106,11.07,11.3,
49003,Utah,Box Elder,,3.6,3.3,79.952830189,56.47259717,12.6,4.4835094369,22.2,,33.88142,7.9721,51558,,31.099549775,0.3241201034,0.9803141778,8.4589381587,88.021475442,12298,18.14437479,,,36.808030843,,,,0.8991302383,9.23,9.5,
49005,Utah,Cache,,3.1,2.6,83.403997577,72.07082584,16.7,8.7556448272,16.9,,44.12128,36.179449999999996,47589,,15.687579889,0.601574556,2.1926956643,10.015780434,84.97284196,28916,9.5369666451,,,22.72485081,,,,2.101822524,8.03,5.3,
49007,Utah,Carbon,,4.4,4.3,83.566433566,62.661290323,18.7,8.2159029651,26.2,,51.29879,32.644690000000004,47585,,33.71489978,0.4456327986,0.7364668355,12.379210057,83.961910123,4960,21.57812674,,,41.502315212,,,,0.898435483,9.11,19.2,
49009,Utah,Daggett,,1.3,3.1,100.0,54.5,8.2,33.638743549,20.7,,0.0,,48751,,100.0,0.3460207612,0.4325259516,3.5467128028,94.117647059,200,,,,,,,,0.4836759371,8.22,,
49011,Utah,Davis,,3.2,3.0,81.837470825,74.748486205,10.2,4.1568375939,15.9,,46.78271,16.56888,68974,,0.9194757226,1.1481314001,1.8876819612,8.594629439,85.593837292,84886,6.8907732546,,,24.827949967,,,,0.8783353806,9.44,6.5,
49013,Utah,Duchesne,,3.9,3.3,74.456521739,48.905932777,15.1,8.3866154339,24.5,,37.55365,,54973,,68.210888375,0.2647183397,0.3970775095,6.3955950868,86.594663278,4433,35.713374659,,,63.19627304,,,,0.903447852,8.8,19.1,
49015,Utah,Emery,,4.4,4.0,91.578947368,58.120696638,16.9,12.034385812,21.7,,9.09918,9.09918,48745,,73.642492711,0.2558479532,0.3746345029,6.2317251462,91.620979532,2469,13.413096547,,,38.314176245,,,,1.2350678275,9.09,17.6,
49017,Utah,Garfield,,4.4,2.2,80.64516129,67.544684854,19.5,11.008509851,24.9,,38.56537,,40762,,100.0,0.3888024883,1.0497667185,4.8794712286,91.115863142,1063,,,,26.512013256,,,,0.0636672326,8.12,12.0,
49019,Utah,Grand,,3.4,4.0,89.523809524,58.71751886,24.3,7.0080275774,18.8,,118.24143,21.49844,41410,,25.387533875,0.4289544236,0.9115281501,9.3619302949,83.924932976,2386,30.620467365,,,53.731343284,,,,2.7650311801,8.66,21.4,
