FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001.0,Iowa,Adair,,2.2,,,65.059486537,14.9,2.0565087257,29.9,,39.856519999999996,,46917.0,,100.0,0.1584786054,0.3301637612,1.3602746962,97.64923402,1597.0,27.346812273,,,26.422764228,,,8.504398827,0.2492384381,9.61,18.5,
19003.0,Iowa,Adams,,3.6,6.1,,63.725490196,20.7,1.7690427136,28.8,,74.92507,,42338.0,,100.0,0.2499375156,0.5748562859,0.9997500625,97.200699825,816.0,,,,29.045643154,,,13.597733711,0.0,9.15,,
19005.0,Iowa,Allamakee,,2.4,2.0,96.617647059,59.75008221,19.2,6.4491056056,22.8,,56.04596,6.87332,45923.0,,73.963712491,1.017329685,0.3297551393,5.7110783695,92.247246194,3041.0,23.922014234,,,35.682426405,,,9.6468561585,2.4943820225,11.82,17.1,
19007.0,Iowa,Appanoose,,5.4,3.3,84.759036145,61.829537105,24.0,5.9551006287,28.2,,78.14331,31.13567,38685.0,,58.252502522,0.4427528352,0.3262389312,1.4913779711,96.512350474,2722.0,24.980450083,,,49.108644467,,,13.811659193,0.266090138,9.63,27.6,
19009.0,Iowa,Audubon,,3.3,2.6,91.930379747,63.412563667,17.9,1.4523048494,27.5,,33.14551,,47823.0,,100.0,0.1659200265,0.530944085,0.6470881035,97.975775676,1178.0,,,,27.114267269,,,9.2592592593,0.1735207357,10.02,23.5,
19011.0,Iowa,Benton,,2.5,2.1,86.36996904,70.487882653,12.2,3.0157948378,26.1,,15.33037,,59333.0,,80.656542414,0.3867805308,0.2718952246,1.1335350209,97.21211657,6272.0,18.038799819,,,19.104190079,,,9.6568627451,0.5069501226,11.01,22.3,
19013.0,Iowa,Black Hawk,,2.8,3.0,83.862440191,66.790009251,16.6,8.9769530259,23.0,,91.22076,83.54522,48625.0,,13.480814707,8.6746731205,1.4688646361,3.8373137282,83.775514864,31349.0,11.335436687,5.00092795,,28.45334605,,,14.531069085,1.2560126091,11.26,20.6,
19015.0,Iowa,Boone,,2.6,3.2,91.061403509,66.191543882,12.4,3.9834213455,28.8,,45.70558,44.49058,51399.0,,50.634836159,0.8089938851,0.3760112424,2.0091913859,95.639788826,6244.0,21.619751805,,,28.353506881,,,12.037037037,0.3214142226,10.69,22.4,
19017.0,Iowa,Bremer,,2.7,2.7,94.125,78.09307605,7.4,1.9659678226,22.0,,57.65825,60.91989,60034.0,,64.48755973,0.8329230264,0.8206138191,1.116034794,96.372886919,5286.0,10.090637669,,,11.455525606,,,8.5683874401,0.266038641,11.47,13.6,
19019.0,Iowa,Buchanan,,3.4,2.1,93.0,61.324041812,17.0,3.3123970669,27.5,,47.794290000000004,98.73525000000001,54382.0,,68.537074148,0.311257961,0.4309725614,1.3024948523,96.901786142,4879.0,15.657442391,,,25.682182986,,,10.77953715,0.6281536402,11.29,18.0,
19021.0,Iowa,Buena Vista,,2.5,2.1,73.034591195,47.201783724,19.2,3.8957660593,25.5,,53.905710000000006,32.47808,45582.0,,43.909180652,2.3258105844,6.2432245984,23.760717453,66.467921553,4485.0,14.306560989,,,44.683062002,,,11.059602649,11.351120141,11.45,11.6,
19023.0,Iowa,Butler,,,2.0,,64.773078111,12.9,13.367354645,27.0,,13.38778,26.286389999999997,51605.0,,100.0,0.220721022,0.294294696,0.9899003411,97.558691726,3239.0,27.787093374,,,20.794537554,,,8.4158415842,0.1940770558,11.43,10.4,
19025.0,Iowa,Calhoun,,2.4,2.6,96.103448276,68.710462287,16.7,15.057904496,27.7,,83.10825,18.77934,47044.0,,100.0,1.7284195888,0.3079368233,1.4800834409,95.639217244,2055.0,27.201534739,,,29.44015444,,,5.3302433372,0.6482465462,11.03,22.4,
19027.0,Iowa,Carroll,,2.4,2.6,93.079847909,63.463241807,11.7,0.8706377096,26.6,,86.28541,42.65403,50372.0,,52.036894696,0.5569158385,0.4993038552,1.7811704835,96.288828076,4516.0,17.819081495,,,25.039432177,,,10.45034642,0.4915912031,10.57,21.3,
19029.0,Iowa,Cass,,1.5,3.0,90.930493274,54.984149348,20.4,7.2544397437,29.1,,50.662229999999994,135.55936,44906.0,,53.632846088,0.2611913226,0.2539360081,2.031488065,96.408619314,2839.0,19.389140041,,,38.295038295,,,8.6666666667,0.3079291763,9.46,15.4,
19031.0,Iowa,Cedar,,2.3,1.7,95.020661157,63.128361001,10.7,2.7440185668,28.3,,16.30435,,57084.0,,83.420725445,0.3368283805,0.4672135601,1.5265931439,96.675177921,4277.0,10.892313916,,,17.328519856,,,9.211398277,0.3753103528,11.18,18.5,
19033.0,Iowa,Cerro Gordo,,2.6,3.1,89.589928058,71.434327156,18.8,4.6157963987,24.5,,172.971,124.533,43822.0,,20.592965052,1.1978906214,0.9273991908,3.961903896,92.37850616,9928.0,12.52404456,5.4591989107,,28.317229503,,,11.491935484,0.838398155,11.8,17.9,
19035.0,Iowa,Cherokee,,,1.2,82.459016393,71.335363201,14.5,1.7786752813,24.8,,66.28552,73.13506,48794.0,,61.381709742,0.5486740377,0.5569872807,2.5687920858,95.294704464,2299.0,22.275370475,,,30.054644809,,,5.7674418605,0.2194522472,11.46,9.7,
19037.0,Iowa,Chickasaw,,1.3,1.9,86.399371069,53.507090839,14.1,6.1067889157,31.2,,24.09832,32.12077,48963.0,,73.534850068,0.3061553335,0.3625523687,2.3364485981,96.52755398,2609.0,28.483536516,,,19.654354456,,,10.600375235,0.6704486849,11.7,14.6,
19039.0,Iowa,Clarke,,,,88.064516129,59.4182165,19.6,2.1938335523,30.3,,42.75331,10.52078,44043.0,,48.104673702,0.4402920962,0.5476804124,10.545532646,87.618127148,2097.0,17.037622167,,,54.721549637,,,8.9743589744,3.9625949737,9.54,32.7,
19041.0,Iowa,Clay,,2.5,2.2,87.939393939,70.031380753,15.8,1.8859494727,26.8,,60.27728,172.11704,48190.0,,34.289314214,0.4635482512,0.6200710373,2.7873096141,95.057492023,3824.0,20.439970362,,,33.59244864,,,10.656836461,0.6560329303,11.96,20.1,
19043.0,Iowa,Clayton,,2.3,2.6,93.060344828,57.4650913,17.9,7.1562739971,28.2,,44.4099,16.56543,44236.0,,96.596613161,0.4453351147,0.2393676241,1.7702070808,96.693386774,3724.0,23.496056579,,,19.57085593,,,9.9544567339,0.3710684415,11.6,16.9,
19045.0,Iowa,Clinton,,3.9,2.7,84.152570481,64.756293519,20.3,6.3921278689,28.8,,57.12537,100.64007,46217.0,,32.233895268,2.7156419346,0.5867253392,2.5995192112,92.364421627,11202.0,15.345949827,5.7909244632,,44.673247107,,,10.062266501,0.4488680718,11.59,27.5,
