FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
16001.0,Idaho,Ada,,3.2,3.2,83.477359143,73.591979076,14.8,3.8184247219,15.3,,79.58248,165.38787,54337.0,,5.4722006295,1.1024902017,2.567989389,7.3075503874,86.239815304,114700.0,9.3190266296,10.633744079,,25.111850407,,,14.194456847,1.4435169818,9.0,15.2,
16003.0,Idaho,Adams,,3.7,4.1,67.567567568,59.416058394,31.0,4.1178661278,23.2,,50.289159999999995,25.406499999999998,34207.0,,100.0,0.1754385965,0.4260651629,2.7067669173,94.511278195,685.0,,,,32.806804374,,,15.882352941,0.0,9.58,21.2,
16005.0,Idaho,Bannock,,3.8,3.6,91.30859375,69.528415961,19.9,8.6338026892,20.1,,69.30255,307.85017999999997,42993.0,,15.729306245,0.7123700972,1.3995977204,7.0255255974,86.225516019,21502.0,13.093606733,13.452335684,,33.456401841,,,12.893503014,0.6809723652,10.38,16.7,
16007.0,Idaho,Bear Lake,,4.6,4.0,85.06097561,52.522017614,20.2,9.0291169213,28.6,,66.65556,50.52206,42134.0,,100.0,0.1508548441,0.4022795843,3.7881327523,94.485417365,1249.0,25.947067981,23.588243619,,26.147959184,,,12.204724409,0.2148997135,10.75,11.0,
16009.0,Idaho,Benewah,,4.3,4.0,76.870748299,47.951938831,26.2,15.462835757,25.7,,43.43577,76.19462,40069.0,,71.911685514,0.3164556962,0.3273679616,2.8371890004,84.559144478,1831.0,26.368035736,,,53.818554587,,,17.057291667,0.1269035533,11.2,26.3,
16011.0,Idaho,Bingham,,3.5,2.9,80.059777968,57.318085401,20.8,7.4486655983,23.0,,34.818940000000005,63.32293,46816.0,,56.030872454,0.2093784079,0.7131952017,17.526717557,74.942202835,10843.0,20.766073428,7.1383377407,,44.795990289,,,13.303072626,3.6552698227,9.91,16.2,
16013.0,Idaho,Blaine,,2.2,2.4,75.708502024,69.113475177,15.9,6.1596708919,14.6,,103.77848,60.73631,59910.0,,32.765718563,0.1232052315,0.8956072596,20.290953893,77.733023741,5640.0,26.953814639,7.4122990256,,33.69140625,,,19.287671233,6.2415332898,9.37,13.1,
16015.0,Idaho,Boise,,4.4,4.5,73.684210526,57.446808511,23.3,30.572700982,21.6,,28.46975,,48986.0,,100.0,0.2135839385,0.5126014524,3.3603872989,93.293464331,1269.0,24.197451202,,,19.632678911,,,19.834710744,0.5050505051,8.92,20.6,
16017.0,Idaho,Bonner,,3.9,3.6,76.536312849,55.270130169,27.5,6.3783051191,20.4,,66.1635,127.36045,39720.0,,72.446608117,0.1640669001,0.5019957392,2.3410142763,94.399686559,8681.0,17.025563174,7.0939846557,,34.269662921,,,18.9233727,0.2428626792,11.35,18.5,
16019.0,Idaho,Bonneville,,3.4,3.5,86.812458582,63.161572695,19.9,6.7343908103,19.3,,46.32606,176.04818,50347.0,,12.951628068,0.5203110514,0.9176394907,11.770382003,84.955442454,27189.0,14.51761911,11.438124148,,43.701296159,,,12.21719457,1.9100444369,10.0,11.1,
16021.0,Idaho,Boundary,,4.1,3.7,76.130653266,40.120793788,27.2,9.3718901663,24.2,,74.04665,64.33232,38257.0,,76.184834123,0.3052446582,0.5827398021,3.6999352511,91.961890667,2318.0,37.648577422,13.445920508,,31.834460804,,,20.430107527,0.0294406281,11.43,15.8,
16023.0,Idaho,Butte,,,4.0,23.606557377,52.521008403,20.6,9.2458324033,22.1,,106.30758,36.25816,43611.0,,100.0,0.5326704545,0.2485795455,4.7230113636,92.542613636,476.0,,,,22.130013831,,,13.913043478,0.868908198,9.42,17.8,
16025.0,Idaho,Camas,,,,87.5,45.058139535,17.7,42.578455787,20.5,,0.0,,48621.0,,100.0,0.8189262966,0.0909918107,6.6424021838,89.171974522,344.0,,,,,,,17.647058824,1.8136850783,9.11,,
16027.0,Idaho,Canyon,,3.9,3.8,72.773925104,54.563145353,29.6,8.0301520595,22.7,,30.77822,54.778400000000005,41700.0,,19.867882682,0.4995636656,0.9348529266,24.107082203,72.078258007,50360.0,16.934238437,6.2389299506,,56.762629006,,,16.795678116,4.466352933,8.79,18.2,
16029.0,Idaho,Caribou,,3.9,3.4,90.489130435,60.52955665,16.9,13.203199747,26.9,,14.59854,14.56452,55010.0,,59.887979319,0.1315597135,0.526238854,4.9846513668,92.749598012,1624.0,,,,23.631123919,,,8.0733944954,2.0126782884,10.4,16.4,
16031.0,Idaho,Cassia,,3.1,3.4,86.610878661,50.96737481,23.1,11.119187544,23.6,,69.00716,72.23284,42155.0,,51.511850819,0.1426225257,0.7001469444,25.391131472,72.460886853,5272.0,28.738259768,7.8377072094,,51.301921885,,,14.768211921,6.5390365048,10.53,13.3,
16033.0,Idaho,Clark,,,,90.909090909,31.578947368,22.0,59.976663301,22.4,,0.0,0.0,44997.0,,100.0,0.2098635887,0.8394543547,41.238195173,56.138509969,152.0,,,,48.54368932,,,11.940298507,22.955523673,9.88,,
16035.0,Idaho,Clearwater,,4.1,3.9,94.581280788,50.782122905,26.9,9.257921409,25.5,,126.40772,86.90929,38980.0,,58.61203059,0.2544234995,0.6707528623,3.3190701978,91.927836244,1790.0,21.269981511,,,40.747028862,,,10.123119015,0.4311377246,10.93,22.8,
16037.0,Idaho,Custer,,2.9,3.2,85.95505618,52.834008097,20.7,8.4829180438,22.9,,,,44309.0,,100.0,0.2075167166,0.2536315425,4.0350472677,93.636154024,988.0,,,,24.213075061,,,13.541666667,1.0906446922,9.36,13.5,
16039.0,Idaho,Elmore,,3.7,2.5,72.307692308,57.800687285,25.3,12.422101566,22.8,,68.32157,52.060089999999995,42391.0,,26.88438494,2.4967648626,2.8431148664,15.844561163,74.845855218,7275.0,19.403556241,7.0068397536,,55.667233648,,,9.1386554622,2.5661092347,9.16,16.7,
16041.0,Idaho,Franklin,,3.7,3.9,94.297635605,51.812944764,18.1,3.0089043427,23.7,,31.1284,7.75916,46607.0,,66.189582356,0.2344299445,0.1250293037,6.7750253966,91.599593655,2951.0,18.494330332,,,26.172300981,,,12.867647059,1.0804736797,10.8,9.6,
16043.0,Idaho,Fremont,,3.0,3.2,71.751412429,46.82367524,24.5,4.1858399756,19.7,,7.61731,14.90757,41629.0,,72.043497961,0.2133008303,0.2666260379,12.424773368,85.457454102,3227.0,27.608445976,,,38.95313451,,,14.983351831,4.9237690577,10.06,16.9,
16045.0,Idaho,Gem,,5.0,4.5,75.405405405,52.586453272,27.3,13.713539672,22.7,,66.00659999999999,47.55112,40399.0,,45.020635205,0.1374118772,0.716931533,8.1431473294,88.714302784,3499.0,21.521482744,16.356326885,,43.531726513,,,15.284178187,1.1054313099,8.92,19.5,
16047.0,Idaho,Gooding,,3.9,3.0,79.161028417,38.252590311,27.4,4.9990626891,26.7,,45.23425,26.07052,39809.0,,58.083290222,0.0845473465,0.663371488,28.115244537,69.523933403,3571.0,26.707873099,,,55.858664588,,,16.878402904,4.331490146,9.63,19.8,
16049.0,Idaho,Idaho,,4.0,3.0,84.375,53.639344262,27.7,15.223164851,25.6,,60.805060000000005,71.29278,36365.0,,80.635642712,0.273556231,0.462006079,2.7234042553,92.370820669,3050.0,30.68979835,,,30.957943925,,,15.087187263,0.3449622494,10.43,18.2,
16051.0,Idaho,Jefferson,,3.6,3.4,87.428571429,64.891696751,18.1,4.89881045,23.6,,22.812820000000002,29.856320000000004,50080.0,,66.610558531,0.1747388414,0.4292497626,10.408357075,87.354226021,6648.0,21.207494122,,,34.016704632,,,12.532133676,2.2080661129,9.62,10.3,
16053.0,Idaho,Jerome,,3.7,3.2,81.879194631,36.088350552,25.3,9.6266325846,19.7,,39.67904,8.8476,43384.0,,51.318494681,0.1866998578,0.4711948791,31.858997155,65.85170697,5614.0,23.400184449,8.2588886289,,67.772427323,,,15.145228216,8.3599520862,9.97,20.1,
16055.0,Idaho,Kootenai,,3.6,3.4,73.57156882,66.399487015,19.2,7.5077200188,18.5,,67.31286999999999,117.48756999999999,46886.0,,24.244371597,0.3075767347,0.7490981765,3.9949540407,91.794646464,34309.0,11.185645884,9.9910623431,,30.247702514,,,17.008797654,0.3516773782,11.26,19.9,
16057.0,Idaho,Latah,,3.6,2.8,81.884057971,77.736677841,16.7,4.5562697295,17.4,,63.65372,91.6723,40873.0,,34.990871013,0.7655350826,1.940235468,3.7194445911,90.605036693,8651.0,10.58993799,5.4910789578,,9.7236438076,,,20.054663478,0.6487252125,11.07,14.2,
16059.0,Idaho,Lemhi,,,3.0,72.279792746,57.557354926,27.8,20.366149785,16.9,,50.2071,114.82521,36797.0,,61.139112903,0.3636363636,0.4012539185,2.5203761755,94.482758621,1482.0,36.59585369,,,35.880398671,,,16.784203103,0.1469017094,10.04,14.4,
16061.0,Idaho,Lewis,,3.3,2.8,91.139240506,56.894049347,27.0,18.877227818,23.6,,26.164310000000004,50.46682,40035.0,,100.0,0.4463113678,0.4988185876,3.5967445524,88.605933316,689.0,42.073054121,,,28.901734104,,,10.334346505,1.1934499029,10.65,16.2,
16063.0,Idaho,Lincoln,,,,85.9375,36.837944664,22.3,40.769995306,24.3,,19.28268,,42224.0,,100.0,0.3487696183,0.4650261577,29.374152296,67.835690758,1265.0,37.972834818,,,46.594982079,,,13.223140496,7.3324905183,9.69,20.8,
16065.0,Idaho,Madison,,2.9,2.6,100.0,83.977128335,19.8,8.7678556689,21.2,,55.461650000000006,83.09962,37565.0,,28.463341858,0.4969994977,1.0785946546,6.2151373358,90.578158458,7870.0,8.8790949781,,,8.0820027597,,,23.910840932,1.0251851852,9.77,3.1,
