FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001.0,Kentucky,Adair,,5.7,5.0,78.010471204,47.689123937,39.2,4.4440282931,34.7,,37.461200000000005,76.02636000000001,31032.0,,75.455617496,2.6206011338,0.2567119478,1.7702428067,94.095625201,4349.0,28.709767528,13.966913933,,41.503815373,,,16.43741403,0.2672732442,13.48,34.0,
21003.0,Kentucky,Allen,,4.8,6.0,84.584980237,45.418719212,30.8,0.5161499365,28.5,,14.89573,14.70084,37770.0,,78.698135899,0.9180685822,0.1935387822,1.5631978562,96.010123567,5075.0,27.200682223,10.29215003,,50.891604889,,,13.956466069,0.593360774,13.99,31.0,
21005.0,Kentucky,Anderson,,3.7,2.4,84.507042254,58.477924755,18.0,5.7931955419,33.8,,41.581959999999995,59.534710000000004,54704.0,,41.697399748,2.1012681663,0.5785429973,1.3977598815,94.631120985,5821.0,17.234723141,14.477167439,,47.239134999,,,10.036057692,0.4639098119,13.27,18.5,
21007.0,Kentucky,Ballard,,7.2,5.6,94.174757282,54.56329735,25.5,2.5500905861,33.4,,12.11681,,41947.0,,100.0,2.9209414605,0.2293301147,1.2552806276,93.796016898,2038.0,39.914617427,,,58.58930603,,,11.441307578,0.1407909894,13.42,31.2,
21009.0,Kentucky,Barren,,4.2,4.0,81.847649919,48.486562942,30.2,3.0726811939,31.0,,70.974,39.23107,37211.0,,63.275081213,3.9344262295,0.5260054252,2.6441797382,91.411723081,10605.0,26.009696415,7.2827149962,,61.228976586,,,13.393124066,0.3207637714,13.82,26.4,
21011.0,Kentucky,Bath,,5.5,5.1,77.258566978,50.06863418,36.5,0.0696682236,35.4,,8.51644,176.39647,31964.0,,100.0,1.3565395444,0.1535705145,1.3991980206,96.015698319,2914.0,29.704808466,32.180209171,,81.447963801,,,19.00921659,0.0,12.99,32.1,
21013.0,Kentucky,Bell,,7.6,6.1,71.162790698,40.523059618,46.5,12.595541474,30.8,,55.70061,13.729190000000001,25771.0,,62.479523195,2.2387279004,0.317327475,0.8020364752,94.978554242,7112.0,30.639525977,53.866263411,,70.313661365,,,15.229357798,0.1597562788,13.09,26.4,
21015.0,Kentucky,Boone,,3.1,3.3,82.536382536,69.75285554,12.3,4.6329821367,25.6,,58.322449999999996,46.7173,66085.0,,13.272340103,2.5993770699,2.2607923868,3.6578651085,89.754526105,34757.0,9.879204275,16.935778757,,33.504753,,,12.220620043,1.1556924192,13.31,17.8,
21017.0,Kentucky,Bourbon,,4.3,,78.006872852,48.90525885,26.4,2.6153545389,36.5,,60.006,39.57653,39002.0,,44.748561421,5.9911982396,0.3800760152,7.0064012803,85.057011402,4887.0,25.825149391,18.651496783,,51.820728291,,,13.960639606,2.1919557353,13.03,20.8,
21019.0,Kentucky,Boyd,,5.5,5.1,86.603284356,60.708356392,26.5,10.952121751,34.5,,123.31702999999999,279.60079,40155.0,,25.317912075,2.8065201984,0.4576288347,1.4295838817,93.886807735,12649.0,16.784398612,28.649232114,,57.407031091,,,10.593654043,0.4300335426,13.08,25.4,
21021.0,Kentucky,Boyle,,4.0,5.4,83.957219251,55.762914303,24.7,10.124910403,28.3,,94.57093,125.97305999999999,42058.0,,34.819921216,7.342375495,0.8516454631,3.0701293239,86.692601549,6698.0,17.266420874,12.188061793,,41.695053822,,,11.497450162,0.956813105,13.19,20.9,
21023.0,Kentucky,Bracken,,4.5,3.8,84.444444444,49.248120301,26.0,0.2179681686,33.1,,35.24022,11.716460000000001,41217.0,,100.0,0.3406954887,0.0587406015,1.1983082707,97.25093985,2128.0,28.567107496,,,48.371174729,,,11.496062992,1.4439518683,13.1,32.6,
21025.0,Kentucky,Breathitt,,7.2,5.2,81.932773109,35.372794536,44.2,3.4425883798,34.9,,65.01951,107.47295,25831.0,,81.503098429,0.3971405878,0.5054516572,0.6643078923,97.718246805,3514.0,48.621240536,48.621240536,,55.603572458,,,14.84300666,0.3739601618,12.9,30.6,
21027.0,Kentucky,Breckinridge,,4.3,5.2,93.81663113,42.448889866,29.1,4.1843929809,34.2,,29.62085,73.63047,40530.0,,100.0,2.1228165669,0.2276213568,0.9995546539,95.116037409,4549.0,28.185300282,12.285900123,,45.337695723,,,12.37458194,0.1432892851,13.79,30.6,
21029.0,Kentucky,Bullitt,,6.2,4.9,76.542056075,54.522687095,15.7,7.158891978,36.6,,17.30818,55.09208,56377.0,,30.413487803,0.7251959092,0.5604994023,1.4344534467,95.933058839,20364.0,15.462592575,8.8357671856,,32.444208915,,,11.589950486,0.077238854,13.52,27.7,
21031.0,Kentucky,Butler,,6.8,4.2,76.033057851,44.783155248,30.0,5.0124279681,34.3,,15.59211,53.66863,37603.0,,100.0,0.4540117417,0.1800391389,2.927592955,95.47553816,3182.0,40.119019759,14.487423802,,54.003724395,,,15.072463768,1.0680016688,14.02,17.5,
