FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27001.0,Minnesota,Aitkin,,3.0,3.3,85.50872093,62.633714496,24.3,12.000320909,23.5,,73.98274,37.03475,38871.0,,100.0,0.3353620668,0.1738914421,1.0309278351,94.839150416,2711.0,18.450184502,10.542962572,,27.368421053,,,15.433270082,0.3898888817,11.69,14.4,
27003.0,Minnesota,Anoka,,3.1,2.9,77.743268688,70.965152107,10.7,6.5816083476,22.4,,57.33325,68.64935,67811.0,,13.50062265,4.5032500465,4.0188940839,3.7064934909,84.957956462,92172.0,8.4442521031,6.9928962729,,19.474172897,,,12.868152468,1.6780279779,12.28,17.0,
27005.0,Minnesota,Becker,,2.8,2.1,81.875331565,66.387983562,20.6,14.050730204,23.7,,85.42314999999999,83.68701,47356.0,,75.470711297,0.4298387343,0.4542267476,1.4693778008,87.46760967,7057.0,20.468825089,5.7846679601,,34.800550206,,,12.813787936,0.4241188848,12.1,16.6,
27007.0,Minnesota,Beltrami,,2.7,3.1,55.531635802,65.895261845,28.0,7.5647164312,23.8,,83.95193,170.59455,42655.0,,67.089689933,0.6253590843,0.7292173068,1.6396340655,74.159190348,10025.0,19.431544972,8.8924019366,,55.961626313,,,15.841288783,0.3898021935,11.98,29.5,
27009.0,Minnesota,Benton,,3.3,2.5,91.452755906,70.033157093,12.4,6.8549291802,22.0,,25.85917,32.57084,52308.0,,40.011963278,2.080061784,1.1404299138,1.724803707,93.262968207,11159.0,10.18199371,7.5422175628,,30.574902609,,,13.346680013,0.3389830508,12.43,14.6,
27011.0,Minnesota,Big Stone,,3.3,,,68.030139935,20.2,16.103753244,23.6,,95.45628,,44210.0,,100.0,0.1916810427,0.0958405214,0.9392371094,97.718995591,929.0,26.658136063,,,19.130434783,,,9.9365750529,0.1816713767,12.4,,
27013.0,Minnesota,Blue Earth,,2.1,2.3,83.321059432,74.482803207,15.2,16.363143765,23.9,,93.19085,146.35616,48788.0,,26.892974864,2.811868883,2.1718191704,2.5866086686,90.887059189,15468.0,11.79065348,2.5430821231,,13.269663437,,,14.25282545,0.6653282673,12.66,18.2,
27015.0,Minnesota,Brown,,2.5,2.0,77.13622291,67.038275734,10.7,7.9031918144,23.6,,97.14774,109.39681000000002,48348.0,,34.939945159,0.2491629682,0.6384801059,3.3169820135,95.121856264,5382.0,13.65500893,,,21.171171171,,,10.740740741,0.5118045237,12.88,22.8,
27017.0,Minnesota,Carlton,,3.6,3.9,79.793956044,67.931539241,12.9,5.4401766274,20.9,,59.23000999999999,61.52858,50049.0,,55.165884813,1.4447855352,0.4928605627,1.4166220745,88.940208973,8881.0,11.518272917,9.8728053576,,30.877927515,,,12.531876138,0.2717883675,11.43,15.5,
27019.0,Minnesota,Carver,,2.7,3.0,78.588646967,81.169525772,4.9,2.6570479427,17.1,,92.83447,74.03960000000001,85064.0,,18.827574087,1.242081863,2.8435149514,4.0122157834,90.422696321,25241.0,8.0757605224,2.9666059062,,10.437352792,,,10.636645963,1.2181303116,12.56,14.2,
