FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
39001.0,Ohio,Adams,,6.1,5.3,92.128238342,38.65570051,33.5,1.8589416501,32.2,,28.113580000000002,24.400450000000003,34955.0,,89.026269702,0.3614288722,0.1719418907,0.8772545442,96.908554986,7052.0,25.032667631,22.529400868,,56.430446194,,,15.89958159,0.379399722,13.14,25.1,
39003.0,Ohio,Allen,,4.1,4.0,83.026421137,56.461983604,28.2,5.9675955948,28.3,,65.97923,82.81275,42173.0,,25.890850269,11.940609041,0.7461698506,2.479667108,82.357669756,24884.0,10.579289768,6.026177716,,50.311818495,,,13.555992141,0.4238141258,13.42,22.9,
39005.0,Ohio,Ashland,,3.7,3.5,90.847968545,52.33913329,23.0,1.2237114072,27.0,,48.9154,81.49812,44748.0,,61.937559984,0.7779535865,0.5406118143,0.9776220615,96.558544304,12184.0,12.613453993,6.9776554004,,22.795190771,,,15.543912176,1.0994063206,13.77,22.6,
39007.0,Ohio,Ashtabula,,4.3,4.3,86.544186047,44.819958216,30.2,7.7513398396,31.0,,39.469139999999996,41.44219,37811.0,,46.368858193,3.4920760541,0.4243911125,3.483172744,90.594147558,24411.0,16.090915069,10.913838047,,44.182251789,,,16.268311488,0.6244415243,13.76,29.5,
39009.0,Ohio,Athens,,3.7,5.2,91.199115044,68.025766781,31.5,14.221312769,27.5,,78.74136999999999,107.45228999999999,33950.0,,43.170622481,2.7239700085,2.815181263,1.7237381155,90.589781248,13661.0,11.34429949,14.458420918,,14.062399897,,,22.660982724,0.4622670481,13.34,30.3,
39011.0,Ohio,Auglaize,,2.9,3.2,93.730829421,59.289743827,14.0,1.1477413283,28.5,,50.17671,19.41496,51769.0,,39.136869138,0.3278186944,0.3999388072,1.1932600476,97.029962629,10813.0,16.758684257,5.8965740905,,34.772503799,,,10.653487095,0.235337978,13.49,15.5,
39013.0,Ohio,Belmont,,4.9,5.6,89.806034483,53.233743409,25.3,4.9423438544,34.2,,44.19039,69.34247,42176.0,,54.664772727,4.0175195811,0.3695090808,0.7333114576,93.484370765,17070.0,12.587861241,9.1363509008,,39.199157007,,,8.4812963282,0.1469441612,13.79,21.6,
39015.0,Ohio,Brown,,3.3,3.2,87.887171561,41.66211542,25.9,4.2736470517,35.1,,35.8046,15.57078,44209.0,,76.559782366,0.8751902588,0.2730772674,0.6580714478,96.99391172,10986.0,17.67159115,24.097624296,,39.533376539,,,12.628946546,0.0119771954,13.14,36.3,
39017.0,Ohio,Butler,,4.0,3.7,85.979963362,61.257537702,19.8,5.8970070683,25.5,,50.810950000000005,77.59457,55599.0,,9.3428951729,7.3873036126,2.5285728188,4.0856157348,83.99084156,94359.0,10.221890596,14.954983907,,35.825369289,,,15.251144953,1.4458301652,13.33,22.7,
39019.0,Ohio,Carroll,,4.8,4.3,90.444089457,44.685731763,24.0,1.8280121083,25.8,,31.269540000000003,10.34768,42540.0,,70.952975447,0.5097794424,0.2115411291,0.8531002913,97.21181856,6539.0,17.699811202,9.3415670233,,32.662192394,,,12.184508268,0.4842082095,14.06,23.3,
