FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
47001.0,Tennessee,Anderson,,5.6,3.9,88.0,50.451404369,29.5,4.8583605634,34.4,,73.10622,75.71900000000001,41038.0,,34.661715183,3.8958621423,1.148813956,2.3627805553,90.540899904,17944.0,23.500575861,18.645084981,,45.723909925,,,11.845507434,0.7829993381,13.41,20.6,
47003.0,Tennessee,Bedford,,5.2,3.7,81.0,36.50995341,25.9,6.166582645,33.3,,32.96051,45.53537,41726.0,,55.60166896,7.5970017637,0.9898589065,11.358024691,78.489858907,11805.0,23.767867164,14.854916978,,63.765086002,,,17.432052484,4.6159385502,13.94,25.2,
47005.0,Tennessee,Benton,,5.7,3.3,92.5,40.268456376,35.7,6.2572811155,35.2,,18.25928,12.10434,33560.0,,78.458366184,2.1643701988,0.475551762,1.8961102305,94.037312523,3576.0,31.222625996,32.957216329,,62.090572486,,,10.673352436,0.5522733111,14.78,25.1,
47007.0,Tennessee,Bledsoe,,8.4,4.4,77.5,34.23255814,35.4,2.6920015517,37.2,,15.546059999999999,,32591.0,,100.0,3.7922441987,0.1479520324,2.2037065878,92.290920417,3225.0,28.876055087,15.548645047,,48.808608762,,,12.415349887,0.3336860096,13.71,38.6,
47009.0,Tennessee,Blount,,3.3,2.6,91.268274854,53.693883601,20.8,9.5624165933,30.3,,61.339299999999994,95.87652,46100.0,,32.631493375,2.8032850491,0.7848874806,2.8800763063,91.945809622,30361.0,17.024745828,18.703241895,,43.33910686,,,12.814122534,0.8943005538,13.38,20.9,
47011.0,Tennessee,Bradley,,4.5,4.5,86.039757995,55.103458925,28.3,11.452502717,33.4,,53.970319999999994,48.13339,39821.0,,32.971918798,4.2387378825,0.9784011445,4.8469872648,88.367230565,25904.0,15.804807644,16.699419397,,47.522920347,,,15.863909273,1.3550570945,13.47,25.5,
47013.0,Tennessee,Campbell,,7.6,5.7,85.0,32.91913215,37.8,7.3448895095,37.7,,59.24171,21.983929999999997,32895.0,,55.02259554,0.3130160452,0.3056219653,1.2446701008,96.879698322,10140.0,29.587778838,31.34895615,,57.681641708,,,12.69791007,0.2243322204,13.27,28.6,
47015.0,Tennessee,Cannon,,5.2,,81.0,33.505450373,25.5,0.9180849109,34.6,,29.067649999999997,42.93381,39262.0,,81.131802043,1.362080268,0.2039478476,1.5660281157,95.323767208,3486.0,28.593213877,,,41.666666667,,,11.936090226,0.4769597661,14.13,27.6,
47017.0,Tennessee,Carroll,,4.7,4.3,92.938461538,45.516407077,27.7,2.7996001147,37.8,,52.71111,13.622119999999999,35591.0,,83.058691536,10.010904358,0.2602975835,2.1843891801,85.662527701,6613.0,36.809327683,20.891780577,,56.193353474,,,13.88638413,0.1642771804,14.49,24.6,
47019.0,Tennessee,Carter,,5.2,4.8,92.392026578,49.156781478,32.2,15.167211225,32.7,,27.97937,22.09156,33094.0,,40.965449986,1.2905585454,0.3082710695,1.5413553477,95.631955693,13994.0,17.828798958,17.58117675,,49.367088608,,,11.614790056,0.0440852314,13.03,31.4,
