FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001.0,Wyoming,Albany,,3.0,3.5,87.0,87.677776571,18.0,13.40639927,18.5,,70.48172,323.18336,39248.0,,11.939722857,1.1832392531,2.838688667,8.9095744681,84.756296135,9211.0,16.135438387,9.1020421673,,13.490859743,,,21.590130226,0.4600914359,12.94,14.1,
56003.0,Wyoming,Big Horn,,3.8,2.9,,57.107335267,15.7,6.6427426236,25.7,,25.512370000000004,75.14403,46118.0,,100.0,0.2809467053,0.3916226801,8.5816448153,89.026051422,2413.0,25.118054858,18.838541143,,37.185563252,,,7.3707370737,1.0025754231,10.29,18.3,
56005.0,Wyoming,Campbell,,2.9,2.8,85.0,57.817326077,9.5,3.1859549688,25.5,,45.04698,97.31654999999999,80327.0,,29.072464396,0.405666452,0.5451813694,7.673320455,88.967589612,13598.0,27.531902592,7.9154219952,,53.006253006,,,8.9152119701,0.4961476994,10.37,23.4,
56007.0,Wyoming,Carbon,,3.6,3.4,75.782122905,51.924951267,17.2,14.276318774,32.6,,44.343090000000004,176.30250999999998,53780.0,,41.630468996,0.8740262208,0.8106909874,16.853505605,79.574387232,4104.0,35.03498889,9.2197339185,,55.371352785,,,8.2191780822,2.234295416,12.52,22.7,
56009.0,Wyoming,Converse,,2.8,2.7,86.878109453,54.669770148,13.4,2.4934296063,25.7,,58.16067,113.38672000000001,63808.0,,55.360370129,0.3785121561,0.3639539962,6.5948464114,90.711894017,3437.0,17.39603153,,,45.930949445,,,9.6136567835,0.156030582,11.43,22.4,
56011.0,Wyoming,Crook,,3.1,3.2,92.5,61.833105335,11.7,25.900093842,28.9,,56.25088,41.730419999999995,53781.0,,100.0,0.280622983,0.1543426407,2.2169215659,95.566156868,1462.0,36.954915004,,,40.71773637,,,10.649819495,0.0304645849,10.39,18.8,
56013.0,Wyoming,Fremont,,3.6,3.6,74.482071713,64.764957265,23.1,4.7800521961,23.9,,78.85852,112.08355999999999,47906.0,,51.424370062,0.303142329,0.4855206408,5.7744916821,71.573629082,9360.0,44.489972932,14.95461275,,71.193144364,,,12.065637066,0.3130735183,10.64,22.7,
56015.0,Wyoming,Goshen,,2.8,3.7,82.5,62.474012474,22.9,10.516322321,29.7,,73.87707,209.20502,42045.0,,45.995924221,0.6692652791,0.4045009929,10.141943076,87.320732515,2886.0,19.084183702,,,32.544378698,,,13.93129771,0.3655725979,13.15,16.4,
56017.0,Wyoming,Hot Springs,,3.7,3.5,,59.402654867,16.9,2.6235062506,26.6,,104.18836999999999,81.49959,42596.0,,31.483790524,0.3327787022,0.4575707155,2.4126455907,93.989184692,904.0,33.49471697,,,44.609665428,,,5.6818181818,0.0,10.06,19.4,
56019.0,Wyoming,Johnson,,2.9,3.3,87.5,65.845992666,13.1,4.8573162159,25.6,,115.71396,207.23003,51903.0,,49.025557241,0.3714020427,0.5106778087,3.5863509749,93.744196843,1909.0,24.658740643,,,33.838973162,,,13.136729223,0.2372627373,10.17,15.9,
56021.0,Wyoming,Laramie,,3.2,3.1,73.451486014,67.746549983,16.5,5.9182487759,23.6,,74.44972,263.30579,53999.0,,19.784603981,2.2716706132,1.1839501768,13.380258847,80.484824894,23768.0,15.400152705,13.941190869,,52.098408104,,,11.525565801,0.7104441156,13.46,19.2,
56023.0,Wyoming,Lincoln,,2.9,2.7,87.455882353,60.586617782,13.0,3.195552515,21.9,,66.40474,49.91127,60817.0,,82.72948194,0.3271053945,0.3991794644,4.0860453512,93.452347951,4364.0,25.270606073,11.792949501,,33.674963397,,,9.111969112,0.3679131484,10.91,13.4,
56025.0,Wyoming,Natrona,,3.3,3.6,71.0,67.149059334,15.9,12.066377426,23.7,,74.64054999999999,258.83846,54402.0,,14.449304175,0.9403321285,0.7543611504,7.2463198701,88.668866887,20039.0,21.520321897,11.84604875,,48.935804027,,,9.9678999831,0.6424893982,10.95,26.2,
56027.0,Wyoming,Niobrara,,3.3,3.8,47.5,60.449050086,21.9,6.1801932164,29.4,,,,43712.0,,100.0,0.441944556,0.3615910004,2.490960225,94.375251105,579.0,,,,30.878859857,,,9.5744680851,0.0,11.8,20.4,
56029.0,Wyoming,Park,,3.0,2.8,85.1484375,72.297955209,16.8,7.5316856711,23.2,,108.42193999999999,159.02555,51003.0,,44.240382911,0.2672386511,0.6012869651,4.9825943247,92.299307289,6162.0,23.652466427,11.037817666,,24.007113219,,,13.074957411,0.7937702204,10.36,15.4,
56031.0,Wyoming,Platte,,2.8,2.5,88.009259259,53.045535186,18.8,6.7124812118,27.3,,56.84402,146.74342,45435.0,,58.647744318,0.4015603488,0.4015603488,6.9527306104,90.787058284,1691.0,31.311799604,,,33.66649132,,,9.2369477912,0.6221788459,12.81,18.2,
56033.0,Wyoming,Sheridan,,3.2,3.6,83.670765027,69.168625147,15.4,11.779356427,20.4,,78.66206,297.56066000000004,50310.0,,35.478774557,0.4374572796,0.6390977444,3.7423103213,92.898154477,6808.0,16.336365771,,,30.624620982,,,14.585045193,0.5129332454,10.36,18.1,
56035.0,Wyoming,Sublette,,2.9,2.9,86.486486486,74.501573977,7.4,4.193221032,24.4,,59.13661,18.31837,68509.0,,100.0,0.4447519273,0.7313698359,6.987546946,89.810239178,2859.0,35.948299809,,,39.497307002,,,10.317460317,0.4147171416,10.7,16.5,
56037.0,Wyoming,Sweetwater,,3.7,3.7,79.970178926,57.347670251,11.5,5.5120732688,23.0,,29.42841,113.12217,64747.0,,10.916312834,1.0345296974,0.8190026771,15.644992967,80.407459504,12276.0,29.138236651,12.834699477,,55.583375063,,,8.9552238806,2.2823330516,11.88,24.3,
56039.0,Wyoming,Teton,,2.1,2.3,87.5,69.551616267,14.2,4.9754088173,10.5,,125.30165,186.82219999999998,66592.0,,46.430919508,0.2564700396,1.2310561903,15.113079972,81.977150851,7672.0,13.97633806,,,31.164901664,,,20.147255689,5.044318295,10.18,9.8,
56041.0,Wyoming,Uinta,,4.0,3.5,86.583850932,56.123380179,16.0,7.1901495537,25.8,,38.12247,282.24667999999997,61057.0,,43.095937115,0.3298436828,0.3824274583,8.6332998709,88.445910416,5479.0,24.006382874,19.769962366,,41.527001862,,,12.5,0.8950408492,11.61,17.6,
56043.0,Wyoming,Washakie,,2.8,2.3,77.5,66.362599772,18.3,2.7379392521,24.6,,47.13091,197.58252000000002,49533.0,,35.954529474,0.3070020073,0.7438894793,13.614358248,83.693470303,1754.0,26.171159382,,,41.878890775,,,5.1470588235,1.5103439523,10.04,14.0,
56045.0,Wyoming,Weston,,3.5,3.0,,57.817109145,14.1,3.9892218462,28.5,,56.27462,67.61325000000001,53665.0,,54.536625971,0.3657335772,0.2954001969,3.2775355184,93.360528907,1695.0,20.577401897,,,43.018335684,,,4.2003231018,0.1641056243,10.71,19.8,
