FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
1001.0,Alabama,Autauga,,5.1,3.6,81.0,56.037151703,19.6,9.7935303961,27.9,,18.0,7,51868.0,,42.002162321,,1.1367338812,2.6988379249,75.904137856,14535.0,21.248509284,8.2337973477,,36.499862524,,,12.25,0.4764868334,12.92,21.7,
1003.0,Alabama,Baldwin,,3.3,3.8,74.0,62.489226757,20.8,5.4602606243,25.2,,144.0,142,47539.0,,42.279099114,,0.8842180628,4.5765572261,83.121611946,45251.0,16.56670888,15.292346658,,44.532661526,,,14.09087697,1.560029574,13.13,20.6,
1005.0,Alabama,Barbour,,4.8,4.3,69.696107784,42.32832618,42.4,11.420315716,32.3,,12.0,1,30981.0,,67.789634702,,0.5244496971,4.8345398139,46.332545428,7456.0,18.666390128,,,72.873799726,,,18.561001043,2.2308589195,12.62,25.1,
1007.0,Alabama,Bibb,,4.7,5.1,80.0,50.0,35.6,2.1446609917,33.2,,6.0,,39781.0,,68.352607462,,0.1554726368,2.0700071073,74.564676617,6106.0,25.873874329,18.932103167,,50.850850851,,,9.5501730104,0.4286246739,12.87,25.9,
1009.0,Alabama,Blount,,5.9,3.9,85.12195122,49.194273463,26.6,1.0624676536,29.8,,17.0,3,44392.0,,89.951502041,,0.2782001659,8.7106027094,87.833494609,14459.0,25.56737002,18.298215799,,47.239216294,,,11.834884276,2.3225663061,12.66,21.3,
1011.0,Alabama,Bullock,,4.2,,72.5,35.720959203,44.2,20.151730144,32.8,,4.0,1,25937.0,,51.374381528,,0.2725820096,7.7920857223,22.210734092,3211.0,54.191945226,,,84.596967279,,,13.430851064,3.6952418794,12.75,37.8,
1013.0,Alabama,Butler,,3.9,3.5,66.0,44.363862412,39.8,2.8320291145,37.3,,7.0,3,31041.0,,71.23215735,,0.9573155687,1.2188502344,53.535652603,4826.0,21.316243665,8.9390699242,,63.341425734,,,17.799752781,0.2379474447,12.82,30.5,
1015.0,Alabama,Calhoun,,5.2,5.1,81.824047955,51.317230053,28.7,10.043823886,33.2,,75.0,99,37898.0,,33.696825557,,0.8335046601,3.4830729167,73.141961349,29228.0,17.541701131,12.059919527,,49.328449328,,,14.512792597,0.8348995229,12.89,24.4,
1017.0,Alabama,Chambers,,5.0,4.3,75.860795455,47.658739887,34.7,8.821524906,35.3,,14.0,,33883.0,,49.148034488,,0.6791171477,1.964170716,57.382471752,8158.0,28.220802882,9.9602833701,,59.728046766,,,17.146017699,0.3142110503,12.97,24.1,
1019.0,Alabama,Cherokee,,6.1,5.2,74.0,53.47947112,31.6,0.1326863763,29.8,,7.0,5,37478.0,,85.736273039,,0.244246842,1.5341754761,91.825363508,5748.0,24.366471735,16.613503456,,51.558517938,,,11.555169418,0.1338633782,12.93,24.4,
