FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
5001.0,Arkansas,Arkansas,,4.3,4.0,82.5,46.210006442,29.6,7.9225802145,35.4,,10.0,14,38497.0,,34.707397865,,0.905362944,2.8439047771,70.192256484,4657.0,24.547909336,,,64.775413712,,,11.866501854,0.5682137834,12.27,22.0,
5003.0,Arkansas,Ashley,,4.2,3.0,82.123655914,46.805204894,35.4,11.295935625,33.3,,6.0,14,36479.0,,51.681691301,,0.2443264577,5.1872386412,67.82408495,5149.0,33.145508784,11.698414865,,68.97830521,,,10.758776897,0.9825704834,12.0,29.9,
5005.0,Arkansas,Baxter,,3.8,4.1,84.949109415,60.443744256,27.0,5.4174124571,29.8,,34.0,100,36082.0,,65.84202539,,0.571330908,1.9825670825,95.273091291,7617.0,24.176697118,13.469874108,,47.612359551,,,13.993541442,0.289163961,11.36,23.9,
5007.0,Arkansas,Benton,,3.2,3.0,84.915158826,58.320922449,17.1,6.3376040804,24.6,,130.0,277,56518.0,,25.160048613,,3.3696169779,15.985452829,75.286666077,65131.0,15.320100569,12.136703048,,46.005357371,,,12.802595458,3.8575356566,10.58,16.8,
5009.0,Arkansas,Boone,,3.8,4.0,81.840909091,54.095389147,26.5,10.758547115,31.0,,26.0,31,38410.0,,62.198195269,,0.4733126538,2.3077334474,94.451278212,8827.0,24.039020759,15.509045651,,54.449205949,,,11.305241521,0.1403086791,11.08,14.6,
5011.0,Arkansas,Bradley,,3.5,3.7,90.285234899,37.879968823,39.8,4.6951993417,34.6,,6.0,1,31733.0,,49.59158846,,0.4089252378,14.365721397,56.813939017,2566.0,27.132691193,,,72.403335861,,,16.30988787,2.6310843826,11.86,14.1,
5013.0,Arkansas,Calhoun,,3.3,,,45.270816492,25.9,31.882145474,35.2,,1.0,,37497.0,,100.0,,0.2480442664,3.7015836672,73.020415951,1237.0,28.856243442,,,41.633306645,,,7.371007371,0.0,11.7,35.0,
5015.0,Arkansas,Carroll,,4.1,4.1,72.347908745,44.588520055,36.7,4.0544558672,29.5,,18.0,13,34109.0,,72.833928441,,0.8666570771,14.517405063,81.390247411,5784.0,28.968408634,21.067933552,,65.503804045,,,16.856392294,3.4529268951,10.85,23.9,
5017.0,Arkansas,Chicot,,7.2,3.9,83.361344538,38.704642996,46.6,2.9488222746,35.9,,10.0,37,28006.0,,54.279661017,,0.5116894574,5.3198059109,39.311865902,2563.0,28.679317432,,,73.494917905,,,16.256684492,0.7298595713,12.13,36.2,
5019.0,Arkansas,Clark,,4.0,2.6,84.222488038,58.817204301,31.1,3.912026831,30.5,,11.0,43,36517.0,,54.377038487,,0.6683375104,4.4409268786,69.621421976,4650.0,22.32918176,6.2025504888,,27.297743533,,,16.666666667,0.6368544926,11.47,11.9,
5021.0,Arkansas,Clay,,5.9,3.4,86.962365591,40.814606742,29.5,5.026389121,36.4,,5.0,5,33488.0,,58.857178387,,0.1817945721,1.7335410986,96.058953383,3560.0,30.073857857,,,68.226120858,,,11.094890511,0.4552758436,12.63,21.0,
5023.0,Arkansas,Cleburne,,5.5,4.5,88.539823009,51.383763838,26.4,4.8284858015,33.2,,18.0,14,41612.0,,75.521755872,,0.2647356537,2.3397959978,95.156894807,5420.0,36.081644435,12.212248886,,52.566735113,,,12.5,0.6359559723,11.98,28.4,
5025.0,Arkansas,Cleveland,,5.5,4.9,,49.024390244,26.0,8.8024064682,30.2,,1.0,,42414.0,,100.0,,0.1745606889,1.9434423368,84.778307925,2050.0,24.535060602,,,46.498905908,,,14.133738602,0.1959583588,11.94,21.7,
5027.0,Arkansas,Columbia,,3.8,4.6,87.929889299,56.545184083,32.1,7.3831767574,31.3,,13.0,39,36927.0,,57.486151841,,0.7366330078,2.6402913425,59.447939083,5378.0,22.004238711,6.369648048,,52.733367715,,,15.612244898,0.2470634129,11.28,15.9,
5029.0,Arkansas,Conway,,4.9,6.2,84.910358566,50.133497638,33.1,9.3877200811,33.1,,15.0,39,38145.0,,70.516617308,,0.5036479172,3.8644386915,81.718051306,4869.0,27.729495391,18.937216364,,66.110531804,,,14.874001229,0.7927349355,11.73,27.7,
5031.0,Arkansas,Craighead,,3.9,3.5,87.045780969,58.377998743,28.9,10.299671912,33.6,,100.0,342,41608.0,,32.168223718,,1.0927400284,4.5985732303,78.660531294,27053.0,21.373760849,14.148827604,,49.355109212,,,16.121146272,0.9819376026,12.83,18.3,
5033.0,Arkansas,Crawford,,3.9,4.4,88.886998785,50.338513121,27.9,9.6121687035,32.5,,30.0,25,39384.0,,51.961322399,,1.6466580143,6.7083062946,85.772225827,15509.0,15.197497323,22.211726857,,54.622134549,,,13.441208198,1.9248427727,11.15,22.2,
5035.0,Arkansas,Crittenden,,5.0,4.2,80.187421384,51.293474013,36.1,4.3933260868,33.6,,22.0,89,37726.0,,20.887195002,,0.6472882242,2.2333453946,44.566397298,12795.0,19.781052013,7.9124208051,,86.453220016,,,21.327645961,0.3914146845,12.72,23.6,
5037.0,Arkansas,Cross,,4.4,4.5,87.438848921,36.189586738,31.3,7.914343972,35.6,,8.0,8,35438.0,,56.787912703,,0.535673581,1.7722817415,73.56393891,4283.0,31.695218776,10.300946102,,63.520070578,,,15.091575092,0.2106023226,12.56,33.8,
5039.0,Arkansas,Dallas,,3.8,,92.5,32.923420906,36.9,9.7616838681,37.4,,5.0,18,32591.0,,52.63676688,,0.1638724316,2.7228034791,53.485440565,1789.0,41.74711684,,,64.962726305,,,17.781402936,0.8862244233,11.72,,
5041.0,Arkansas,Desha,,4.8,4.2,85.572625698,43.886097152,47.5,15.900870814,33.9,,7.0,5,30241.0,,31.419126691,,0.3758496601,4.6301479408,46.717313075,2985.0,28.233250081,,,86.158631415,,,12.417685795,1.4800405954,12.21,23.9,
5043.0,Arkansas,Drew,,4.5,4.7,89.679487179,54.678854943,32.7,7.3950633762,32.0,,12.0,99,35249.0,,48.608784915,,0.7399520894,2.8426936385,67.106734096,4157.0,25.397314042,10.005002501,,46.914932457,,,18.902439024,0.8995672967,12.09,18.1,
5045.0,Arkansas,Faulkner,,4.0,3.5,88.12768595,65.64066764,19.7,9.0751424133,28.9,,59.0,101,49936.0,,38.760299195,,1.1991971902,4.0391369794,81.441712661,31514.0,14.816169981,12.110608507,,34.761281884,,,15.190178142,0.6880244796,11.9,18.0,
5047.0,Arkansas,Franklin,,3.5,5.0,92.5,50.473036897,31.2,5.5602276116,31.6,,6.0,,38874.0,,82.604137931,,0.9592991017,2.8002661639,92.63058667,4228.0,18.900763118,17.325699525,,53.38904364,,,10.199556541,0.1236166706,11.27,27.7,
5049.0,Arkansas,Fulton,,3.9,3.3,95.383064516,52.921674264,40.1,9.2982904605,33.9,,7.0,2,33439.0,,92.919559004,,0.2519505852,1.1378413524,95.993172952,2413.0,26.761300832,17.453022282,,54.043071922,,,8.0912863071,0.1457850956,11.48,29.2,
5051.0,Arkansas,Garland,,4.2,5.3,83.856868396,55.995475113,35.1,11.528254533,26.5,,74.0,166,39057.0,,36.903274181,,0.8088666605,5.243225999,83.046731088,21216.0,21.630265664,22.823659632,,54.094741068,,,15.6125,1.0368322307,11.53,27.7,
5053.0,Arkansas,Grant,,4.7,5.0,78.737837838,56.638729599,21.5,4.0445132804,32.1,,3.0,9,47089.0,,75.029406822,,0.4162273156,2.3197735723,93.029579888,4534.0,26.565556548,,,47.526673133,,,9.125188537,0.7436492355,11.9,39.0,
