FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001.0,Massachusetts,Barnstable,,2.5,3.3,90.334895136,67.112936761,14.9,8.6102106432,17.3,,202.0,852,60685.0,,7.483046765,,1.305176985,2.5740732127,91.697753384,39438.0,8.2973507086,14.224029786,,16.412573869,,,19.974166882,0.7062297304,10.12,14.2,
25003.0,Massachusetts,Berkshire,,3.7,3.6,87.162073491,61.808231016,18.8,5.7925257411,18.8,,145.0,784,51431.0,,31.593747857,,1.3944515183,3.8461241656,89.967202994,27773.0,10.019723608,11.653374196,,21.780909673,,,17.295456582,1.1467411366,10.84,17.0,
25005.0,Massachusetts,Bristol,,3.7,3.8,84.385240726,60.338807063,19.2,4.524563631,26.4,,285.0,1995,53626.0,,9.8343015038,,2.1250768841,6.7267267267,85.628459785,140611.0,9.1339835338,18.528938026,,24.234058922,,,18.367492341,4.2500967375,10.25,20.3,
25007.0,Massachusetts,Dukes,,3.5,3.5,91.346153846,76.355421687,13.4,4.3387992493,18.5,,18.0,72,58276.0,,39.026307832,,0.8808530366,2.9323133982,88.827074641,3984.0,,8.7310318333,,10.316139767,,,26.929982047,2.0799193243,10.04,12.1,
25009.0,Massachusetts,Essex,,3.0,3.2,83.842790967,68.422565928,16.9,4.514045916,20.3,,584.0,3125,67235.0,,4.2440446795,,3.613008983,18.02845715,74.241426792,184331.0,5.519878995,13.162788373,,22.401779178,,,19.874359514,5.4739907683,10.36,14.1,
25011.0,Massachusetts,Franklin,,4.0,3.3,81.543665437,66.326530612,17.7,5.2960286038,18.1,,48.0,415,51828.0,,54.431709914,,1.4967495542,3.5804046559,91.794554977,16464.0,6.5899963855,9.9848430083,,21.013678715,,,17.407773386,0.9638837462,10.63,18.7,
25013.0,Massachusetts,Hampden,,3.8,3.9,73.224419963,57.87609044,29.3,5.3105647377,26.7,,342.0,2645,48560.0,,8.5708429524,,2.2674019246,22.602975698,65.824843415,112340.0,6.8500167239,13.514897861,,39.143421496,,,19.684751763,5.6664838179,10.66,18.8,
25015.0,Massachusetts,Hampshire,,3.3,2.9,88.171949761,76.217808096,12.1,6.4202442944,15.2,,230.0,1043,61911.0,,27.443699393,,5.0477455575,5.1467455325,85.347377127,33277.0,5.7053227945,10.142796079,,4.9760007046,,,16.182959946,0.9735725938,10.67,12.1,
25017.0,Massachusetts,Middlesex,,2.7,2.7,89.517320102,78.181763979,10.6,2.90609867,20.8,,1808.0,6798,82118.0,,3.0277063506,,10.516666001,7.3136819762,75.541955768,436071.0,4.4210873234,10.440273311,,11.243088807,,,17.918073959,4.0690710766,10.44,11.4,
25019.0,Massachusetts,Nantucket,,2.3,2.6,87.5,73.347812597,9.4,1.9658577326,17.4,,6.0,31,71259.0,,18.895005899,,1.365515915,11.279930763,78.41138571,3223.0,,,,15.453960077,,,27.770360481,3.9731628053,9.95,14.5,
25021.0,Massachusetts,Norfolk,,2.8,2.7,92.260415298,81.291972953,7.5,3.6497314717,18.8,,942.0,2953,83830.0,,1.240366699,,9.6786575206,3.8246472095,78.694886028,173177.0,5.1220088219,11.851342588,,6.1186769779,,,16.587548106,3.0168849904,10.41,11.8,
25023.0,Massachusetts,Plymouth,,3.1,3.6,88.673061487,67.612406417,11.2,6.097440343,23.9,,311.0,1924,75264.0,,10.307747328,,1.4261378919,3.5215126067,84.22760826,116875.0,7.5063847744,13.302820894,,16.304485208,,,18.29380709,2.0378742225,10.27,17.8,
25025.0,Massachusetts,Suffolk,,3.5,3.5,65.284952607,70.507523162,28.7,0.7027599013,19.9,,1079.0,4520,54164.0,,0.0740973625,,8.6779271558,21.283303971,47.543557074,249762.0,4.1230048459,15.851552612,,22.082448539,,,26.133328678,10.505974965,10.39,15.4,
25027.0,Massachusetts,Worcester,,3.3,3.4,85.626494524,67.386295258,18.0,4.7035512367,22.2,,822.0,2878,62268.0,,18.390286418,,4.4828489716,10.145271448,79.612436442,204411.0,6.7018047259,12.990361439,,20.385483591,,,16.021933197,3.0378605849,10.52,18.1,
