FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
31001.0,Nebraska,Adams,,2.8,2.5,87.020435967,67.562977639,16.2,7.731762478,24.3,,25.0,89,52267.0,,22.484376993,,1.5659601392,8.4656754192,87.855109143,7066.0,17.408752938,,,34.175162187,,,11.053054662,2.3881004367,11.5,15.1,
31003.0,Nebraska,Antelope,,2.4,2.4,,67.987065481,18.4,15.747029893,27.0,,4.0,2,48814.0,,100.0,,0.3717472119,3.0049566295,95.709417596,1237.0,23.456658492,,,19.607843137,,,10.695187166,0.889535824,11.73,13.4,
31005.0,Nebraska,Arthur,,2.3,2.0,,84.251968504,15.4,36.384976762,29.3,,0.0,0,39874.0,,100.0,,0.2183406114,5.2401746725,93.013100437,127.0,,,,,,,10.857142857,0.0,13.23,,
31007.0,Nebraska,Banner,,3.9,,,80.172413793,21.6,43.61111144,31.9,,0.0,0,46769.0,,100.0,,0.0,4.347826087,94.334650856,116.0,,,,,,,11.111111111,0.6605019815,13.63,23.2,
31009.0,Nebraska,Blaine,,1.7,,,82.203389831,29.7,42.48608555,27.7,,0.0,0,38323.0,,100.0,,0.0,0.2074688797,98.755186722,118.0,,,,,,,10.204081633,0.0,12.58,,
31011.0,Nebraska,Boone,,2.2,1.9,89.896907216,62.021589794,13.0,8.8817550168,28.9,,8.0,1,50156.0,,100.0,,0.3155159614,1.5033407572,96.844840386,1019.0,31.087277532,,,14.150943396,,,8.4210526316,0.390548721,11.5,12.5,
31013.0,Nebraska,Box Butte,,3.2,3.7,87.823033708,57.421408675,18.8,11.574649362,26.6,,4.0,13,54120.0,,24.955783516,,0.4688191066,11.375497567,83.149049093,2513.0,16.334941697,,,42.577675489,,,12.903225806,0.6912878788,13.7,20.6,
31015.0,Nebraska,Boyd,,2.0,,,58.407079646,25.4,40.196468458,29.5,,3.0,,39838.0,,100.0,,0.8366141732,1.8208661417,95.718503937,339.0,,,,,,,8.7912087912,0.2041858091,11.71,15.0,
31017.0,Nebraska,Brown,,3.3,2.8,,74.019607843,19.6,5.580770313,30.4,,1.0,1,39861.0,,100.0,,0.1708817498,1.0594668489,96.992481203,612.0,,,,,,,10.394265233,0.0,12.33,16.7,
31019.0,Nebraska,Buffalo,,2.6,2.3,82.851657941,70.721578128,15.2,10.899565879,23.5,,41.0,133,52333.0,,32.261073272,,1.3592800618,8.2872236026,88.177813042,11558.0,15.56308809,5.2914499507,,23.328716192,,,12.370242215,1.0691261156,12.15,15.0,
31021.0,Nebraska,Burt,,2.3,2.8,,73.364485981,17.2,14.579991732,35.7,,2.0,1,47749.0,,100.0,,0.319440219,2.8293276544,93.763310009,1284.0,24.848836246,,,20.749665328,,,9.2783505155,0.0627155848,10.63,17.3,
31023.0,Nebraska,Butler,,2.6,3.1,,63.120567376,12.2,4.5799392858,24.6,,6.0,1,46211.0,,65.705777248,,0.3970163619,2.875360924,95.512512031,1692.0,20.516327577,,,13.917525773,,,8.4892086331,0.9796437659,10.5,20.8,
31025.0,Nebraska,Cass,,2.4,2.3,95.759803922,72.416782247,12.4,5.8146716705,26.1,,8.0,7,63738.0,,72.956697437,,0.4140868399,2.9459320898,94.589265292,5768.0,19.26323781,5.6656581795,,20.560437738,,,9.7598364844,0.3839176476,9.25,18.6,
31027.0,Nebraska,Cedar,,2.2,1.7,,70.742092457,13.1,13.370000701,28.2,,1.0,1,56300.0,,100.0,,0.1836758122,1.5727241419,97.141545173,1644.0,16.123311083,,,10.771992819,,,10.791366906,0.2186323333,11.58,12.2,
31029.0,Nebraska,Chase,,2.5,2.5,,71.52173913,12.8,10.72737886,25.1,,2.0,,52924.0,,100.0,,0.125,12.875,85.9,920.0,39.704024544,,,42.416452442,,,10.588235294,2.8882833787,13.17,11.1,
31031.0,Nebraska,Cherry,,2.8,2.5,,71.123417722,21.7,13.249030544,29.9,,5.0,1,43229.0,,52.511815158,,0.3282653766,2.4187975121,89.374568072,1264.0,,,,36.758563074,,,12.601626016,0.6523765144,12.63,14.8,
31033.0,Nebraska,Cheyenne,,3.3,2.5,93.340909091,74.724826743,13.7,4.8454079572,23.9,,5.0,8,53430.0,,36.25725145,,1.72430879,6.4314735903,89.862253493,2453.0,24.179325255,,,34.285714286,,,9.2655367232,0.4894137674,13.64,17.9,
31035.0,Nebraska,Clay,,3.3,2.9,,61.908456168,17.9,14.525130211,30.7,,1.0,1,50587.0,,100.0,,0.2503128911,8.1821026283,90.003128911,1289.0,32.846475573,,,30.245746692,,,8.4615384615,2.609980302,10.95,13.8,
31037.0,Nebraska,Colfax,,2.8,2.5,92.485119048,39.773187525,15.2,6.3946946201,28.1,,3.0,,51103.0,,40.513552068,,0.8824940048,43.079136691,54.158273381,2469.0,29.073389542,,,63.206362495,,,16.375838926,18.973447627,10.8,16.8,
31039.0,Nebraska,Cuming,,2.3,2.0,,69.570072585,13.1,9.547939746,27.2,,4.0,4,50252.0,,65.204070467,,0.3445975989,9.1373943975,89.406402846,1791.0,15.512293493,,,20.435967302,,,9.2226613966,2.564999417,10.95,13.9,
31041.0,Nebraska,Custer,,2.5,2.0,87.96641791,72.023540063,19.7,18.193685306,29.5,,10.0,6,44608.0,,67.666148642,,0.2409191994,2.7520385471,95.255744996,2209.0,27.387612974,,,21.938571998,,,9.5709570957,0.5567493651,12.49,13.0,
31043.0,Nebraska,Dakota,,3.1,3.5,88.851351351,40.486058779,22.3,6.0777449072,29.4,,1.0,46,45631.0,,21.089212606,,3.6520742827,36.549386547,52.360719912,5308.0,9.6432679658,,,56.459151243,,,16.095890411,11.244031691,11.28,20.5,
31045.0,Nebraska,Dawes,,3.3,3.0,55.57486631,81.618435155,22.3,8.8516519288,28.2,,6.0,13,39507.0,,39.936832934,,1.5404929577,3.6641725352,86.927816901,1866.0,15.599893921,,,17.711171662,,,16.527777778,1.3645224172,12.95,17.7,
31047.0,Nebraska,Dawson,,3.0,2.1,85.173333333,40.959092472,20.2,14.704267064,26.6,,15.0,20,44976.0,,26.654608238,,0.8303383319,32.936753832,61.407857231,5818.0,21.793550287,,,60.204595003,,,14.719101124,10.451561034,12.54,18.3,
31049.0,Nebraska,Deuel,,2.9,3.0,,70.231213873,23.0,7.4094592303,24.6,,0.0,,48523.0,,100.0,,0.2581311306,5.3691275168,92.823954569,346.0,,,,35.805626598,,,10.497237569,2.7171017581,13.41,21.1,
