FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
13001.0,Georgia,Appling,,4.3,4.1,83.0,35.882352941,36.5,5.8405469106,29.6,36.5,9.0,6,36642.0,,71.441105506,19.05609493,0.8252427184,9.3042071197,69.78425027,4590.0,29.751186133,,,86.215538847,,,10.149041874,0.8637796195,12.63,17.9,
13003.0,Georgia,Atkinson,,4.9,4.5,77.5,32.699955811,37.7,10.924855376,31.5,39.5,,,31740.0,,100.0,17.06189955,0.8026267785,23.945032227,56.864891159,2263.0,37.632569278,,,91.606714628,,,16.360294118,7.9131007242,12.38,21.0,
13005.0,Georgia,Bacon,,4.1,4.0,87.5,40.508115737,39.4,2.7299776476,28.0,36.7,7.0,,34201.0,,69.286229272,16.062405815,0.5318677422,7.9602872086,74.106905416,2834.0,37.274106064,,,83.156554943,,,10.75,2.7181688126,12.56,18.2,
13007.0,Georgia,Baker,,4.2,4.1,,45.638629283,41.3,43.5125328,28.6,40.3,,1,43115.0,,100.0,44.669738863,1.198156682,4.8233486943,47.895545315,642.0,,,,43.103448276,,,21.501706485,0.0,12.16,17.8,
13009.0,Georgia,Baldwin,,4.6,4.3,65.0,49.370178693,34.8,8.5783056939,24.7,40.3,27.0,58,37008.0,,35.139982502,41.405824566,1.7403994859,2.1477270252,53.340303644,10241.0,11.390889136,7.9528612226,,28.18239392,,,19.105567387,0.8993220495,12.94,19.3,
13011.0,Georgia,Banks,,3.8,3.8,87.5,40.352764035,27.4,3.6406402761,28.3,35.6,3.0,,46018.0,,93.829845067,2.7056572834,1.2681060399,6.4771795573,88.127903799,4649.0,28.326828654,,,44.829222011,,,20.044215181,1.8065335334,13.33,16.5,
13013.0,Georgia,Barrow,,3.6,3.6,72.0,52.789598109,19.3,5.7270922907,30.8,38.3,17.0,13,49698.0,,30.06184497,11.305297652,3.7820862916,9.612233752,73.372474058,21150.0,19.934755207,15.358695349,,42.524790236,,,15.770533446,2.4274799866,13.27,16.6,
13015.0,Georgia,Bartow,,3.8,3.8,69.434078643,47.266810487,20.6,11.585265549,26.6,35.4,47.0,82,51440.0,,35.227692523,10.460407329,0.9603286939,7.9971691437,78.726311237,27349.0,14.932916743,15.148022524,,49.039433771,,,16.040462428,1.8031515306,13.19,16.8,
13017.0,Georgia,Ben Hill,,5.0,4.6,82.5,50.427350427,40.4,12.208713527,29.9,41.0,9.0,5,31081.0,,34.00249518,35.043518094,0.8073751718,6.2528630325,56.504809895,4095.0,15.405197227,,,88.872104733,,,25.137039937,0.8778979907,12.47,21.4,
13019.0,Georgia,Berrien,,4.5,4.2,66.0,50.895245935,36.2,6.2022278655,34.5,37.3,3.0,2,35078.0,,76.143316395,10.818181818,0.6417112299,4.9625668449,82.411764706,4859.0,17.302079259,,,70.155128502,,,13.31010453,1.6343893429,12.27,19.7,
13021.0,Georgia,Bibb,,4.6,4.4,60.747436589,55.772904409,42.6,7.7451386036,27.1,41.3,192.0,215,36014.0,,14.410435431,53.256229492,1.9284623631,3.1707871739,40.252753322,39261.0,17.479509875,8.1704967662,,58.250036929,,,23.0257398,0.8047758373,12.93,20.7,
13023.0,Georgia,Bleckley,,4.1,4.1,77.5,43.164652568,31.8,2.7816763066,29.1,36.6,4.0,,40454.0,,51.588455944,26.393122313,1.0082063306,2.5635013677,68.925361469,2648.0,23.058678848,,,28.293545535,,,13.333333333,0.0820344545,12.75,18.1,
