FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
22001.0,Louisiana,Acadia,,4.4,4.2,81.0,43.147605083,27.6,0.5725596217,37.8,34.8,22.0,20,40269.0,,51.69896233,18.114457639,0.3792849598,2.2100950613,77.80142752,15345.0,24.350705823,10.717998735,,64.672751991,,,13.573844419,0.9126693838,10.36,22.7,
22003.0,Louisiana,Allen,,4.1,3.9,85.0,42.540699226,26.2,17.551997421,33.8,35.1,9.0,15,36852.0,,69.42244993,22.937813557,0.793373002,2.1117722553,70.225177926,7494.0,14.97911246,,,69.101123596,,,8.5490668272,2.2755585084,9.96,22.8,
22005.0,Louisiana,Ascension,,3.7,3.6,87.0,62.409988565,18.3,10.869798408,27.6,32.9,45.0,67,67299.0,,13.216434268,22.626870263,1.291132967,5.1782036931,69.516102846,32357.0,20.34374277,15.129121231,,36.915725791,,,13.353870881,1.0070861896,11.35,18.8,
22007.0,Louisiana,Assumption,,4.1,4.0,86.0,43.274641496,26.7,12.987438737,29.3,33.2,2.0,3,46317.0,,44.993808975,29.638794825,0.3516540766,2.5918207867,66.02413823,5509.0,25.096099699,14.441058818,,40.826873385,,,12.767186597,0.7597949469,11.43,21.4,
22009.0,Louisiana,Avoyelles,,4.6,4.5,71.663697105,35.182932535,33.8,11.452106064,35.5,37.9,12.0,9,34022.0,,63.781997956,29.196743225,0.6392028193,1.7936565804,65.599708349,10687.0,24.250124666,16.119152777,,72.670337976,,,14.725697786,0.5421873386,10.11,24.6,
22011.0,Louisiana,Beauregard,,4.2,4.1,90.0,46.054019835,23.1,14.626009273,29.6,35.4,18.0,13,43918.0,,66.494642957,13.122271949,0.7458975634,3.5609702193,79.382838831,9478.0,24.910703165,,,56.013179572,,,10.37808642,0.5617309636,9.7,22.4,
22013.0,Louisiana,Bienville,,4.8,4.4,77.5,45.472505762,37.5,12.21055524,35.7,37.9,2.0,2,33134.0,,79.836967881,41.498019445,0.3168887288,1.6060496939,54.929780338,3037.0,27.895948114,,,58.928571429,,,14.285714286,0.0,10.74,24.4,
22015.0,Louisiana,Bossier,,4.1,3.8,79.0,63.524068503,21.8,6.9013479319,26.6,33.7,56.0,56,51138.0,,24.34197591,21.344271733,1.794281328,6.4359048167,67.898835796,34568.0,14.202648733,7.545461405,,46.225663213,,,13.638898182,1.2097595536,10.84,21.3,
22017.0,Louisiana,Caddo,,4.4,3.9,64.0,57.265604874,36.5,14.329102576,31.4,38.7,270.0,429,39812.0,,14.435088187,47.85137152,1.2652264621,2.7679797944,46.368412093,65989.0,18.304755081,7.7166246176,,63.352585937,,,16.904919367,0.590431719,10.58,23.4,
22019.0,Louisiana,Calcasieu,,4.1,4.1,78.0,55.417782161,26.3,7.8984780464,32.7,34.3,128.0,189,45979.0,,20.500290505,24.981237703,1.3113324273,3.0678890895,68.562503803,49679.0,17.042012654,14.310221757,,49.706212737,,,13.538947658,0.5433345089,9.86,24.6,
